document	pages_before	pages_after	pages_ref	alnum_before	alnum_after	alnum_ref	constant_offset	spread_before	spread_after	matched
ecopy of 2016 statistical bulletin_public finance statisti	17	17	17	25548	25548	25548	0.04	1.497	0.025	3309
fy2011-aip-grants	93	93	93	229395	229395	229395	-0.99	0.086	0.086	15026
044_Cash_flow_forecast_Use_this_template_b8fa1f35	5	5	5	2162	2162	2200	-5.58	16.750	11.612	166
057_Simple_balance_sheet_Use_this_template_e2d4cbb2	3	3	3	2257	2255	1877	-73.74	20.511	15.370	99
056_Quarterly_sale_report_baa6bb0d	4	4	4	615	615	607	-0.00	0.488	0.179	117
Airplanes-MTOW	6	6	6	4501	4501	4501	-0.99	3.583	0.702	592
034_Personal_net_worth_calculator_f7b8fb57	7	7	7	1111	1111	1069	0.00	0.231	0.167	108
FY2023-AIP-grants	33	33	33	353363	353363	353363	0.01	0.003	0.004	20994
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_	10	10	10	4805	4805	4754	-22.79	3.035	2.910	776
einvoice-summary-worksheet	2	2	2	589	589	589	0.06	0.092	0.069	65
CSJU List of Recipients of funds 2013-2020	95	95	95	270506	270506	270506	0.02	0.022	0.012	16400
fy2010-aip-grants	100	100	100	264109	264109	264109	-0.88	0.088	0.088	17362
007_Contextures_chart_sample_667d8e47	7	7	7	1836	1836	1836	0.02	0.020	0.021	309
airports_6	17	17	17	58809	58809	58809	0.01	1.573	0.048	8029
REDAC_SCHEDULE_RPD_137	2	2	2	1697	1697	1697	0.04	0.127	0.127	302
REDAC_SCHEDULE_RPD_135	1	1	1	486	486	486	0.07	0.124	0.124	118
084_Service_invoice_Use_this_template_c92b43dc	3	3	3	1159	1159	1159	-37.67	49.192	67.987	71
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA	4	4	4	2532	2532	2512	0.00	1.044	1.010	91
redac-sas-201503-fy17-research-portfolio	2	2	2	4715	4715	4715	0.02	2.242	0.248	282
FY2021-AIP-grants	57	57	57	598285	598285	598285	-14.90	0.004	0.007	44672
009_Contextures_chart_sample_adcb3f6c	12	12	12	1266	1266	1266	0.00	0.013	0.014	129
032_Business_expenses_budget_d377eaab	4	4	4	4873	4873	4873	-3.53	11.523	6.913	289
RPD 155 REDAC SCHEDULE 2014-04-02	1	1	1	492	492	492	0.01	0.107	0.106	87
Global_Market_Forecast_2016-2035_Airbus_Data_Set	567	567	567	305447	305447	305447	0.00	4.877	0.019	67325
045_Check_register_with_chart_4becb8a0	1	1	1	764	764	764	-3.79	0.193	0.153	96
ECA Sinters	163	163	163	189339	189339	189299	0.01	3.220	0.514	30135
RPA-Budgets-FY-17-19-20	4	4	4	4050	4050	4050	-0.99	0.195	0.273	103
