# ours   = Paperless.Cli @ f4b8c38255a92caf1f05cc8acdf8d8288a5ceac4 + this round
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 (TDF tarball)
# fonts  = system fontconfig; ALL FOUR tarball confounds moved aside on 2026-09-07 --
#          Carlito/Caladea/Liberation/DejaVu duplicates, the Latin Noto, and the four
#          LiberationSansNarrow. 38 faces in .duplicates-aside, 71 left in the directory.
#          fc-match "DejaVu Sans" -> DejaVuSans.ttf. fc-list | grep -i narrow is empty.
# rule   = batch-check.sh of 2026-09-05: page count, then alphanumeric characters within
#          max(2%, 15), then unembedded fonts.
# corpus = /home/user/corpus-odf
# note   = the reference half here reproduces probes/odf-gate-01/rows.tsv's ref columns on
#          302 of 302 .odp rows, pages and glyphs, so the Narrow move did not touch them.
path	pages	before_glyphs	after_glyphs	before_verdict	after_verdict	master_alnum	display_none	running_alnum	ooxml_verdict	ooxml_glyphs	cause
slides/ceiling-001/odp/Fundamentals_Module_1_basics.odp	27	5615/6471	6577/6471	words	match	999	0	0	match	6589/6471	master-background-objects (closed)
slides/ceiling-001/odp/OnTrac_StarCertificationProgram-3Day.odp	15	7576/6233	7740/6233	words	words	187	0	0	words	7709/6233	shared with the OOXML reader
slides/ceiling-001/odp/solog_orientation_august_2019.odp	15	4281/4393	4281/4393	words	words	915	77	0	match	4393/4393	master background partly closed, residual elsewhere
slides/ceiling-002/odp/8_P-Pavese_AIRBUS-ATB-journee-CRATB.odp	26	10319/9914	10319/9914	words	words	0	0	2	words	10424/9949	shared with the OOXML reader
slides/ceiling-002/odp/Demick_JetBlue.odp	10	2897/3179	2897/3179	words	words	0	3	0	words	3519/3179	shared with the OOXML reader
slides/chartset-001/odp/combo_bar_line_chart.odp	1	166/219	166/219	words	words	0	0	0	match	219/219	other, ODF reader
slides/chartset-001/odp/scatter_chart.odp	1	83/105	83/105	words	words	0	0	0	match	105/105	other, ODF reader
slides/chartset-005/odp/004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80.odp	1	320/340	340/340	words	match	20	0	0	match	340/340	master-background-objects (closed)
slides/chartset-005/odp/005_2-Step_Funnel_On_left_With_Text_767f0490.odp	1	450/470	470/470	words	match	20	0	0	match	470/470	master-background-objects (closed)
slides/chartset-005/odp/006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084.odp	3	524/645	645/645	words	match	121	0	0	match	645/645	master-background-objects (closed)
slides/chartset-005/odp/011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd.odp	1	332/352	352/352	words	match	20	0	0	match	352/352	master-background-objects (closed)
slides/chartset-005/odp/068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7.odp	1	43/63	63/63	words	match	20	0	0	match	63/63	master-background-objects (closed)
slides/chartset-005/odp/069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc.odp	1	48/68	68/68	words	match	20	0	0	match	68/68	master-background-objects (closed)
slides/chartset-005/odp/070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642.odp	1	53/73	73/73	words	match	20	0	0	match	73/73	master-background-objects (closed)
slides/chartset-005/odp/071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec.odp	1	58/78	78/78	words	match	20	0	0	match	78/78	master-background-objects (closed)
slides/chartset-005/odp/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.odp	3	980/1101	1101/1101	words	match	121	0	0	match	1101/1101	master-background-objects (closed)
slides/chartset-005/odp/084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c.odp	3	1022/1128	1128/1128	words	match	106	0	0	match	1128/1128	master-background-objects (closed)
slides/chartset-006/odp/001_1-2-3_Horizontal_Hierarchy_39795b4d.odp	3	1126/1247	1247/1247	words	match	121	0	0	match	1247/1247	master-background-objects (closed)
slides/chartset-006/odp/007_3_Circles_Diagram_for_PowerPoint_dac9f170.odp	3	1272/1378	1378/1378	words	match	106	0	0	match	1378/1378	master-background-objects (closed)
slides/chartset-006/odp/017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5.odp	1	344/364	364/364	words	match	20	0	0	match	364/364	master-background-objects (closed)
slides/chartset-006/odp/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.odp	3	1744/1865	1865/1865	words	match	121	0	0	match	1865/1865	master-background-objects (closed)
slides/chartset-006/odp/043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e.odp	3	572/693	693/693	words	match	121	0	0	match	693/693	master-background-objects (closed)
slides/chartset-006/odp/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.odp	4	2487/2628	2628/2628	words	match	141	0	0	match	2628/2628	master-background-objects (closed)
slides/chartset-006/odp/055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18.odp	3	1584/1705	1705/1705	words	match	121	0	0	match	1705/1705	master-background-objects (closed)
slides/chartset-006/odp/077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020.odp	3	840/961	961/961	words	match	121	0	0	match	961/961	master-background-objects (closed)
slides/chartset-006/odp/094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb.odp	3	1284/1405	1405/1405	words	match	121	0	0	match	1405/1405	master-background-objects (closed)
slides/chartset-006/odp/099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33.odp	3	1274/1395	1395/1395	words	match	121	0	0	match	1395/1395	master-background-objects (closed)
