# ours   = Paperless.Cli @ f4b8c38255a92caf1f05cc8acdf8d8288a5ceac4 (base, before this round)
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 (TDF tarball)
# fonts  = system fontconfig; ALL FOUR tarball confounds moved aside on 2026-09-07 --
#          Carlito/Caladea/Liberation/DejaVu duplicates, the Latin Noto, and the four
#          LiberationSansNarrow. 38 faces in .duplicates-aside, 71 left in the directory.
#          fc-match "DejaVu Sans" -> DejaVuSans.ttf. fc-list | grep -i narrow is empty.
# rule   = batch-check.sh of 2026-09-05: page count, then alphanumeric characters within
#          max(2%, 15), then unembedded fonts.
# corpus = /home/user/sample-files (reference columns from /home/user/gate-2f47 @ 2f4709c08)
# note   = the reference half here reproduces probes/odf-gate-01/rows.tsv's ref columns on
#          302 of 302 .odp rows, pages and glyphs, so the Narrow move did not touch them.
path	ext	pages	words	fonts	unemb	verdict	rawwords	glyphs
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	26/26	1138/1089	5/5	0	match	1225/1175	6589/6471
slides/ceiling-001/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	ppt	27/27	2477/2479	8/8	0	match	2666/2667	13921/13959
slides/ceiling-001/ppt/Thailand17.ppt	ppt	54/54	2713/2625	8/9	0	words	2919/2826	14880/14380
slides/ceiling-001/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	ppt	20/20	900/812	6/6	0	words	955/862	4973/4473
slides/ceiling-001/ppt/architecture6.ppt	ppt	31/31	1926/1926	5/5	0	match	2011/2011	10724/10724
slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	pptx	18/18	968/952	7/7	0	match	1031/1021	5520/5593
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	pptx	30/30	5147/5127	4/4	0	match	5314/5295	28100/28136
slides/ceiling-001/pptx/OnTrac_StarCertificationProgram-3Day.pptx	pptx	15/15	1324/1030	8/7	0	words	1414/1116	7709/6233
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	pptx	15/15	1064/1064	7/7	0	match	1152/1152	5700/5700
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	pptx	15/15	670/674	6/6	0	match	730/736	4393/4393
slides/ceiling-002/ppt/pres_ioc_phuket.ppt	ppt	26/26	994/999	9/9	0	match	1033/1040	6090/6090
slides/ceiling-002/pptx/16 - UTM - (NASA).pptx	pptx	37/37	2453/2260	11/11	0	words	2657/2447	15126/13981
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	26/26	2135/2021	11/11	0	words	2328/2210	10424/9949
slides/ceiling-002/pptx/Demick_JetBlue.pptx	pptx	10/10	812/608	4/4	0	words	836/631	3519/3179
