# ours=dotnet/probes/odp-running-r71/ours-before.tsv ref=dotnet/probes/odp-master-r70/ref.tsv
path	pages	glyphs	verdict
slides/ceiling-001/odp/7-Zulkefli_Part147n66_IKMAS.odp	18/18	5545/5547	match
slides/ceiling-001/odp/Fundamentals_Module_1_basics.odp	26/26	6577/6471	match
slides/ceiling-001/odp/N2_E_Maestroni_Swarm_COP.odp	30/30	28373/28279	match
slides/ceiling-001/odp/OnTrac_StarCertificationProgram-3Day.odp	15/15	7740/6233	words
slides/ceiling-001/odp/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.odp	27/27	13826/13959	match
slides/ceiling-001/odp/Sylva%20introduction%20session.odp	15/15	5604/5700	match
slides/ceiling-001/odp/Thailand17.odp	54/54	14356/14380	match
slides/ceiling-001/odp/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.odp	20/20	4473/4473	match
slides/ceiling-001/odp/architecture6.odp	31/31	10857/10715	match
slides/ceiling-001/odp/solog_orientation_august_2019.odp	15/15	4281/4393	words
slides/ceiling-002/odp/16 - UTM - (NASA).odp	37/37	14165/13981	match
slides/ceiling-002/odp/8_P-Pavese_AIRBUS-ATB-journee-CRATB.odp	26/26	10319/9914	words
slides/ceiling-002/odp/Demick_JetBlue.odp	10/10	2897/3179	words
slides/ceiling-002/odp/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.odp	51/51	13214/13007	match
slides/ceiling-002/odp/pres_ioc_phuket.odp	26/26	6080/6089	match
slides/chart-001/odp/southern-classic-kennesaw-state-university-final.odp	23/23	10999/10946	match
slides/chartset-001/odp/008_advanced_powerpoint_bubble.odp	1/1	284/284	match
slides/chartset-001/odp/015_advanced_powerpoint_scatter.odp	1/1	283/283	match
slides/chartset-001/odp/016_advanced_powerpoint_bubble.odp	1/1	287/287	match
slides/chartset-001/odp/031_advanced_powerpoint_scatter.odp	1/1	278/278	match
slides/chartset-001/odp/bar_chart.odp	1/1	131/131	match
slides/chartset-001/odp/combo_bar_line_chart.odp	1/1	166/219	words
slides/chartset-001/odp/line_chart.odp	1/1	113/113	match
slides/chartset-001/odp/scatter_chart.odp	1/1	83/105	words
slides/chartset-001/odp/stacked_area_chart.odp	1/1	174/174	match
slides/chartset-001/odp/stacked_bar_chart.odp	1/1	173/173	match
slides/chartset-002/odp/001_advanced_powerpoint_bar.odp	1/1	334/334	match
slides/chartset-002/odp/006_advanced_powerpoint_area.odp	1/1	328/328	match
slides/chartset-002/odp/007_advanced_powerpoint_scatter.odp	1/1	282/282	match
slides/chartset-002/odp/014_advanced_powerpoint_area.odp	1/1	330/330	match
slides/chartset-002/odp/017_advanced_powerpoint_bar.odp	1/1	339/339	match
slides/chartset-002/odp/023_advanced_powerpoint_scatter.odp	1/1	283/283	match
slides/chartset-002/odp/024_advanced_powerpoint_bubble.odp	1/1	286/286	match
slides/chartset-002/odp/030_advanced_powerpoint_area.odp	1/1	327/327	match
slides/chartset-002/odp/032_advanced_powerpoint_bubble.odp	1/1	284/284	match
slides/chartset-002/odp/033_advanced_powerpoint_bar.odp	1/1	328/328	match
slides/chartset-003/odp/002_advanced_powerpoint_column.odp	1/1	335/335	match
slides/chartset-003/odp/003_advanced_powerpoint_line.odp	1/1	332/332	match
slides/chartset-003/odp/005_advanced_powerpoint_doughnut.odp	1/1	301/301	match
slides/chartset-003/odp/009_advanced_powerpoint_bar.odp	1/1	339/339	match
slides/chartset-003/odp/010_advanced_powerpoint_column.odp	1/1	332/332	match
slides/chartset-003/odp/011_advanced_powerpoint_line.odp	1/1	328/328	match
slides/chartset-003/odp/012_advanced_powerpoint_pie.odp	1/1	308/308	match
slides/chartset-003/odp/019_advanced_powerpoint_line.odp	1/1	331/331	match
slides/chartset-003/odp/027_advanced_powerpoint_line.odp	1/1	326/326	match
slides/chartset-003/odp/028_advanced_powerpoint_pie.odp	1/1	300/300	match
slides/chartset-004/odp/004_advanced_powerpoint_pie.odp	1/1	300/300	match
slides/chartset-004/odp/013_advanced_powerpoint_doughnut.odp	1/1	297/297	match
slides/chartset-004/odp/018_advanced_powerpoint_column.odp	1/1	329/329	match
slides/chartset-004/odp/020_advanced_powerpoint_pie.odp	1/1	300/300	match
slides/chartset-004/odp/021_advanced_powerpoint_doughnut.odp	1/1	304/304	match
slides/chartset-004/odp/022_advanced_powerpoint_area.odp	1/1	329/329	match
slides/chartset-004/odp/025_advanced_powerpoint_bar.odp	1/1	323/323	match
slides/chartset-004/odp/026_advanced_powerpoint_column.odp	1/1	332/332	match
slides/chartset-004/odp/029_advanced_powerpoint_doughnut.odp	1/1	300/300	match
slides/chartset-005/odp/004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80.odp	1/1	340/340	match
slides/chartset-005/odp/005_2-Step_Funnel_On_left_With_Text_767f0490.odp	1/1	470/470	match
slides/chartset-005/odp/006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084.odp	3/3	645/645	match
slides/chartset-005/odp/011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd.odp	1/1	352/352	match
slides/chartset-005/odp/068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7.odp	1/1	63/63	match
slides/chartset-005/odp/069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc.odp	1/1	68/68	match
slides/chartset-005/odp/070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642.odp	1/1	73/73	match
slides/chartset-005/odp/071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec.odp	1/1	78/78	match
slides/chartset-005/odp/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.odp	3/3	1101/1101	match
slides/chartset-005/odp/084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c.odp	3/3	1128/1128	match
slides/chartset-006/odp/001_1-2-3_Horizontal_Hierarchy_39795b4d.odp	3/3	1247/1247	match
slides/chartset-006/odp/007_3_Circles_Diagram_for_PowerPoint_dac9f170.odp	3/3	1378/1378	match
