# side=ours binary=/home/user/wt-odpfoot/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli version=d766db3778c3cac048fb6488d5f44ae503c30616
path	status	rc	pages	words	rawwords	glyphs	fonts	unemb
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	OK	0	26	1138	1225	6589	5	0
slides/ceiling-001/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	OK	0	27	2477	2666	13921	8	0
slides/ceiling-001/ppt/Thailand17.ppt	OK	0	54	2713	2919	14880	8	0
slides/ceiling-001/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	OK	0	20	900	955	4973	6	0
slides/ceiling-001/ppt/architecture6.ppt	OK	0	31	1926	2011	10724	5	0
slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	OK	0	18	968	1031	5520	7	0
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	OK	0	30	5147	5314	28100	4	0
slides/ceiling-001/pptx/OnTrac_StarCertificationProgram-3Day.pptx	OK	0	15	1324	1414	7709	8	0
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	OK	0	15	1064	1152	5700	7	0
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	OK	0	15	670	730	4393	6	0
slides/ceiling-002/ppt/pres_ioc_phuket.ppt	OK	0	26	994	1033	6090	9	0
slides/ceiling-002/pptx/16 - UTM - (NASA).pptx	OK	0	37	2453	2657	15126	11	0
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	OK	0	26	2135	2328	10424	11	0
slides/ceiling-002/pptx/Demick_JetBlue.pptx	OK	0	10	812	836	3519	4	0
slides/ceiling-002/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	OK	0	51	1956	2127	13011	8	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	OK	0	23	2221	2315	10979	7	0
slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx	OK	0	1	42	48	284	3	0
slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	OK	0	1	42	48	283	3	0
slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx	OK	0	1	43	49	287	3	0
slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	OK	0	1	42	48	278	3	0
slides/chartset-001/pptx/bar_chart.pptx	OK	0	1	25	25	131	2	0
slides/chartset-001/pptx/combo_bar_line_chart.pptx	OK	0	1	42	42	219	2	0
slides/chartset-001/pptx/line_chart.pptx	OK	0	1	23	23	113	2	0
slides/chartset-001/pptx/scatter_chart.pptx	OK	0	1	46	46	105	1	0
