# measured 2026-09-07 in the /home/user container; ref = /opt/libreoffice26.2/program/soffice 26.2.4.2,
# corpus = /home/user/corpus-odf, tree = agent/odshdr base 0e54dba0a, tarball font confounds aside
# calibration: ref first-row top with no header = 58.69335174560547
probe	refRow	refBand	hdrTop	hdrBot	hdrH	oursRow	oursBand
fix_0.2cm	64.334	5.641	-	-	-	64.333	5.641
fix_0.75cm	79.925	21.232	58.201	69.361	11.160	79.924	21.232
fix_1.5cm	101.184	42.491	68.801	79.961	11.160	101.184	42.491
font_Carlito_10	99.228	40.535	56.681	68.881	12.200	99.228	40.535
font_Carlito_12	101.695	43.002	56.677	71.317	14.640	101.637	42.945
font_Carlito_16	106.599	47.906	56.719	76.239	19.520	106.541	47.849
font_Carlito_24	116.350	57.657	56.703	85.983	29.280	116.349	57.657
font_Carlito_6	98.180	39.487	58.589	65.909	7.320	98.236	39.543
font_Carlito_8	98.180	39.487	57.385	67.145	9.760	98.236	39.543
font_DejaVuSans_10	98.690	39.997	56.721	68.351	11.630	98.746	40.054
font_DejaVuSans_12	100.986	42.293	56.715	70.671	13.956	100.929	42.236
font_DejaVuSans_16	105.691	46.998	56.703	75.311	18.608	105.747	47.055
font_DejaVuSans_24	114.989	56.296	56.729	84.641	27.912	115.045	56.353
font_DejaVuSans_6	98.180	39.487	58.733	65.711	6.978	98.236	39.543
font_DejaVuSans_8	98.180	39.487	57.577	66.881	9.304	98.236	39.543
font_LiberationMono_10	98.350	39.657	56.681	68.001	11.320	98.349	39.657
font_LiberationMono_12	100.646	41.953	56.717	70.301	13.584	100.645	41.953
font_LiberationMono_16	105.181	46.488	56.739	74.851	18.112	105.124	46.432
font_LiberationMono_24	114.224	55.531	56.733	83.901	27.168	114.223	55.531
font_LiberationMono_6	98.180	39.487	58.859	65.651	6.792	98.236	39.543
font_LiberationMono_8	98.180	39.487	57.745	66.801	9.056	98.236	39.543
font_LiberationSans_10	98.180	39.487	56.701	67.861	11.160	98.236	39.543
font_LiberationSans_12	100.447	41.754	56.691	70.083	13.392	100.447	41.754
font_LiberationSans_16	104.926	46.233	56.721	74.577	17.856	104.925	46.233
font_LiberationSans_24	113.884	55.191	56.731	83.515	26.784	113.826	55.134
font_LiberationSans_6	98.180	39.487	58.871	65.567	6.696	98.236	39.543
font_LiberationSans_8	98.180	39.487	57.811	66.739	8.928	98.236	39.543
font_LiberationSerif_10	98.180	39.487	56.741	67.811	11.070	98.236	39.543
font_LiberationSerif_12	100.334	41.641	56.709	69.993	13.284	100.333	41.641
font_LiberationSerif_16	104.784	46.091	56.695	74.407	17.712	104.840	46.148
font_LiberationSerif_24	113.628	54.935	56.717	83.285	26.568	113.628	54.935
font_LiberationSerif_6	98.180	39.487	58.955	65.597	6.642	98.236	39.543
font_LiberationSerif_8	98.180	39.487	57.823	66.679	8.856	98.236	39.543
gap_0.25cm	79.925	21.232	58.201	69.361	11.160	79.924	21.232
gap_0.5cm	83.978	25.285	56.701	67.861	11.160	84.034	25.342
gap_0cm	79.925	21.232	61.751	72.911	11.160	79.924	21.232
gap_1.5cm	112.325	53.632	56.701	67.861	11.160	112.381	53.688
gap_1cm	98.180	39.487	56.701	67.861	11.160	98.236	39.543
gap_2cm	126.526	67.833	56.701	67.861	11.160	126.582	67.890
lines_1	83.978	25.285	56.701	67.861	11.160	84.034	25.342
lines_2	95.147	36.454	56.701	67.861	11.160	95.231	36.539
lines_3	106.287	47.594	56.701	67.861	11.160	106.428	47.735
lines_5	128.595	69.902	56.701	67.861	11.160	128.822	70.129
min_0.2cm	69.833	11.140	56.701	67.861	11.160	69.889	11.197
min_0.4cm	70.032	11.339	56.801	67.961	11.160	70.031	11.339
min_0.6cm	75.673	16.980	59.601	70.761	11.160	75.672	16.980
min_0.75cm	79.925	21.232	61.751	72.911	11.160	79.924	21.232
min_1.5cm	101.184	42.491	72.351	83.511	11.160	101.184	42.491
min_1cm	87.039	28.346	65.301	76.461	11.160	87.039	28.346
min_2cm	115.386	56.693	79.451	90.611	11.160	115.385	56.693
none	58.693	0.000	-	-	-	58.692	0.000
