document	breaks	paras	wrapbreaks	shapecells	widest-ratio
FY2018_Q4_UAS_Sightings.ods	0	609	0	0	3.30
CIS_Debian_Linux_8_Benchmark_v1.0.0.ods	361	0	1	0	17.27
RCO_VOR_Master_List_082824.ods	0	257	0	0	2.46
sectors-defense-and-aerospace.ods	0	128	3	0	23.09
AFS-400_Contacts.ods	0	107	9	1	16.05
dragon-175066A.ods	99	0	185	0	2.69
activespecs.ods	85	0	0	0	4.11
ans_mappings_of_eccairs_terms.ods	66	13	0	0	2.22
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.ods	0	32	0	0	1.56
arp-sop-300-Exhibit-A-Table-Templates.ods	0	18	32	1	2.46
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted.ods	15	0	4	0	2.71
18-02RD301_ILS_components_Master_9-13-18.ods	0	14	3	0	4.13
TOGAF9-Tool-ConfReqts-CSQ.ods	0	10	2	1	4.49
047_Date_tracker_Gantt_chart_bf34f3a8.ods	9	0	9	1	3.71
capa-liste-nse-1.ods	9	0	0	0	1.53
orbus_togaf_tool_csq.ods	0	9	1	0	2.74
commander-authorisation-tasks-spreadsheet-october-2025.ods	0	8	10	0	3.97
RMP 2011-2014 and Inventory.ods	0	7	291	0	1.90
023_Waterfall_Chart_Template_for_Excel_349f7689.ods	0	6	0	0	1.15
015_Free_Gantt_Chart_Template_for_Excel_414e86bf.ods	0	5	5	0	1.57
SIL_TDB648.ods	0	5	58	13	1.51
TICAPCapability_Final.ods	0	4	12	3	1.14
FAA-2019-0995-0002_attachment_2.ods	0	4	101	0	1.10
059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.ods	0	3	0	0	1.50
Template Pilot Logbook JAR-FCL V3.0.ods	0	2	0	0	1.39
00514292.ods	2	0	0	0	1.85
TK-Syllabus-Comparison-Document-v2.ods	0	2	1723	0	1.44
Travel-Cost-Estimate-Calculator.ods	0	1	3	7	1.26
Background_Declaration_Template.ods	0	1	9	0	1.28
PBN Matrix NAAs (V01).ods	1	0	23	0	1.02
seihon_zassi_kikou_20221215.ods	1	0	1155	0	1.11
AIM_OPR_LIST.ods	0	1	2	0	2.47
fse_identification_form.ods	1	0	0	2	1.07
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.ods	0	0	1	0	1.00
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.ods	0	0	1	0	1.00
DynamicBubbleChart.ods	0	0	0	1	1.00
011_Contextures_chart_sample_599b4392.ods	0	0	1	0	1.00
014_Contextures_chart_sample_991ecfc5.ods	0	0	0	1	1.00
061_Regional_sales_chart_cb9eb690.ods	0	0	1	0	1.00
070_Equipment_inventory_list_Use_this_template_fd524c8a.ods	0	0	0	3	1.00
089_Vintage_inventory_list_Use_this_template_f616cac0.ods	0	0	4	0	1.00
037_Personal_money_tracker_a57957bb.ods	0	0	1	3	1.00
040_Blood_pressure_tracker_872b6833.ods	0	0	1	0	1.00
082_Project_to_do_list_28f80082.ods	0	0	1	0	1.00
083_Project_tracker_Use_this_template_b38d057c.ods	0	0	2	0	1.00
092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_31fe4d22.ods	0	0	0	1	1.00
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281.ods	0	0	0	1	1.00
099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_c0cc35a6.ods	0	0	0	1	1.00
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.ods	0	0	0	1	1.00
024_Free_Kids_Chore_Chart_Template_ad74bb34.ods	0	0	0	1	1.00
056_Quarterly_sale_report_baa6bb0d.ods	0	0	0	1	1.00
085_Simple_Gantt_chart_d65b8377.ods	0	0	1	0	1.00
079_Org_charts_visual_248d1dcf.ods	0	0	0	2	1.00
