document	kept	stated	heights
2025_Active_Civil_Airmen_Statistics_FINAL.ods	66733	68480	0.1563in,0.1772in
Global_Market_Forecast_2016-2035_Airbus_Data_Set.ods	15557	16814	0.198in,0.2071in,0.3937in
Laser Report 2024 FOIA __Oct (1).ods	11206	11608	0.2189in
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.ods	7988	8191	0.1772in,0.1965in,0.2071in,0.2693in,0.3937in,0.3in,0.5181in,0.6425in,0.7665in
Aviation_Abbreviations.ods	7517	7737	0.2083in,0.2291in,0.25in,0.3102in,0.4555in
EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.ods	5101	5302	0.198in
TK-Syllabus-Comparison-Document-v2.ods	4877	7928	0.2083in,0.2189in,0.3937in,0.5799in,0.7043in,0.7665in,0.9535in,1.1398in,1.3264in,1.5134in,1.6992in,1.8862in,2.0728in,2.2591in,2.4457in,2.6327in,2.8189in,3.0055in,3.1925in,3.3783in,3.5654in,4.311in,4.6846in,4.8709in,5.0575in,5.6173in,5.8043in
alle einzeln.ods	4852	5254	0.1772in
FY2021-AIP-grants.ods	4732	4933	0.2083in,0.2898in,0.4244in,0.5591in,1.3681in,3.389in
seihon_zassi_kikou_20221215.ods	4466	5160	0.2602in,0.3937in,0.5799in,0.7665in,0.9535in,1.1398in
Special-Procedures_2025-07-10.ods	3827	4028	0.2083in,0.5799in
tk-syllabus-comparison-document-v5.ods	3641	6539	0.1772in,0.198in,0.3311in,0.3937in,0.4866in,0.6425in,0.798in,0.9535in,1.1091in,1.2638in,1.4193in,1.5752in,1.7307in,1.8862in,2.0417in,2.1972in,2.3528in,2.5075in,3.4409in,3.5965in
CSJU List of Recipients of funds 2013-2020.ods	3090	5508	0.2083in
EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31.ods	3012	3213	0.2083in
FAA-2019-0995-0002_attachment_2.ods	2882	3932	0.1772in
Data-Architecture-Tool-Fit-Assessment-Template.ods	2867	3022	0.1772in
ans_mappings_of_eccairs_terms.ods	2568	4303	0.2189in
flightstandards-doc-Cross-reference-table_version02.ods	2407	3012	0.1772in,0.2083in,0.3311in,0.4866in,0.6425in,0.798in,0.9535in,1.1091in,1.2638in,1.4193in,1.5752in,1.7307in,1.8862in,2.1972in,2.3528in,2.5075in,2.6634in,4.6846in
