document	applied_names	styles_found	styles_stating_a_size
074_Idea_planner_bacaa123.ods	4	2	0
044_Cash_flow_forecast_Use_this_template_b8fa1f35.ods	4	2	0
088_To-do_list_with_progress_tracker_Use_this_template_8c438912.ods	2	1	0
037_Personal_money_tracker_a57957bb.ods	6	3	0
040_Blood_pressure_tracker_872b6833.ods	4	2	0
050_Financial_vision_d44241e1.ods	8	4	0
082_Project_to_do_list_28f80082.ods	2	1	0
083_Project_tracker_Use_this_template_b38d057c.ods	4	2	0
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.ods	4	2	0
023_Waterfall_Chart_Template_for_Excel_349f7689.ods	16	8	0
015_Free_Gantt_Chart_Template_for_Excel_414e86bf.ods	5	4	0
024_Free_Kids_Chore_Chart_Template_ad74bb34.ods	4	2	0
041_Business_budget_ef942467.ods	8	4	0
075_Idea_planner_tasks_f44ebd73.ods	6	3	0
081_Project_performance_report_Use_this_template_be2468b3.ods	18	9	0
085_Simple_Gantt_chart_d65b8377.ods	10	9	0
047_Date_tracker_Gantt_chart_bf34f3a8.ods	2	1	0
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.ods	12	6	0
072_Gantt_project_planner_dde00e33.ods	20	10	0
078_Modern_inventory_list_Use_this_template_41abd5bf.ods	8	4	0
028_Budget_summary_report_4aeefd13.ods	6	3	0
042_Business_monthly_budget_4e4d092f.ods	10	5	0
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	2	1	0
066_Agile_Gantt_chart_08f9de45.ods	48	42	0
071_Four-week_project_timeline_Use_this_template_4f05db49.ods	10	5	0
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a.ods	4	2	0
036_Simple_to-do_list_Use_this_template_ba44373b.ods	8	4	0
068_Blue_inventory_list_Use_this_template_f9908489.ods	2	1	0
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.ods	12	6	0
031_Business_expense_budget_f3a46278.ods	10	5	0
032_Business_expenses_budget_d377eaab.ods	10	5	0
087_Simple_personal_budget_3cf9b1af.ods	2	1	0
027_Simple_personal_cash_flow_statement_675c6584.ods	18	12	0
038_Baby_growth_chart_bb9cd672.ods	2	1	0
039_Baby_growth_tracker_e295ae56.ods	2	1	0
064_Small_business_cash_flow_Use_this_template_0a640756.ods	2	1	0
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.ods	4	2	0
Chicago.List.2025.ods	2	2	0
Air_Boss_Master_List.ods	6	3	0
NPA_21_21_Sentenced_Comments.ods	18	9	0
VOR Candidate Discontinuance List 2026-01-08.ods	16	8	0
Background_Declaration_Template.ods	48	26	0
Hazard Analysis Template.ods	4	2	0
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.ods	7	7	0
wiley-cancelled-title-list.ods	1	1	0
Computer and Software Services_50 State Comparison.ods	5	3	0
Data-Architecture-Tool-Fit-Assessment-Template.ods	12	10	0
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.ods	279	144	0
sistem-rekod-markah-srm-_-rekod-master.ods	10	5	0
Special-Procedures_2025-07-10.ods	6	6	0
Application_Compliance_Checklist_5_Apr_2021.ods	734	702	0
atspp_pay_tables.ods	124	62	0
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.ods	7	7	0
TICAPCapability_Final.ods	12	6	0
edb-emissions-databank v27-NewFormat (web).ods	18	9	0
fm-provider-service-measures.ods	5	5	0
flightstandards-doc-Cross-reference-table_version02.ods	358	358	0
tk-syllabus-comparison-document-v5.ods	6	3	0
TK-Syllabus-Comparison-Document-v2.ods	826	413	0
FAA-2019-0995-0002_attachment_2.ods	6	4	0
