ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	xls	38/38	-/-	4/4	0	match	-/-	5612/5643
ceiling-001/xlsx/2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.xlsx	xlsx	5/5	-/-	2/4	0	match	-/-	13250/13250
ceiling-001/xlsx/2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.xlsx	xlsx	5/5	-/-	2/4	0	match	-/-	13250/13250
ceiling-001/xlsx/EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.xlsx	xlsx	114/114	-/-	1/1	0	match	-/-	188829/188791
ceiling-001/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.xlsx	xlsx	19/19	-/-	1/1	0	match	-/-	31382/31376
chartset-001/xlsx/001_advanced_excel_bar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	472/472
chartset-001/xlsx/002_advanced_excel_line.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	466/466
chartset-001/xlsx/005_advanced_excel_area.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	447/447
chartset-001/xlsx/006_advanced_excel_scatter.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	420/420
chartset-001/xlsx/016_advanced_excel_radar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	422/422
chartset-001/xlsx/022_advanced_excel_scatter.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	422/423
chartset-001/xlsx/025_advanced_excel_bar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	440/440
chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	374/374
chartset-001/xlsx/032_advanced_excel_radar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	412/412
chartset-001/xlsx/033_advanced_excel_bar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	454/454
chartset-002/xlsx/003_advanced_excel_pie.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	479/479
chartset-002/xlsx/007_advanced_excel_bubble.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	418/418
chartset-002/xlsx/011_advanced_excel_pie.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	457/457
chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	400/400
chartset-002/xlsx/013_advanced_excel_area.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	433/433
chartset-002/xlsx/021_advanced_excel_area.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	455/455
chartset-002/xlsx/026_advanced_excel_line.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	454/454
chartset-002/xlsx/027_advanced_excel_pie.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	451/451
chartset-002/xlsx/030_advanced_excel_scatter.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	421/421
chartset-002/xlsx/034_advanced_excel_line.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	465/465
chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	375/375
chartset-003/xlsx/008_advanced_excel_radar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	415/415
chartset-003/xlsx/014_advanced_excel_scatter.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	432/432
chartset-003/xlsx/015_advanced_excel_bubble.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	428/428
chartset-003/xlsx/017_advanced_excel_bar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	488/488
chartset-003/xlsx/018_advanced_excel_line.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	447/447
chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	374/374
chartset-003/xlsx/024_advanced_excel_radar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	423/423
chartset-003/xlsx/029_advanced_excel_area.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	444/444
chartset-003/xlsx/031_advanced_excel_bubble.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	404/404
chartset-004/xlsx/009_advanced_excel_bar.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	495/495
chartset-004/xlsx/010_advanced_excel_line.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	461/461
chartset-004/xlsx/019_advanced_excel_pie.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	476/476
chartset-004/xlsx/023_advanced_excel_bubble.xlsx	xlsx	3/3	-/-	3/3	0	match	-/-	425/425
chartset-004/xlsx/DynamicBubbleChart.xlsx	xlsx	5/5	-/-	3/3	0	match	-/-	1723/1728
chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	5/5	-/-	3/3	0	match	-/-	839/826
chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	xlsx	4/4	-/-	2/2	0	match	-/-	879/882
