document	mapped_styles	mapped_cells	cells_outside_calcext
074_Idea_planner_bacaa123.ods	1	4	0
044_Cash_flow_forecast_Use_this_template_b8fa1f35.ods	12	114	0
088_To-do_list_with_progress_tracker_Use_this_template_8c438912.ods	7	40	0
037_Personal_money_tracker_a57957bb.ods	1	1	0
040_Blood_pressure_tracker_872b6833.ods	2	16	0
050_Financial_vision_d44241e1.ods	2	2	0
082_Project_to_do_list_28f80082.ods	15	54	0
083_Project_tracker_Use_this_template_b38d057c.ods	2	18	0
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.ods	2	2	0
023_Waterfall_Chart_Template_for_Excel_349f7689.ods	18	228	0
015_Free_Gantt_Chart_Template_for_Excel_414e86bf.ods	10	2128	0
024_Free_Kids_Chore_Chart_Template_ad74bb34.ods	14	162	0
041_Business_budget_ef942467.ods	11	105	0
075_Idea_planner_tasks_f44ebd73.ods	1	4	0
081_Project_performance_report_Use_this_template_be2468b3.ods	4	1150	0
085_Simple_Gantt_chart_d65b8377.ods	22	1568	0
047_Date_tracker_Gantt_chart_bf34f3a8.ods	1	13	0
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.ods	2	2	0
072_Gantt_project_planner_dde00e33.ods	7	1686	0
078_Modern_inventory_list_Use_this_template_41abd5bf.ods	8	260	0
028_Budget_summary_report_4aeefd13.ods	31	7466	0
042_Business_monthly_budget_4e4d092f.ods	20	331	0
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	2	2	0
066_Agile_Gantt_chart_08f9de45.ods	53	5208	0
071_Four-week_project_timeline_Use_this_template_4f05db49.ods	10	74	0
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a.ods	5	275	0
036_Simple_to-do_list_Use_this_template_ba44373b.ods	15	4198	0
068_Blue_inventory_list_Use_this_template_f9908489.ods	1	5	0
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.ods	12	1540	0
031_Business_expense_budget_f3a46278.ods	5	312	0
032_Business_expenses_budget_d377eaab.ods	33	378	0
087_Simple_personal_budget_3cf9b1af.ods	2	13	0
027_Simple_personal_cash_flow_statement_675c6584.ods	12	865	0
038_Baby_growth_chart_bb9cd672.ods	1	20	0
039_Baby_growth_tracker_e295ae56.ods	1	20	0
064_Small_business_cash_flow_Use_this_template_0a640756.ods	2	13	0
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.ods	7	115	0
Air_Boss_Master_List.ods	8	1099	0
NPA_21_21_Sentenced_Comments.ods	9	1074	0
VOR Candidate Discontinuance List 2026-01-08.ods	11	1419	0
Background_Declaration_Template.ods	42	1772	0
Hazard Analysis Template.ods	1	48	0
Computer and Software Services_50 State Comparison.ods	6	625	0
Data-Architecture-Tool-Fit-Assessment-Template.ods	6	488	0
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.ods	671	1640	0
sistem-rekod-markah-srm-_-rekod-master.ods	20	3600	0
Application_Compliance_Checklist_5_Apr_2021.ods	484	28293	0
atspp_pay_tables.ods	368	78272	0
TICAPCapability_Final.ods	4	37	0
edb-emissions-databank v27-NewFormat (web).ods	15	27	0
tk-syllabus-comparison-document-v5.ods	3	24	0
TK-Syllabus-Comparison-Document-v2.ods	2236	200001	0
FAA-2019-0995-0002_attachment_2.ods	22	1520	0
