document	frames	growing	may_break	anchors	min_heights
words/chartset-005/odt/083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3.odt	2	1	1	paragraph	0in
words/chartset-005/odt/084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820.odt	2	1	1	paragraph	0in
words/chartset-005/odt/085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a.odt	2	1	1	paragraph	0in
words/chartset-005/odt/087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04.odt	2	1	1	paragraph	0in
words/done-012/odt/slcc-architecture-uu-architecture.odt	3	1	1	paragraph	0in
words/done-007/odt/0c662f5c948a7d81d32ffd833c5cc59421a5f522.odt	2	2	0	char,char	0.2598in,0.2598in
words/done-014/odt/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.odt	7	1	0	char	0in
words/done-014/odt/644730BRI0mna000BOX361539B00public0.odt	7	1	0	char	0in
words/done-014/odt/AFS-050-004-F2_0i.odt	4	4	4	paragraph,paragraph,paragraph,paragraph	0in,0in,0in,0in
words/done-014/odt/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.odt	2	1	0	paragraph	0.361in
words/chartset-009/odt/017_Project_Timeline_Template_Customizable_Format_5d5ca2e8.odt	2	1	1	paragraph	0in
words/chartset-009/odt/041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.odt	2	1	1	paragraph	0in
words/chartset-009/odt/042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb.odt	2	1	1	paragraph	0in
words/chartset-009/odt/082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b.odt	2	1	1	paragraph	0in
words/done-016/odt/HC-Bulletin-template.odt	16	2	2	paragraph,paragraph	0in,0in
words/done-016/odt/PES-Technical-Report-Template_Jan_2019.odt	2	1	1	paragraph	0in
words/done-004/odt/461249.odt	1	1	1	paragraph	0in
words/table-001/odt/150_5300_13_chg10.odt	35	1	0	paragraph	5.9701in
words/missing-001/odt/33004.odt	6	2	1	paragraph,char	0in,1.2791in
words/missing-001/odt/May 25 bulletin focus on carers in the workplace.odt	7	1	1	paragraph	0in
words/ceiling-001/odt/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.odt	56	1	1	paragraph	0in
words/ceiling-001/odt/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.odt	4	1	1	paragraph	0in
words/extra-001/odt/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.odt	5	1	1	paragraph	0in
words/extra-001/odt/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.odt	40	1	1	paragraph	0in
words/chartset-014/odt/011_Project_Timeline_Template_Beautiful_Theme_2336e680.odt	2	1	1	paragraph	0in
words/chartset-011/odt/015_Project_Timeline_Template_Colored_Background_6434b0e8.odt	2	1	1	paragraph	0in
words/done-011/odt/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.odt	7	1	1	paragraph	0.0228in
words/chartset-013/odt/047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e.odt	2	1	1	paragraph	0in
words/done-009/odt/CP-ETSO template_v2020.odt	2	1	1	paragraph	0.0228in
words/done-009/odt/Case-Study-Heathrow-Airport.odt	1	1	1	paragraph	0in
words/chartset-006/odt/081_Printable_Graph_Paper_Template_Blue_Theme_629316cb.odt	2	1	1	paragraph	0in
words/done-010/odt/5709.16 ch.40_mgfinal.odt	2	1	1	paragraph	0in
words/done-015/odt/2013_11.odt	3	2	2	paragraph,paragraph	0.0228in,0.0228in
words/done-015/odt/JEMIT_Template.odt	8	1	1	paragraph	0in
words/done-015/odt/system_design__technical_architecture_template.odt	3	1	1	paragraph	0in
words/pagination-001/odt/ESPN-R - MCF - RA - Ed1.odt	2	1	1	paragraph	0in
words/pagination-001/odt/FAA 2025-26 Holdover Tables.odt	2	1	1	paragraph	0in
words/pagination-001/odt/report-template.odt	7	1	0	as-char	0in
words/done-008/odt/ECSS-E-ST-50-16C-Annex-A(30September2021).odt	1	1	1	paragraph	0in
words/done-008/odt/draft-variation-notice-airbus-bm3965ia-v006-vs-comments.odt	1	1	1	paragraph	0in
words/done-005/odt/part-147_approval list_20230119.odt	1	1	1	paragraph	0in
words/chartset-007/odt/018_Project_Timeline_Template_Editable_Format_e1cf1df5.odt	2	1	1	paragraph	0in
words/chartset-007/odt/080_Printable_Graph_Paper_Template_Black_Theme_6b066be1.odt	2	1	1	paragraph	0in
words/chartset-007/odt/089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88.odt	2	1	1	paragraph	0in
words/chartset-010/odt/020_Project_Timeline_Template_Modern_Theme_0c215d87.odt	2	1	1	paragraph	0in
words/chartset-008/odt/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.odt	2	1	1	paragraph	0in
words/chartset-008/odt/016_Project_Timeline_Template_Complete_Guide_7d36d09c.odt	2	1	1	paragraph	0in
words/chartset-012/odt/013_Project_Timeline_Template_Blue_Background_4ea3475e.odt	2	1	1	paragraph	0in
words/metrics-001/odt/OM template for non-complex NCC operators_August 2016.odt	7	3	3	paragraph,paragraph,paragraph	0in,0in,0in
words/metrics-001/odt/手机免提系统TSB.odt	1	1	1	paragraph	0.0228in
