construct	side	sizes(pt)	baselines rel. base(pt)	rows	glyphs
sub	ref	11.90/7.19	+0.00/+2.78	2	x1
sub	ours	11.00	+0.00	1	x1
sup	ref	11.90/7.19	-5.96/+0.00	2	2x
sup	ours	11.00	+0.00	1	x2
subsup	ref	11.91/7.23	-5.96/+0.00/+2.78	3	2x1
subsup	ours	11.00	+0.00	1	x12
presub	ref	11.91/7.23	-5.96/+0.00/+2.78	3	2X1
presub	ours	11.00	+0.00	1	12X
frac	ref	12.03	+0.00/+15.05	2	ab
frac	ours	11.00	+0.00	1	ab
fracsub	ref	12.03/7.19	+0.00/+2.79/+16.85/+19.64	4	a1b2
fracsub	ours	11.00	+0.00	1	a1b2
rad	ref	13.28/12.00	-0.65/+0.00	2	x√
rad	ours	11.00	+0.00	1	x
radn	ref	20.49/11.96/7.18	-15.75/-15.15/-0.65/+0.00	4	a3b√
radn	ours	11.00	+0.00	1	3ab
narysum	ref	17.39/12.01/7.17	-15.40/-1.60/+0.00/+1.20/+9.02	5	nx∑ii=1
narysum	ours	11.00	+0.00	1	i=1nxi
naryint	ref	17.50/12.00/7.20	-16.30/-1.60/+0.00/+9.85	4	∞f(t)dt∫0
naryint	ours	11.00	+0.00	1	0∞f(t)dt
delim	ref	19.27/19.23/12.00	-12.50/-5.65/+0.00/+0.40/+2.60	5	ba+[]()c
delim	ours	11.00	+0.00	1	a+bc
acc	ref	11.91	+0.00	1	x
acc	ours	11.00	+0.00	1	x
func	ref	11.98/8.53	-0.25/+0.00	2	()sin2θ
func	ours	11.00	+0.00	1	sin2θ
matrix	ref	18.02/11.98	-11.45/+0.00/+2.90	3	ab()cd
matrix	ours	11.00	+0.00	1	abcd
mixed	ref	13.79/12.03/7.19	-1.60/+0.00/+1.20/+15.25/+18.05	5	W√MTOMρS0w
mixed	ours	11.00	+0.00	1	WMTOMρ0Sw
