file	pages	verdict	detail
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	3	no-field	
001_1-2-3_Horizontal_Hierarchy_39795b4d__pptx.pdf	3	no-field	
001_Contextures_chart_sample_b089bc34__xlsx.pdf	15	no-field	
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx.pdf	1	skip-short	
001_advanced_excel_bar__xlsx.pdf	3	no-field	
001_advanced_powerpoint_bar__pptx.pdf	1	skip-short	
001_advanced_word_chart_report__docx.pdf	1	skip-short	
002_10-Point_Dual_Hub_Comparison_4ee242c9__pptx.pdf	3	no-field	
002_Contextures_chart_sample_f605e7bc__xlsx.pdf	8	no-field	
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx.pdf	1	skip-short	
002_advanced_excel_line__xlsx.pdf	3	no-field	
002_advanced_powerpoint_column__pptx.pdf	1	skip-short	
002_advanced_word_chart_report__docx.pdf	1	skip-short	
003_2-Circle_Venn_Diagram_7ab74e5c__pptx.pdf	3	no-field	
003_Contextures_chart_sample_9bda2719__xlsm.pdf	6	no-field	
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx.pdf	1	skip-short	
003__doc.pdf	5	no-field	
003_advanced_excel_pie__xlsx.pdf	3	no-field	
003_advanced_powerpoint_line__pptx.pdf	1	skip-short	
003_advanced_word_chart_report__docx.pdf	1	skip-short	
004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80__pptx.pdf	1	skip-short	
004_Contextures_chart_sample_de7c0671__xlsx.pdf	4	no-field	
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152__docx.pdf	1	skip-short	
004_advanced_excel_doughnut__xlsx.pdf	3	no-field	
004_advanced_powerpoint_pie__pptx.pdf	1	skip-short	
004_advanced_word_chart_report__docx.pdf	1	skip-short	
00514292__xlsx.pdf	9	no-field	
005_2-Step_Funnel_On_left_With_Text_767f0490__pptx.pdf	1	skip-short	
005_Contextures_chart_sample_6e279b08__xlsx.pdf	8	no-field	
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx.pdf	1	skip-short	
005_advanced_excel_area__xlsx.pdf	3	no-field	
005_advanced_powerpoint_doughnut__pptx.pdf	1	skip-short	
005_advanced_word_chart_report__docx.pdf	1	skip-short	
006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084__pptx.pdf	3	no-field	
006_Contextures_chart_sample_afa23b53__xlsx.pdf	5	no-field	
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx.pdf	1	skip-short	
006_advanced_excel_scatter__xlsx.pdf	3	no-field	
006_advanced_powerpoint_area__pptx.pdf	1	skip-short	
006_advanced_word_chart_report__docx.pdf	1	skip-short	
007_3_Circles_Diagram_for_PowerPoint_dac9f170__pptx.pdf	3	no-field	
007_Contextures_chart_sample_667d8e47__xlsm.pdf	7	no-field	
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829__docx.pdf	1	skip-short	
007_advanced_excel_bubble__xlsx.pdf	3	no-field	
007_advanced_powerpoint_scatter__pptx.pdf	1	skip-short	
007_advanced_word_chart_report__docx.pdf	1	skip-short	
008_3-Circle_Venn_Diagram_024a12c5__pptx.pdf	3	no-field	
008_Contextures_chart_sample_7ea7a1d7__xlsx.pdf	5	no-field	
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8__docx.pdf	1	skip-short	
008_advanced_excel_radar__xlsx.pdf	3	no-field	
008_advanced_powerpoint_bubble__pptx.pdf	1	skip-short	
008_advanced_word_chart_report__docx.pdf	1	skip-short	
009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9__pptx.pdf	2	skip-short	
009_Contextures_chart_sample_adcb3f6c__xlsx.pdf	12	no-field	
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0__docx.pdf	1	skip-short	
009_advanced_excel_bar__xlsx.pdf	3	no-field	
009_advanced_powerpoint_bar__pptx.pdf	1	skip-short	
009_advanced_word_chart_report__docx.pdf	1	skip-short	
010605Vul__ppt.pdf	21	no-field	
010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0__pptx.pdf	3	no-field	
010_Contextures_chart_sample_e6ea06a3__xlsx.pdf	6	no-field	
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx.pdf	1	skip-short	
010_advanced_excel_line__xlsx.pdf	3	no-field	
010_advanced_powerpoint_column__pptx.pdf	1	skip-short	
