file	pages	pat	verdict	detail
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx.pdf	11	of	sequential	10/10
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx.pdf	11	page	sequential	10/10
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	10	of	sequential	9/9
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	10	page	sequential	9/9
03_Technical_Report_(progress)_template__docx.pdf	10	of	sequential	10/10
047_Date_tracker_Gantt_chart_bf34f3a8__xlsx.pdf	8	of	sequential	7/7
047_Date_tracker_Gantt_chart_bf34f3a8__xlsx.pdf	8	page	sequential	7/7
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	14	of	sequential	13/13
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	14	page	sequential	13/13
10795__doc.pdf	4	of	sequential	4/4
10795__doc.pdf	4	page	sequential	4/4
1528364855__doc.pdf	3	of	sequential	3/3
1528364855__doc.pdf	3	page	sequential	3/3
1603642410-MoM-CASCOM-06-2020-draft04__docx.pdf	9	of	sequential	9/9
1603642410-MoM-CASCOM-06-2020-draft04__docx.pdf	9	page	sequential	8/9
195584360__docx.pdf	20	page	sequential	19/19
2013_11__doc.pdf	8	page	sequential	6/7
3492__pptx.pdf	22	page	sequential	21/21
361400CSLegislation1RF01PUBLIC1__doc.pdf	35	page	sequential	35/35
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls.pdf	6	page	sequential	6/6
4400-91_Proposal_To_Lease_Space_10-2024__docx.pdf	6	slash	FROZEN	value=10 on 6/6
5709.16 ch.40_mgfinal__docx.pdf	32	of	sequential	32/32
5709.16 ch.40_mgfinal__docx.pdf	32	page	sequential	32/32
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx.pdf	217	of	sequential	216/216
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx.pdf	217	page	sequential	216/216
6f9e605c-fded-11e3-bd0e-00144feab7de__xls.pdf	16	of	sequential	16/16
6f9e605c-fded-11e3-bd0e-00144feab7de__xls.pdf	16	page	sequential	16/16
