document	base	head	moved
alle einzeln.xlsx	183f1431848880afa1fc11711b76ffd1	183f1431848880afa1fc11711b76ffd1	no
Keywords_Mapping_Graphs_and_Charts.xlsx	b2cc7bfc9ce6a0b1bcef4b126fe3a6cc	b2cc7bfc9ce6a0b1bcef4b126fe3a6cc	no
DynamicBubbleChart.xlsx	e0677564dd0b4da3ee62f3f2de32fd42	e0677564dd0b4da3ee62f3f2de32fd42	no
049_Expenses_calculator_c351f3d0.xlsx	b952587a810005a8f1f2e4d225a4e331	b952587a810005a8f1f2e4d225a4e331	no
007_Contextures_chart_sample_667d8e47.xlsm	50a2a486ed1dfb25f58c03187f6e27e8	50a2a486ed1dfb25f58c03187f6e27e8	no
037_Personal_money_tracker_a57957bb.xlsx	e39ddde0f08ed28f2ee3dfb49ba3ce5a	5f0a24f0da93927ef6eda7360af3ae12	YES
033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	63cd8c7a76e1acb1c385b7d5b40dfae5	3ad4c0cc5be1028e7f7509b7f5233aa4	YES
035_Project_plan_for_law_firms_aa2d4462.xlsx	77092e468d971522b5b913c5f1d1ec9c	d0e2c33b57909d606475c2ed24271540	YES
027_Simple_personal_cash_flow_statement_675c6584.xlsx	c6fdc2b17333fe7975ac55b5714ccec0	c6fdc2b17333fe7975ac55b5714ccec0	no
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	0d76db4e222b287d66838b3cbc272d89	0d76db4e222b287d66838b3cbc272d89	no
053_Personal_asset_inventory_5446d84b.xlsx	1cac05869a36ef00f12dca298cdc95a5	1cac05869a36ef00f12dca298cdc95a5	no
