document	refPages	refGlyphs	basePages	baseGlyphs	headPages	headGlyphs
alle einzeln	186	278868	186	278869	186	278869
Keywords_Mapping_Graphs_and_Charts	46	27201	46	27295	46	27295
DynamicBubbleChart	5	1728	5	1723	5	1723
049_Expenses_calculator_c351f3d0	4	1548	4	1558	4	1558
007_Contextures_chart_sample_667d8e47	7	1849	7	1836	7	1836
037_Personal_money_tracker_a57957bb	5	2497	5	2476	5	2476
033_Event_planning_tracker_Use_this_template_f29a848e	3	2650	3	2720	3	2720
035_Project_plan_for_law_firms_aa2d4462	4	3879	4	3923	4	3923
027_Simple_personal_cash_flow_statement_675c6584	10	7949	10	7932	10	7932
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1	11	7852	11	7864	11	7864
053_Personal_asset_inventory_5446d84b	2	226	4	257	4	257
