document	pages	baseInk	headInk	delta	baseMAJOR	headMAJOR
DynamicBubbleChart	5	4.42	0.94	-3.48	2	1
037_Personal_money_tracker_a57957bb	5	3.45	2.88	-0.57	1	1
053_Personal_asset_inventory_5446d84b	0	0.00	0.00	+0.00	0	0
007_Contextures_chart_sample_667d8e47	7	0.95	0.13	-0.82	1	0
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1	11	0.59	0.59	+0.00	0	0
033_Event_planning_tracker_Use_this_template_f29a848e	3	12.65	12.65	+0.00	1	1
035_Project_plan_for_law_firms_aa2d4462	4	1.75	1.75	+0.00	0	0
049_Expenses_calculator_c351f3d0	4	2.18	0.90	-1.28	2	0
027_Simple_personal_cash_flow_statement_675c6584	10	3.03	3.03	+0.00	1	1
Keywords_Mapping_Graphs_and_Charts	46	10.79	1.68	-9.11	11	0
alle einzeln	186	225.44	0.07	-225.37	36	0
