alle einzeln.xlsx	Pivot	pivotTable1.xml	ref=A4:I1013 fhr=1 fdr=2 fdc=6 rf=[2, 4, 5, 6, 7, 8] cf=[-2] df=3 pf=2 ri=1008 ci=3 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	Summary	pivotTable1.xml	ref=A3:B22 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=1 ri=19 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	Literature Mapping	pivotTable2.xml	ref=A3:B16 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=1 ri=13 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	SABSA Skills Mapping	pivotTable3.xml	ref=A3:B15 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=1 ri=12 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	TOGAF Skills Mapping	pivotTable4.xml	ref=A3:B13 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=1 ri=10 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	TOGAF Role Mapping EA	pivotTable5.xml	ref=A4:B17 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=2 ri=13 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	TOGAF Role Mapping ESA	pivotTable6.xml	ref=A4:B21 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=2 ri=17 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	TOGAF Role Mapping BA	pivotTable7.xml	ref=A4:B13 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=2 ri=9 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	TOGAF Role Mapping SA	pivotTable8.xml	ref=A4:B13 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=2 ri=9 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	TOGAF Role Mapping AA	pivotTable9.xml	ref=A4:B16 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=1 ri=12 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
Keywords_Mapping_Graphs_and_Charts.xlsx	TOGAF Role Mapping DA	pivotTable10.xml	ref=A4:B7 fhr=1 fdr=1 fdc=1 rf=[2] cf=[] df=1 pf=1 ri=3 ci=1 drill=True cache=worksheet rowDataPH=False	ACCEPT	
