document	pages	baseInk	headInk	delta	baseMAJOR	headMAJOR
alle einzeln	186	0.07	0.07	+0.00	0	0
Keywords_Mapping_Graphs_and_Charts	46	1.68	1.68	+0.00	0	0
DynamicBubbleChart	5	0.94	0.94	+0.00	1	1
049_Expenses_calculator_c351f3d0	4	0.90	0.92	+0.02	0	0
007_Contextures_chart_sample_667d8e47	7	0.13	0.13	+0.00	0	0
037_Personal_money_tracker_a57957bb	5	2.88	1.25	-1.63	1	1
033_Event_planning_tracker_Use_this_template_f29a848e	3	12.36	11.27	-1.09	1	1
035_Project_plan_for_law_firms_aa2d4462	4	1.75	1.13	-0.62	0	0
027_Simple_personal_cash_flow_statement_675c6584	10	3.03	3.03	+0.00	1	1
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1	11	0.59	0.59	+0.00	0	0
053_Personal_asset_inventory_5446d84b	0	0.00	0.00	+0.00	0	0
