document	id	text	ours_colour	ref_colour	ours_underlined	ref_underlined	verdict
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	12	Edward.Young@noaa.gov	009999	009999	True	True	agree
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	1	http://unfccc.int	996600	996600	True	True	agree
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	3	http://www.iisd.ca/enbvol/enb-background.htm	996600	996600	True	True	agree
gfopportunitiesforlinkagespres_2010_en.ppt	69	http://www.who.int/bulletin/volumes/87/11/08-05914	0000ff	0000ff	True	True	agree
gfopportunitiesforlinkagespres_2010_en.ppt	70	http://whqlibdoc.who.int/hq/2009/WHO_HIV_2009_eng.	0000ff				unseen
gfopportunitiesforlinkagespres_2010_en.ppt	79	http://216.146.209.72/PDFs/Integration_Guide.pdf					unseen
gfopportunitiesforlinkagespres_2010_en.ppt	80	http://www.gnpplus.net/content/view/1511/114/	0000ff				unseen
gfopportunitiesforlinkagespres_2010_en.ppt	81	http://aidsalliance.3cdn.net/6324710e2dc193985d_p9	0000ff	000000	True	False	differs
gfopportunitiesforlinkagespres_2010_en.ppt	97	http://www.aidspan.org/index.php?page=guides&menu=	0000ff				unseen
gfopportunitiesforlinkagespres_2010_en.ppt	98	www.aidspan.org	0000ff				unseen
gfopportunitiesforlinkagespres_2010_en.ppt	99	http://www.who.int/hiv/pub/toolkits/GF-Resourcekit	0000ff	000000	True	False	differs
gfopportunitiesforlinkagespres_2010_en.ppt	100	http://www.who.int/globalfund/GuidancePaperGFATM_F	0000ff	000000	True	False	differs
gfopportunitiesforlinkagespres_2010_en.ppt	102	http://www.theglobalfund.org/documents/rounds/9/Gu	0000ff				unseen
gfopportunitiesforlinkagespres_2010_en.ppt	103	www.theglobalfund.org/en	0000ff				unseen
gfopportunitiesforlinkagespres_2010_en.ppt	110	http://www.csactionteam.org/index.html	0000ff	000000	False	False	differs
