document	page	ours	reference	ours_glyphs	ref_glyphs	ratio	row_reachable
Fundamentals_Module_1_basics	6	7.08	32.0	87	44	4.5198	no
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed	10	16.68	24.01	500	92	1.4394	no
RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009	16	20.01	18.99	632	632	0.949	yes
Thailand17	8	16.68	24.01	500	92	1.4394	no
Thailand17	11	11.0	11.99	358	548	1.09	yes
gfopportunitiesforlinkagespres_2010_en	25	29.0	27.01	295	295	0.9314	yes
gfopportunitiesforlinkagespres_2010_en	27	28.01	25.99	262	262	0.9279	yes
ws_prod-g-doc-Events-Part-M-presentation	21	18.0	17.01	420	420	0.945	yes
Inducement-to-Insurance-Business	2	60.01	22.0	52	47	0.3666	no
ws_prod-g-doc-Events-2007-september-M.017-(French)-France	14	20.01	18.99	599	599	0.949	yes
ws_prod-g-doc-Events-2007-september-M.017-(French)-France	16	17.01	14.99	661	661	0.8812	no
pods05	32	11.0	9.01	30	30	0.8191	yes
pods05	33	11.0	9.01	60	60	0.8191	yes
ws_prod-g-doc-Events-r-6.-ESM	21	20.01	18.99	412	373	0.949	yes
joint_user_outcomes_michael_fullerton_29.06.12	20	11.99	11.0	1353	1353	0.9174	yes
RESPA_-_Section_8_Webinar	18	20.01	18.99	314	314	0.949	yes
RESPA_-_Section_8_Webinar	31	14.0	14.99	286	286	1.0707	yes
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011	27	13.01	11.99	1357	1357	0.9216	yes
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	34	20.01	18.99	90	90	0.949	yes
gillikin_online_user_mtg_2010	2	31.01	33.99	134	134	1.0961	yes
JesuitAssocOfStudentPersonnel	14	20.01	18.99	213	213	0.949	yes
JesuitAssocOfStudentPersonnel	24	17.01	13.01	150	150	0.7648	yes
2015-Civil-Rights-Website-training	2	32.0	29.99	115	115	0.9372	yes
2015-Civil-Rights-Website-training	22	17.01	14.0	90	92	0.823	yes
FAA_Form_337	66	36.0	32.99	116	116	0.9164	yes
