slides/ceiling-001/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	ppt	27/27	2477/2576	8/8	0	match	2666/2764	13921/13959	cb3a2056eac642dc52352cc4db298fcf
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	26/26	1138/1089	5/5	0	match	1225/1180	6589/6471	4322f1cf796e58b1a26e4400f4df9b34
slides/ceiling-001/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	ppt	20/20	900/812	6/6	0	words	955/862	4973/4473	fbcb84dd84dacc3b3928018c09686bd7
slides/ceiling-001/ppt/Thailand17.ppt	ppt	54/54	2713/2625	8/9	0	words	2919/2826	14880/14380	fd04be3a9ba2a88d42c6123b072dfc4e
slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	pptx	18/18	968/973	7/7	0	match	1031/1036	5520/5520	47ac38f8791ec806bd9a99df164139ed
slides/ceiling-001/ppt/architecture6.ppt	ppt	31/31	1926/2544	5/5	0	match	2011/2642	10724/10715	9a865caa138261d71649b8218780a06d
slides/ceiling-001/pptx/OnTrac_StarCertificationProgram-3Day.pptx	pptx	15/15	1324/1030	8/7	0	words	1414/1116	7709/6233	addecd8c4de133a1d297b92866c467c8
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	pptx	15/15	677/685	6/6	0	match	737/746	4393/4393	310ba0293b74e210c3db08e1a351f1dc
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	pptx	30/30	5201/5152	4/4	0	match	5368/5325	28178/28278	5e3268615468207dd8494bdb89623da1
slides/ceiling-002/pptx/16 - UTM - (NASA).pptx	pptx	37/37	2453/2260	11/11	0	words	2657/2447	15126/13981	7ac31dfb6877fbe1630f25e29d4fb6f3
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	pptx	15/15	1064/1465	7/7	0	match	1152/1560	5700/5700	cd1bc10e783b332ceff603209a9b429c
slides/ceiling-002/ppt/pres_ioc_phuket.ppt	ppt	26/26	994/1520	9/9	0	match	1033/1596	6090/6089	718c083ccdba584468df0d1206a014f3
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	26/26	2135/2010	11/11	0	words	2328/2199	10424/9914	8e3e4d230c3acf0111f627a0fe16b8cb
slides/ceiling-002/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	pptx	51/51	1956/1958	8/7	0	match	2127/2137	13011/13007	0d96d02c4beaedc7a572a2879843195d
slides/ceiling-002/pptx/Demick_JetBlue.pptx	pptx	10/10	812/608	4/4	0	words	835/631	3519/3179	06ef618d7f67bad0611dbd130dc3f707
slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx	pptx	1/1	42/42	3/3	0	match	48/48	284/284	20c3845a4adc20a6ace652e6b245d2a6
slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx	pptx	1/1	43/43	3/3	0	match	49/49	287/287	b8a5c2258ad632259ae273a7d40b30c9
slides/chartset-001/pptx/bar_chart.pptx	pptx	1/1	25/25	2/2	0	match	25/25	131/131	6bc9003fb1e5227fdcf24acfc8c1ea64
slides/chartset-001/pptx/line_chart.pptx	pptx	1/1	23/23	2/2	0	match	23/23	113/113	6711f3d2151694bf4c687f9d9a53f15b
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	23/23	2220/2268	7/7	0	match	2314/2379	10979/10946	3e17123ab8e351264e93903f558b3758
slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	pptx	1/1	42/42	3/3	0	match	48/48	283/283	2e8753d32e052c26efeb0b5179982e6f
slides/chartset-001/pptx/stacked_area_chart.pptx	pptx	1/1	29/29	2/2	0	match	29/29	174/174	95fa3e2066b8a166c00b04ab402ee828
slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	pptx	1/1	42/42	3/3	0	match	48/48	278/278	7f43a8bf7fb5217fb7a8805606f1c3fa
slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	pptx	1/1	62/62	4/4	0	match	68/68	334/334	e11831a858181f1fb19e9a7450eb33e3
slides/chartset-001/pptx/combo_bar_line_chart.pptx	pptx	1/1	42/42	2/2	0	match	42/42	219/219	ffa32387410c4c7a6d5064be1abdf769
slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx	pptx	1/1	42/42	3/3	0	match	48/48	282/282	71cf3a30c321940929853f0726d8bf17
slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	pptx	1/1	62/62	4/4	0	match	68/68	339/339	e060e9de2be8a02f96c0ece5739fcbff
slides/chartset-001/pptx/scatter_chart.pptx	pptx	1/1	46/46	1/1	0	match	46/46	105/105	1f1c13d682a22097559285e45ea8a4fc
slides/chartset-002/pptx/024_advanced_powerpoint_bubble.pptx	pptx	1/1	42/42	3/3	0	match	48/48	286/286	43503bca20a45670cd42a744d3f475b8
slides/chartset-001/pptx/stacked_bar_chart.pptx	pptx	1/1	29/29	2/2	0	match	29/29	173/173	b107ae7744fe6d6880442e513c8169e7
slides/chartset-002/pptx/032_advanced_powerpoint_bubble.pptx	pptx	1/1	42/42	3/3	0	match	48/48	284/284	992c60f9826c0dc960f842c7f307e654
slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx	pptx	1/1	61/61	4/4	0	match	67/67	328/328	6f0f249ca39fddf35733273a58ad481b
slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	pptx	1/1	63/63	4/4	0	match	69/69	335/335	b7551ae1ad1df2426ccb53f2cc4da61f
slides/chartset-002/pptx/014_advanced_powerpoint_area.pptx	pptx	1/1	61/61	4/4	0	match	67/67	330/330	541c7b34f56220fc480844f54fc657bc
slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58	301/301	363743a6345092b2aaaf07732d1209c2
slides/chartset-002/pptx/023_advanced_powerpoint_scatter.pptx	pptx	1/1	42/42	3/3	0	match	48/48	283/283	248edfd73dfafbe3eddfb0535e02b6d5
slides/chartset-003/pptx/010_advanced_powerpoint_column.pptx	pptx	1/1	61/61	4/4	0	match	67/67	332/332	a919594adb82aef0a983e554cc40c35e
slides/chartset-002/pptx/030_advanced_powerpoint_area.pptx	pptx	1/1	61/61	4/4	0	match	67/67	327/327	e14178852da07182022e1e8ad373c9cd
slides/chartset-003/pptx/012_advanced_powerpoint_pie.pptx	pptx	1/1	53/53	4/4	0	match	59/59	308/308	4e9075c5f5b17b91c0ebe6e54255afbe
slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx	pptx	1/1	61/61	4/4	0	match	67/67	328/328	6ad2065b834523d10e084ad012beeae5
slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67	326/326	b21ebab547c0339d430a7a99e227fb83
slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	pptx	1/1	62/62	4/4	0	match	68/68	332/332	8dfe915dfb242754dd3d8a038d547f3c
slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58	300/300	0c7c66152ff01f43d21d02f83f9a7ec0
slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx	pptx	1/1	63/63	4/4	0	match	69/69	339/339	84ab97a33d1cc4904d4837c60e696260
slides/chartset-004/pptx/018_advanced_powerpoint_column.pptx	pptx	1/1	61/61	4/4	0	match	67/67	329/329	2e2ec5651cbb0b0fc59dc939579b2932
slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67	328/328	02dbb2ce7b0bee2ed5dcc0a778420817
