# per-glyph drawn advance, em, architecture6.ppt page 10, 'Description' at 14.003 pt
glyph	ours	ref-Helvetica	ref-noclass	LiberationSansBold-hmtx	DejaVuSansBold-hmtx
D	0.72200	0.83100	0.72200	0.72217	0.83008
e	0.55600	0.67900	0.55800	0.55615	0.67822
s	0.55600	0.59400	0.55600	0.55615	0.59521
c	0.55600	0.59400	0.55800	0.55615	0.59277
r	0.38900	0.49300	0.38900	0.38916	0.49316
i	0.27800	0.34300	0.27800	0.27783	0.34277
p	0.61100	0.71800	0.61000	0.61084	0.71582
t	0.33300	0.47700	0.33300	0.33301	0.47803
i	0.27800	0.34300	0.27800	0.27783	0.34277
o	0.61100	0.68700	0.61200	0.61084	0.68701
n	n/a	n/a	n/a	0.61084	0.71191
