Fundamentals_Module_1_basics.ppt	3	6915	34	0.0049	6915	34	0.0049
RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	3	15974	3435	0.2150	15755	0	0.0000
Thailand17.ppt	36	23798	0	0.0000	23798	0	0.0000
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	4	4878	0	0.0000	4878	0	0.0000
architecture6.ppt	7	12373	5431	0.4389	12374	546	0.0441
pres_ioc_phuket.ppt	36	6781	1080	0.1593	6535	3	0.0005
WC_Update-Aug03.ppt	1	3220	0	0.0000	3220	0	0.0000
policy-pesentation.ppt	0	2235	0	0.0000	2235	0	0.0000
wells08_basic.ppt	1	5888	2	0.0003	5888	2	0.0003
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	10	5386	0	0.0000	5386	0	0.0000
gfopportunitiesforlinkagespres_2010_en.ppt	5	10411	0	0.0000	10411	0	0.0000
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	3	5260	0	0.0000	5260	0	0.0000
ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	2	5681	0	0.0000	5681	0	0.0000
ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	0	3435	0	0.0000	3435	0	0.0000
ws_prod-g-doc-Events-Part-M-presentation.ppt	2	12335	6	0.0005	12335	6	0.0005
010605Vul.ppt	2	4759	1465	0.3078	4759	1465	0.3078
Inducement-to-Insurance-Business.ppt	4	16389	0	0.0000	16389	0	0.0000
outlook_of_nigerian_pension_sector.ppt	24	6728	149	0.0221	6728	149	0.0221
ws_prod-g-doc-Events-2007-Privileges.ppt	3	4692	457	0.0974	4692	457	0.0974
ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	3	40892	1713	0.0419	40892	1713	0.0419
ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.ppt	4	17017	54	0.0032	17017	54	0.0032
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	1	5002	0	0.0000	5002	0	0.0000
undp_presentation_revised_17_may.ppt	4	13306	504	0.0379	13306	504	0.0379
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative.ppt	3	2124	0	0.0000	2124	0	0.0000
ITE106-Chapter 4.ppt	1	19225	0	0.0000	19225	0	0.0000
berlin.ppt	6	8206	0	0.0000	8206	0	0.0000
pods05.ppt	8	11207	28	0.0025	11207	28	0.0025
ws_prod-g-doc-Events-industrymeeting18112004-Aercap.ppt	10	8260	30	0.0036	8260	30	0.0036
Lepore.ppt	1	13100	134	0.0102	13100	134	0.0102
ws_prod-g-doc-Events-r-6.-ESM.ppt	3	13520	0	0.0000	13520	0	0.0000
1-secretariat.ppt	3	1017	0	0.0000	1017	0	0.0000
71393_pp7.ppt	24	14456	78	0.0054	14456	78	0.0054
introduction_to_bea_tuxedo.ppt	2	10823	3	0.0003	10823	3	0.0003
joint_user_outcomes_michael_fullerton_29.06.12.ppt	5	11713	0	0.0000	11713	0	0.0000
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	1	26156	19	0.0007	26156	19	0.0007
EG1_dsrc tech.ppt	3	13258	754	0.0569	13258	754	0.0569
Framing Europe.ppt	0	27824	592	0.0213	27824	592	0.0213
RESPA_-_Section_8_Webinar.ppt	9	16118	471	0.0292	16118	471	0.0292
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	2	16253	524	0.0322	16253	517	0.0318
Airport Planning 09112013.ppt	2	4225	86	0.0204	4225	86	0.0204
Employment-Based_I-485.ppt	4	15611	8	0.0005	15611	8	0.0005
iep-amount-frequency-for-webinar.ppt	3	10683	49	0.0046	10683	49	0.0046
BUS-Chapter 05.ppt	6	12945	0	0.0000	12945	0	0.0000
JesuitAssocOfStudentPersonnel.ppt	1	7667	0	0.0000	7667	0	0.0000
gillikin_online_user_mtg_2010.ppt	2	7671	1	0.0001	7671	1	0.0001
2015-Civil-Rights-Website-training.ppt	7	41014	459	0.0112	41014	459	0.0112
FAA_Form_337.ppt	6	34190	15201	0.4446	34180	15131	0.4427
hofman.ppt	2	2494	197	0.0790	2494	197	0.0790
ws_prod-g-doc-Events-2008-February-5-NATO-activities.ppt	10	1893	6	0.0032	1893	6	0.0032
Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6.ppt	1	11963	1	0.0001	11963	1	0.0001
Architecture.ppt	3	5669	0	0.0000	5669	0	0.0000
DONE
