mso_spt	preset	verdict	worst_identity_square	worst_identity_wide	worst_mirror_square	worst_mirror_wide	square_values	wide_values
2	roundRect	rescale-correct	0.0012	0.0013	0.0012	0.0013	0.0012,0.0010,0.0012	0.0013,0.0011,0.0012
5	triangle	rescale-correct	0.0006	0.0006	0.1764	0.1764	0.0006,0.0006,0.0005	0.0006,0.0006,0.0006
7	parallelogram	rescale-correct-square-only	0.0010	0.0604	0.0010	0.0604	0.0010,0.0008,0.0006	0.0127,0.0319,0.0604
8	trapezoid	mirrored-square-only	0.1467	0.1095	0.0012	0.0603	0.0255,0.0696,0.1467	0.0209,0.0549,0.1095
9	hexagon	rescale-correct-square-only	0.0011	0.0668	0.0009	0.0668	0.0011,0.0006,0.0002	0.0133,0.0341,0.0668
10	octagon	rescale-correct	0.0009	0.0013	0.0009	0.0009	0.0009,0.0007,0.0003	0.0013,0.0010,0.0007
11	plus	rescale-correct	0.0013	0.0013	0.0013	0.0012	0.0013,0.0013,0.0013	0.0011,0.0011,0.0013
13	rightArrow	rescale-wrong	0.1784	0.1869	0.0961	0.0915	0.1784,0.1374,0.0784	0.1869,0.1444,0.0888
15	homePlate	rescale-wrong	0.1169	0.1227	0.1169	0.1226	0.1169,0.0784,0.0249	0.1227,0.0939,0.0542
16	cube	rescale-correct	0.0022	0.0022	0.0423	0.0318	0.0022,0.0022,0.0020	0.0022,0.0020,0.0021
17	wedgeRoundRectCallout	rescale-wrong	0.1112	0.1122	0.0931	0.0945	0.1112,0.1100,0.1104	0.1122,0.1112,0.1116
18	star16	rescale-wrong	0.0948	0.0948	0.0948	0.0948	0.0886,0.0088,0.0948	0.0885,0.0089,0.0948
19	arc	rescale-wrong	0.2637	0.2641	0.2634	0.2628	0.1143,0.2637,0.0013	0.1144,0.2641,0.0013
21	plaque	rescale-correct	0.0013	0.0012	0.0012	0.0013	0.0013,0.0010,0.0012	0.0012,0.0011,0.0012
22	can	rescale-correct	0.0020	0.0020	0.0019	0.0019	0.0019,0.0019,0.0020	0.0019,0.0019,0.0020
23	donut	rescale-correct-square-only	0.0020	0.0199	0.0021	0.0198	0.0020,0.0020,0.0016	0.0113,0.0199,0.0172
34	bentConnector3	rescale-correct	0.0000	0.0001	0.2082	0.2083	0.0000,0.0000,0.0000	0.0001,0.0000,0.0000
35	bentConnector4	rescale-correct	0.0000	0.0001	0.2082	0.2082	0.0000,0.0000,0.0000	0.0001,0.0001,0.0000
36	bentConnector5	rescale-correct	0.0000	0.0001	0.2034	0.2034	0.0000,0.0000,0.0000	0.0001,0.0000,0.0000
38	curvedConnector3	rescale-correct	0.0000	0.0001	0.3329	0.3330	0.0000,0.0000,0.0000	0.0001,0.0000,0.0000
39	curvedConnector4	rescale-correct	0.0000	0.0001	0.2053	0.2052	0.0000,0.0000,0.0000	0.0001,0.0000,0.0001
40	curvedConnector5	rescale-correct	0.0000	0.0000	0.2200	0.2200	0.0000,0.0000,0.0000	0.0000,0.0000,0.0000
41	callout1	rescale-wrong	0.7742	0.7741	0.3066	0.3066	0.7742,0.7437,0.6667	0.7741,0.7436,0.6667
42	callout2	rescale-wrong	0.7633	0.7632	0.3335	0.3336	0.7633,0.7505,0.6908	0.7632,0.7505,0.6908
43	callout3	rescale-wrong	0.0908	0.0908	0.3807	0.3807	0.0825,0.0785,0.0908	0.0825,0.0785,0.0908
44	accentCallout1	rescale-wrong	0.8274	0.8273	0.1214	0.1214	0.8274,0.7901,0.7170	0.8273,0.7900,0.7170
45	accentCallout2	rescale-wrong	0.8187	0.8187	0.1202	0.1202	0.8187,0.7882,0.7261	0.8187,0.7882,0.7262
46	accentCallout3	rescale-wrong	0.0502	0.0502	0.1998	0.1998	0.0474,0.0463,0.0502	0.0474,0.0464,0.0502
47	borderCallout1	rescale-wrong	0.0213	0.0213	0.0132	0.0132	0.0092,0.0140,0.0213	0.0092,0.0140,0.0213
48	borderCallout2	rescale-wrong	0.0235	0.0235	0.0163	0.0163	0.0166,0.0180,0.0235	0.0166,0.0180,0.0235
49	borderCallout3	rescale-wrong	0.0241	0.0241	0.0315	0.0315	0.0241,0.0226,0.0238	0.0241,0.0226,0.0238
50	accentBorderCallout1	rescale-wrong	0.0357	0.0357	0.0190	0.0190	0.0258,0.0287,0.0357	0.0258,0.0287,0.0357
51	accentBorderCallout2	rescale-wrong	0.0360	0.0360	0.0182	0.0182	0.0317,0.0316,0.0360	0.0317,0.0317,0.0360
52	accentBorderCallout3	rescale-wrong	0.0192	0.0192	0.0271	0.0271	0.0188,0.0187,0.0192	0.0189,0.0187,0.0192
53	ribbon	rescale-wrong	0.0584	0.0584	0.0584	0.0584	0.0568,0.0584,0.0390	0.0568,0.0584,0.0390
54	ribbon2	rescale-wrong	0.0818	0.0818	0.0712	0.0712	0.0153,0.0405,0.0818	0.0153,0.0405,0.0818
55	chevron	rescale-wrong	0.1747	0.1817	0.1747	0.1817	0.1747,0.1369,0.0444	0.1817,0.1574,0.1021
