page	leg	drawn_path
7	before	265.750 40.750 m 356.344 403.125 l 593.031 403.125 l 683.625 40.750
7	after	265.750 403.125 m 436.498 40.750 l 512.877 40.750 l 683.625 403.125
7	26.2.4.2	265.748 403.143 m 683.660 403.143 l 512.872 40.762 l 436.507 40.762
8	before	284.625 403.125 m 375.219 40.750 l 611.906 40.750 l 702.500 403.125
8	after	284.625 40.750 m 455.373 403.125 l 531.752 403.125 l 702.500 40.750
8	26.2.4.2	284.627 40.791 m 702.539 40.791 l 531.751 403.172 l 455.386 403.172
9a	before	265.750 40.750 m 356.344 403.125 l 593.031 403.125 l 683.625 40.750
9a	after	265.750 403.125 m 436.498 40.750 l 512.877 40.750 l 683.625 403.125
9a	26.2.4.2	265.748 403.143 m 683.660 403.143 l 512.872 40.762 l 436.507 40.762
9b	before	279.875 402.000 m 370.469 39.625 l 607.156 39.625 l 697.750 402.000
9b	after	279.875 39.625 m 450.623 402.000 l 527.002 402.000 l 697.750 39.625
9b	26.2.4.2	279.865 39.628 m 697.776 39.628 l 526.989 402.038 l 450.624 402.038
