deck	page	before_vs_ref	after_vs_ref
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p1	3.5341	3.5341
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p2	3.1164	3.1164
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p3	4.0699	4.0699
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p4	4.1071	4.1071
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p5	4.9703	4.9703
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p6	1.8543	1.8543
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p7	15.4483	2.2241
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p8	22.3240	14.3607
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p9	22.3385	14.6241
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative	p10	7.5930	7.5930
