doc	len	text
slides/done-009/pptx/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	152	http://www.nicd.ac.za/wp-content/uploads/2019/10/LABORATORY-BASED-HEPATITIS-B-SURVEILLANCE-IN-SOUTH-AFRICA-2018_NICD-Bul
slides/done-010/pptx/section_1_our_rights_presentation.pptx	148	https://www.waikatodhb.health.nz/assets/Docs/Learning-and-Research/Cultural-support/c98b921944/Tikanga-Best-Practice-Gui
slides/done-007/pptx/BHCA Part II webinar #2 - 10.2020.pptx	128	https://www.beaconhealthoptions.com/material/provider-behavioral-health-for-children-and-adolescents-services-provider-t
slides/done-010/pptx/John_Broggio__RSS_Campion_event_John_Broggio.pptx	127	https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/cancersurvivalin
slides/done-010/pptx/section_1_our_rights_presentation.pptx	123	https://www.ccdhb.org.nz/our-services/a-to-z-of-our-services/Maori-health/tikangaMaoriaguideforhealthcareworkersbooklet.
slides/done-014/pptx/schematicplay.pptx	121	https://education.gov.scot/improvement/learning-resources/Effective%20observation%20leading%20to%20effective%20assessmen
slides/done-007/pptx/BHCA Part II webinar #2 - 10.2020.pptx	118	www.mass.gov/doc/bulletin-2018-07-access-to-services-to-treat-child-adolescent-mental-health-disorders-issued/download
slides/done-010/pptx/Copy of Full deck with references Promotion of Outside Interests at Work final(1).pptx	116	Federal employee violates Hatch Act through Twitter; posted dozens of Tweets about partisan elections while on-duty 
slides/done-003/pptx/NCW-2024-Guide-.pptx	112	Fun careers activity for KS4 / KS5 students and teachers: Skills and Careers Sweet Pong (youthemployment.org.uk)
slides/done-010/pptx/section_1_our_rights_presentation.pptx	109	https://www.wdhb.org.nz/assets/Uploads/Documents/9cfc35bcfd/whanganui-dhb-pro-equity-report-december-2018.pdf
slides/done-013/pptx/schematicplaymar21.pptx	108	http://www.careinspectorate.com/images/documents/3091/My_world_outdoors_-_early_years_good_practice_2016.pdf
slides/done-014/pptx/schematicplay.pptx	108	http://www.careinspectorate.com/images/documents/3091/My_world_outdoors_-_early_years_good_practice_2016.pdf
slides/done-010/pptx/John_Broggio__RSS_Campion_event_John_Broggio.pptx	107	https://digital.nhs.uk/data-and-information/publications/clinical-indicators/nhs-outcomes-framework/current
slides/done-010/pptx/section_1_our_rights_presentation.pptx	107	http://www.mcnz.org.nz/assets/standards/6c2ece58e8/He-Ara-Hauora-Maori-A-Pathway-to-Maori-Health-Equity.pdf
slides/done-010/pptx/section_1_our_rights_presentation.pptx	106	https://baynav.bopdhb.govt.nz/media/1566/regional-Maori-health-services-tikanga-best-practice-document.pdf
slides/done-004/pptx/attendance-updates-for-governors.pptx	104	Education Welfare Service 2023/24 | Leadership Update and Schools Bulletin (leadershipupdate-rbwm.co.uk)
slides/done-004/pptx/attendance-updates-for-governors.pptx	104	Education Welfare Service 2023/24 | Leadership Update and Schools Bulletin (leadershipupdate-rbwm.co.uk)
slides/done-013/pptx/schematicplaymar21.pptx	103	education.gov.scot/improvement/learning-resources/effective-observation-leading-to-effective-assessment
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	97	www.uresearch.miami.edu/uresearch-services/disclosures-and-relationship-management-drm/index.html
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	93	www.mzv.cz/london/cz/obchod_a_ekonomika/zpravodajstvi/vyznamne_mezinarodni_veletrhy_v_uk.html
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	91	www.businessinfo.cz/cs/zahranicni-obchod-eu/teritorialni-informace-zeme/velka-britanie.html
slides/done-007/pptx/BHCA Part II webinar #2 - 10.2020.pptx	90	https://www.masspartnership.com/pdf/ReimbursementforBHCA_CBHIServicesforMemberswithTPL.pdf
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	89	https://join.slack.com/t/sylva-projects/shared_invite/zt-22qh2hv90-veKs9yH_tO7u7hHGc6Hvrg
slides/done-008/pptx/G-InvoicingKeithJarboe.pptx	88	https://www.fiscal.treasury.gov/files/g-invoice/G-InvoicingSystemIntegrationGuide1.0.pdf
slides/done-002/pptx/medicines_bulletin_february_2023_final.pptx	85	www.elft.nhs.uk/intranet/teams-support-me/pharmacy/pharmacy-community-health-services
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	85	www.gov.uk/government/collections/how-to-prepare-if-the-uk-leaves-the-eu-with-no-deal
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	83	https://www.businessinfo.cz/cs/clanky/special-brexit-ocima-exporteru-119098.html#!&
slides/done-003/pptx/NCW-2024-Guide-.pptx	82	Next Tech Girls x Mercator Digital: National Careers Week & IWD 2024 (empiric.com)
slides/done-013/pptx/schematicplaymar21.pptx	80	https://education.gov.scot/improvement/learning-resources/realising-the-ambition
slides/done-012/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	79	http://www.hca.wa.gov/billers-providers/providerone/providerone-social-services
slides/done-003/pptx/NCW-2024-Guide-.pptx	78	Pathways with the BBC: National Careers Week Webinar – Amazing Apprenticeships
slides/done-003/pptx/NCW-2024-Guide-.pptx	78	Meet STEM Professionals in the Science Industry from IQVIA (thestemhub.org.uk)
slides/done-008/pptx/G-InvoicingKeithJarboe.pptx	78	https://www.fiscal.treasury.gov/ussgl/resources-g-invoicing-program-guide.html
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	77	www.businessinfo.cz/app/content/files/dokumenty/industry-day-prezentace-1.pdf
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	77	www.businessinfo.cz/app/content/files/dokumenty/industry-day-prezentace-2.pdf
slides/ceiling-002/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	76	Ingenieurstudium und -praxis – Was man über Betriebswirtschaft wissen sollte
slides/done-008/pptx/G-InvoicingKeithJarboe.pptx	75	https://www.fiscal.treasury.gov/fit/financial-mgmt-standards-committee.html
slides/done-010/pptx/section_1_our_rights_presentation.pptx	73	https://www.health.govt.nz/publication/equity-health-care-maori-framework
slides/done-012/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	72	http://www.hca.wa.gov/billers-providers/providerone/providerone-security
slides/ceiling-002/pptx/16 - UTM - (NASA).pptx	70	http://www.kcet.org/updaily/socal_focus/history/la-as-subject/7th-and-
slides/done-010/pptx/section_1_our_rights_presentation.pptx	69	https://www.hqsc.govt.nz/publications-and-resources/publication/3916/
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	68	www.mzv.cz/london/cz/konzularni_a_vizove_informace/brexit/index.html
slides/done-002/pptx/medicines_bulletin_february_2023_final.pptx	67	www.elft.nhs.uk/intranet/teams-support-me/pharmacy/medicines-safety
slides/done-006/pptx/Stakeholders-v08052017 - v5.pptx	67	https://uit.stanford.edu/service/techtraining/knowledgebasetraining
slides/done-009/pptx/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.pptx	66	Appropedia: Information about composites in the aerospace industry
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	65	http://www.coe.miami.edu/research/responsible-conduct-of-research
slides/done-012/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	65	://adsareporting.dshs.wa.gov/Login.aspx?ReturnUrl=%2fdefault.aspx
slides/done-007/pptx/10. Drawings, circuit diagrams and schematics.pptx	64	https://www.indiefolio.com/project/579871df7e290/detail-drawings
slides/done-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	63	www.ghgprotocol.org/standards/product-and-supply-chain-standard
slides/done-006/pptx/Stakeholders-v08052017 - v5.pptx	63	https://stanford.app.box.com/s/h4m5cpi2wd5etauoxj2lb8m924alnu1r
slides/done-007/pptx/BHCA Part II webinar #2 - 10.2020.pptx	63	PQtujSBNkICVW6LwYdx-mymAV3hTNQnp_BMm9w7ipsYmKGHO2YYJFAUmNJzpJ9g
slides/done-014/pptx/redac-sas-201509-asisp-research.pptx	62	Common Criteria for Information Technology Security Evaluation
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	60	://bulletin.miami.edu/graduate-academic-programs/engineering
slides/done-007/pptx/10. Drawings, circuit diagrams and schematics.pptx	60	BS 7671 - 18th Edition - IET Wiring Regulations (theiet.org)
slides/done-003/pptx/NCW-2024-Guide-.pptx	58	From a Post Room to a Career at Google (thestemhub.org.uk)
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	57	http://www.coe.miami.edu/research-2/for-graduate-students
slides/done-012/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	56	http://hca.wa.gov/assets/billers-and-providers/setup.pdf
slides/done-007/pptx/bitesize-writing-a-report.pptx	55	http://www.kent.ac.uk/student-learning-advisory-service
slides/done-007/pptx/bitesize-writing-a-report.pptx	55	http://www.kent.ac.uk/student-learning-advisory-service
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	55	https://ec.europa.eu/info/brexit/brexit-preparedness_en
