label	count	thickness_pt
Q0	1	0.3000
Q1	1	0.3000
Q2	1	0.3000
Q3	1	0.4000
Q4	1	0.4000
Q5	1	0.4000
Q6	1	0.4000
Q7	1	0.4000
Q8	1	0.4000
Q9	1	0.5000
Q10	1	0.5000
Q11	1	0.5000
Q12	1	0.5000
Q13	1	0.5000
Q14	1	0.5000
Q15	1	0.6000
Q16	1	0.6000
Q17	1	0.6000
Q18	1	0.6000
Q19	1	0.6000
Q20	1	0.6000
Q21	1	0.8000
Q22	1	0.8000
Q23	1	0.8000
Q24	1	0.9000
Q25	1	0.9000
Q26	1	0.9000
Q27	1	1.0000
Q28	1	1.0000
Q29	1	1.0000
Q30	1	1.1000
Q31	1	1.1000
Q32	1	1.1000
Q33	1	1.3000
Q34	1	1.3000
Q35	1	1.3000
Q36	1	1.5000
Q37	1	1.5000
Q38	1	1.5000
Q39	1	1.9000
Q40	1	1.9000
Q41	1	1.9000
Q42	1	2.6000
Q43	1	2.6000
Q44	1	2.6000
Q45	1	0.3000
Q46	1	0.3000
Q47	1	0.3000
Q48	1	0.4000
Q49	1	0.4000
Q50	1	0.4000
Q51	1	0.4000
Q52	1	0.4000
Q53	1	0.4000
Q54	1	0.5000
Q55	1	0.5000
Q56	1	0.5000
Q57	1	0.6000
Q58	1	0.6000
Q59	1	0.6000
Q60	1	0.6000
Q61	1	0.6000
Q62	1	0.6000
Q63	1	0.7000
Q64	1	0.7000
Q65	1	0.7000
Q66	1	0.8000
Q67	1	0.8000
Q68	1	0.7999
Q69	1	0.9000
Q70	1	0.9000
Q71	1	0.9000
Q72	1	1.0000
Q73	1	1.0000
Q74	1	1.0000
Q75	1	1.1000
Q76	1	1.1000
Q77	1	1.1000
Q78	1	1.3000
Q79	1	1.3000
Q80	1	1.3000
Q81	1	1.5000
Q82	1	1.5000
Q83	1	1.5000
Q84	1	2.0000
Q85	1	2.0000
Q86	1	2.0000
Q87	1	2.6000
Q88	1	2.6000
Q89	1	2.6000
Q90	1	0.4000
Q91	1	0.4000
Q92	1	0.4000
Q93	1	0.5000
Q94	1	0.5000
Q95	1	0.5000
Q96	1	0.6000
Q97	1	0.6000
Q98	1	0.6000
Q99	1	0.6000
Q100	1	0.6000
Q101	1	0.6000
Q102	1	0.7000
Q103	1	0.7000
Q104	1	0.7000
Q105	1	0.8000
Q106	1	0.8000
Q107	1	0.8000
Q108	1	0.8000
Q109	1	0.8000
Q110	1	0.8000
Q111	1	1.0000
Q112	1	1.0000
Q113	1	1.0000
Q114	1	1.1000
Q115	1	1.1000
Q116	1	1.1000
Q117	1	1.3000
Q118	1	1.3000
Q119	1	1.3000
Q120	1	1.4000
Q121	1	1.4000
Q122	1	1.4000
Q123	1	1.7000
Q124	1	1.7000
Q125	1	1.7000
Q126	1	1.9000
Q127	1	1.9000
Q128	1	1.9000
Q129	1	2.5000
Q130	1	2.5000
Q131	1	2.5000
Q132	1	3.2999
Q133	1	3.3000
Q134	1	3.3000
Q135	1	0.6000
Q136	1	0.6000
Q137	1	0.4000
Q138	1	0.7000
Q139	1	0.7000
Q140	1	0.5000
Q141	1	0.8000
Q142	1	0.8000
Q143	1	0.6000
Q144	1	0.9000
Q145	1	0.9000
Q146	1	0.6000
Q147	1	1.0000
Q148	1	1.0000
Q149	1	0.7000
Q150	1	1.1000
Q151	1	1.1000
Q152	1	0.8000
Q153	1	1.2000
Q154	1	1.2000
Q155	1	0.8000
Q156	1	1.4000
Q157	1	1.4000
Q158	1	1.0000
Q159	1	1.6000
Q160	1	1.6000
Q161	1	1.1000
Q162	1	1.8000
Q163	1	1.8000
Q164	1	1.2000
Q165	1	1.9000
Q166	1	1.9000
Q167	1	1.4000
Q168	1	2.3000
Q169	1	2.3000
Q170	1	1.6000
Q171	1	2.7000
Q172	1	2.7000
Q173	1	1.9000
Q174	1	3.5000
Q175	1	3.5000
Q176	1	2.4000
Q177	1	4.6000
Q178	1	4.6000
Q179	1	3.2000
Q180	1	0.3000
Q181	1	0.3000
Q182	1	0.3000
Q183	1	0.4000
Q184	1	0.4000
Q185	1	0.4000
Q186	1	0.4000
Q187	1	0.4000
Q188	1	0.4000
Q189	1	0.5000
Q190	1	0.5000
Q191	1	0.5000
Q192	1	0.5000
Q193	1	0.5000
Q194	1	0.5000
Q195	1	0.6000
Q196	1	0.6000
Q197	1	0.6000
Q198	1	0.6000
Q199	1	0.6000
Q200	1	0.6000
Q201	1	0.8000
Q202	1	0.8000
Q203	1	0.8000
Q204	1	0.7999
Q205	1	0.8000
Q206	1	0.7999
Q207	1	0.9000
Q208	1	0.9000
Q209	1	0.9000
Q210	1	1.0000
Q211	1	1.0000
Q212	1	1.0000
Q213	1	1.2000
Q214	1	1.2000
Q215	1	1.2000
Q216	1	1.5000
Q217	1	1.5000
Q218	1	1.5000
Q219	1	1.8000
Q220	1	1.8000
Q221	1	1.8000
Q222	1	2.4000
Q223	1	2.4000
Q224	1	2.4000
Q225	1	0.3000
Q226	1	0.3000
Q227	1	0.3000
Q228	1	0.4000
Q229	1	0.4000
Q230	1	0.4000
Q231	1	0.4000
Q232	1	0.4000
Q233	1	0.4000
Q234	1	0.4000
Q235	1	0.4000
Q236	1	0.5000
Q237	1	0.5000
Q238	1	0.5000
Q239	1	0.5000
Q240	1	0.5000
Q241	1	0.5000
Q242	1	0.6000
Q243	1	0.6000
Q244	1	0.6000
Q245	1	0.6000
Q246	1	0.7000
Q247	1	0.7000
Q248	1	0.7000
Q249	1	0.8000
Q250	1	0.8000
Q251	1	0.8000
Q252	1	0.8000
Q253	1	0.8000
Q254	1	0.9000
Q255	1	0.9000
Q256	1	0.9000
Q257	1	1.0000
Q258	1	1.1000
Q259	1	1.1000
Q260	1	1.2000
Q261	1	1.3000
Q262	1	1.3000
Q263	1	1.4000
Q264	1	1.6000
Q265	1	1.6000
Q266	1	1.8000
Q267	1	2.2000
Q268	1	2.2000
Q269	1	2.4000
