label	count	thickness_pt
Q0	1	0.3000
Q1	2	0.2000
Q2	1	0.3000
Q3	1	0.4000
Q4	2	0.2000
Q5	1	0.4000
Q6	1	0.4000
Q7	2	0.3000
Q8	1	0.4000
Q9	1	0.5000
Q10	2	0.3000
Q11	1	0.5000
Q12	1	0.5000
Q13	2	0.3000
Q14	1	0.5000
Q15	1	0.6000
Q16	2	0.4000
Q17	1	0.6000
Q18	1	0.6000
Q19	2	0.4000
Q20	1	0.6000
Q21	1	0.8000
Q22	2	0.5000
Q23	1	0.8000
Q24	1	0.9000
Q25	2	0.5000
Q26	1	0.9000
Q27	1	1.0000
Q28	2	0.6000
Q29	1	1.0000
Q30	1	1.1000
Q31	2	0.7000
Q32	1	1.1000
Q33	1	1.3000
Q34	2	0.8000
Q35	1	1.3000
Q36	1	1.5000
Q37	2	0.9000
Q38	1	1.5000
Q39	1	1.9000
Q40	2	1.2000
Q41	1	1.9000
Q42	1	2.6000
Q43	2	1.6000
Q44	1	2.6000
Q45	1	0.3000
Q46	2	0.2000
Q47	1	0.3000
Q48	1	0.4000
Q49	2	0.2000
Q50	1	0.4000
Q51	1	0.4000
Q52	2	0.3000
Q53	1	0.4000
Q54	1	0.5000
Q55	2	0.3000
Q56	1	0.5000
Q57	1	0.6000
Q58	2	0.4000
Q59	1	0.6000
Q60	1	0.6000
Q61	2	0.4000
Q62	1	0.6000
Q63	1	0.7000
Q64	2	0.4000
Q65	1	0.7000
Q66	1	0.8000
Q67	2	0.5000
Q68	1	0.8000
Q69	1	0.9000
Q70	2	0.6000
Q71	1	0.9000
Q72	1	1.0000
Q73	2	0.6000
Q74	1	1.0000
Q75	1	1.1000
Q76	2	0.7000
Q77	1	1.1000
Q78	1	1.3000
Q79	2	0.8000
Q80	1	1.3000
Q81	1	1.5000
Q82	2	1.0000
Q83	1	1.5000
Q84	1	2.0000
Q85	2	1.2000
Q86	1	2.0000
Q87	1	2.6000
Q88	2	1.7000
Q89	1	2.6000
Q90	1	0.4000
Q91	2	0.3000
Q92	1	0.4000
Q93	1	0.5000
Q94	2	0.3000
Q95	1	0.5000
Q96	1	0.6000
Q97	2	0.4000
Q98	1	0.6000
Q99	1	0.6000
Q100	2	0.4000
Q101	1	0.6000
Q102	1	0.7000
Q103	2	0.4000
Q104	1	0.7000
Q105	1	0.8000
Q106	2	0.5000
Q107	1	0.8000
Q108	1	0.8000
Q109	2	0.5000
Q110	1	0.8000
Q111	1	1.0000
Q112	2	0.6000
Q113	1	1.0000
Q114	1	1.1000
Q115	2	0.7000
Q116	1	1.1000
Q117	1	1.3000
Q118	2	0.8000
Q119	1	1.3000
Q120	1	1.4000
Q121	2	0.9000
Q122	1	1.4000
Q123	1	1.7000
Q124	2	1.1000
Q125	1	1.7000
Q126	1	1.9000
Q127	2	1.2000
Q128	1	1.9000
Q129	1	2.5000
Q130	2	1.6000
Q131	1	2.5000
Q132	1	3.3000
Q133	2	2.1000
Q134	1	3.3000
Q135	1	0.6000
Q136	2	0.4000
Q137	1	0.4000
Q138	1	0.7000
Q139	2	0.5000
Q140	1	0.5000
Q141	1	0.8000
Q142	2	0.6000
Q143	1	0.6000
Q144	1	0.9000
Q145	2	0.6000
Q146	1	0.6000
Q147	1	1.0000
Q148	2	0.7000
Q149	1	0.7000
Q150	1	1.1000
Q151	2	0.7000
Q152	1	0.8000
Q153	1	1.2000
Q154	2	0.8000
Q155	1	0.8000
Q156	1	1.4000
Q157	2	0.9000
Q158	1	1.0000
Q159	1	1.6000
Q160	2	1.1000
Q161	1	1.1000
Q162	1	1.8000
Q163	2	1.2000
Q164	1	1.2000
Q165	1	1.9000
Q166	2	1.3000
Q167	1	1.4000
Q168	1	2.3000
Q169	2	1.6000
Q170	1	1.6000
Q171	1	2.7000
Q172	2	1.8000
Q173	1	1.9000
Q174	1	3.5000
Q175	2	2.3000
Q176	1	2.4000
Q177	1	4.6000
Q178	2	3.1000
Q179	1	3.2000
Q180	1	0.3000
Q181	2	0.2000
Q182	1	0.3000
Q183	1	0.4000
Q184	2	0.3000
Q185	1	0.4000
Q186	1	0.4000
Q187	2	0.3000
Q188	1	0.4000
Q189	1	0.5000
Q190	2	0.3000
Q191	1	0.5000
Q192	1	0.5000
Q193	2	0.4000
Q194	1	0.5000
Q195	1	0.6000
Q196	2	0.4000
Q197	1	0.6000
Q198	1	0.6000
Q199	2	0.4000
Q200	1	0.6000
Q201	1	0.8000
Q202	2	0.5000
Q203	1	0.8000
Q204	1	0.8000
Q205	2	0.6000
Q206	1	0.8000
Q207	1	0.9000
Q208	2	0.6000
Q209	1	0.9000
Q210	1	1.0000
Q211	2	0.7000
Q212	1	1.0000
Q213	1	1.2000
Q214	2	0.8000
Q215	1	1.2000
Q216	1	1.5000
Q217	2	1.0000
Q218	1	1.5000
Q219	1	1.8000
Q220	2	1.2000
Q221	1	1.8000
Q222	1	2.4000
Q223	2	1.6000
Q224	1	2.4000
Q225	1	0.3000
Q226	2	0.2000
Q227	1	0.3000
Q228	1	0.4000
Q229	2	0.3000
Q230	1	0.4000
Q231	1	0.4000
Q232	2	0.3000
Q233	1	0.4000
Q234	1	0.4000
Q235	2	0.3000
Q236	1	0.5000
Q237	1	0.5000
Q238	2	0.3000
Q239	1	0.5000
Q240	1	0.5000
Q241	2	0.4000
Q242	1	0.6000
Q243	1	0.6000
Q244	2	0.4000
Q245	1	0.6000
Q246	1	0.7000
Q247	2	0.5000
Q248	1	0.7000
Q249	1	0.8000
Q250	2	0.5000
Q251	1	0.8000
Q252	1	0.8000
Q253	2	0.6000
Q254	1	0.9000
Q255	1	0.9000
Q256	2	0.6000
Q257	1	1.0000
Q258	1	1.1000
Q259	2	0.8000
Q260	1	1.2000
Q261	1	1.3000
Q262	2	0.9000
Q263	1	1.4000
Q264	1	1.6000
Q265	2	1.1000
Q266	1	1.8000
Q267	1	2.2000
Q268	2	1.5000
Q269	1	2.4000
