              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
  Liberation Serif   5.0 |      157    195 | +0/+0  +0/+0  +0/+0  +2/+3  +0/+0  -68/-84  +0/+0
  Liberation Serif   5.5 |      174    216 | +0/+0  +0/+0  +0/+0  -1/-1  -1/-1  -76/-94  -1/-1
  Liberation Serif   6.0 |      191    238 | +0/+0  +0/+0  +0/-1  -4/-5  -2/-3  -84/-105  -2/-3
  Liberation Serif   6.5 |      203    254 | +0/+0  +0/+0  +0/+0  +2/+0  +1/+0  -87/-110  +1/+0
  Liberation Serif   7.0 |      220    275 | +0/+0  +0/+0  +0/+0  -1/-3  +0/-1  -95/-120  +0/-2
  Liberation Serif   7.5 |      237    296 | +0/+0  +0/+0  +0/+0  -1/-3  -1/-3  -103/-129  -1/-3
  Liberation Serif   8.0 |      254    313 | +0/+0  +0/+0  +0/+0  -4/-3  -3/-1  -111/-135  -3/-1
  Liberation Serif   8.5 |      267    331 | +0/+0  +0/+0  +0/-1  +1/+1  +0/+1  -115/-142  +0/+1
  Liberation Serif   9.0 |      284    352 | +0/+0  +0/+0  +0/-1  -2/-3  -1/+0  -124/-153  -1/+0
  Liberation Serif   9.5 |      296    368 | +0/+0  +0/+0  +0/+0  +4/+6  +3/+4  -127/-157  +3/+3
  Liberation Serif  10.0 |      313    389 | +0/+0  +0/+0  +0/+0  +1/+3  +2/+2  -135/-167  +1/+1
  Liberation Serif  10.5 |      330    411 | +0/+0  +0/-1  +0/+0  +2/+2  +0/-1  -143/-178  +0/-1
  Liberation Serif  11.0 |      347    432 | +0/+0  +0/+0  +0/+0  -1/-1  -1/-2  -151/-188  -1/-2
  Liberation Serif  11.5 |      364    453 | +0/+0  +0/+0  +0/+0  -4/-5  -2/-3  -159/-198  -2/-3
  Liberation Serif  12.0 |      377    470 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-2  -163/-204  +0/-1
  Liberation Serif  12.5 |      394    487 | +0/+0  +0/+0  +0/+0  -2/+0  -1/+1  -171/-210  -1/+1
  Liberation Serif  13.0 |      406    504 | +0/+0  +0/-1  +0/+0  +3/+4  +3/+4  -174/-216  +3/+4
  Liberation Serif  13.5 |      423    525 | +0/+0  +0/+0  +0/+0  +0/+1  +1/+2  -182/-226  +1/+2
  Liberation Serif  14.0 |      440    546 | +0/+0  +0/+0  +0/+0  +1/+1  +0/+1  -190/-235  +0/+1
  Liberation Serif  14.5 |      457    567 | +0/+0  +0/+0  +0/+0  -2/-3  -1/+0  -198/-245  -1/+0
  Liberation Serif  15.0 |      470    584 | +0/+0  +0/+0  +0/+0  +3/+2  +1/+2  -203/-252  +2/+2
  Liberation Serif  15.5 |      487    606 | +0/+0  +0/+0  +0/-1  +0/+1  +0/+0  -211/-263  +0/-1
  Liberation Serif  16.0 |      504    627 | +0/+0  +0/+0  +0/+0  +0/+1  -2/-3  -219/-273  -1/-2
  Liberation Serif  16.5 |      516    643 | +0/+0  +0/+0  +0/+0  +3/+3  +3/+2  -222/-278  +3/+2
  Liberation Serif  17.0 |      538    669 | +0/+0  +0/+0  +0/+0  -5/-5  -3/-4  -235/-292  -4/-5
  Liberation Serif  17.5 |      550    686 | +0/+0  +0/-1  +0/+0  +0/-2  +0/-3  -238/-298  +0/-2
  Liberation Serif  18.0 |      567    703 | +0/+0  +0/-1  +0/+0  -3/-1  -1/+0  -246/-304  -1/+0
  Liberation Serif  18.5 |      580    720 | +0/+0  +0/+0  +0/+0  +2/+3  +2/+3  -250/-310  +2/+3
  Liberation Serif  19.0 |      597    741 | +0/+0  +0/+0  +0/+0  -1/+0  +0/+1  -258/-320  +0/+1
  Liberation Serif  19.5 |      614    762 | +0/+0  +0/+0  +0/+0  +0/+0  -1/+0  -266/-330  -1/+0
  Liberation Serif  20.0 |      631    783 | +0/+0  +0/+0  +0/+0  -3/-3  -2/-1  -274/-339  -2/-1
  Liberation Serif  20.5 |      643    800 | +0/+0  +0/+0  +0/+0  +3/+1  +1/+1  -278/-346  +1/+0
  Liberation Serif  21.0 |      660    821 | +0/+0  +0/+0  +0/+0  +0/-2  +0/+0  -286/-356  +0/-1
  Liberation Serif  21.5 |      677    842 | +0/+0  +0/+0  +0/+0  +0/+1  -2/-3  -294/-366  -1/-2
  Liberation Serif  22.0 |      690    859 | +0/+0  +0/+0  +0/+0  +1/+2  +2/+1  -298/-372  +2/+1
