              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
   Liberation Mono   5.0 |      148    203 | +0/+0  +0/+0  +0/+0  +0/-2  -1/-3  -65/-90  -1/-3
   Liberation Mono   5.5 |      161    220 | +0/+0  +0/+0  +0/+0  +1/+2  +0/+0  -69/-95  +1/+0
   Liberation Mono   6.0 |      178    242 | +0/+0  +0/+0  +0/-1  -2/-2  -2/-2  -78/-106  -2/-2
   Liberation Mono   6.5 |      191    259 | +0/+0  +0/+0  +0/-1  +0/+3  +0/+1  -83/-112  +0/+1
   Liberation Mono   7.0 |      203    275 | +0/+0  +0/+0  +0/+0  +2/+4  +2/+5  -86/-116  +3/+5
   Liberation Mono   7.5 |      220    301 | +0/+0  +0/-1  +0/+0  -1/-1  +0/-1  -95/-131  +0/-2
   Liberation Mono   8.0 |      237    322 | +0/+0  +0/+0  +0/+0  -1/-1  -2/-2  -104/-141  -2/-2
   Liberation Mono   8.5 |      250    339 | +0/+0  +0/+0  +0/+0  +0/+3  +0/+1  -108/-146  +0/+1
   Liberation Mono   9.0 |      262    360 | +0/+0  +0/-1  +0/+0  +3/+0  +3/+1  -112/-156  +2/-1
   Liberation Mono   9.5 |      279    381 | +0/+0  +0/+0  +0/+0  +0/+0  +0/-1  -121/-166  +0/-1
   Liberation Mono  10.0 |      292    398 | +0/+0  +0/+0  +0/+0  +1/+1  +2/+2  -125/-171  +2/+2
   Liberation Mono  10.5 |      305    415 | +0/+0  +0/+0  +0/+0  +2/+5  +3/+4  -130/-177  +3/+4
   Liberation Mono  11.0 |      326    445 | +0/+0  +0/+0  +0/+0  -1/-4  -3/-5  -143/-196  -3/-5
   Liberation Mono  11.5 |      339    462 | +0/+0  +0/+0  +0/-1  +0/+0  -1/-2  -147/-201  -1/-2
   Liberation Mono  12.0 |      351    478 | +0/+0  +0/+0  +0/+0  +2/+2  +1/+1  -151/-206  +1/+1
   Liberation Mono  12.5 |      368    500 | +0/+0  +0/-1  +0/+0  -1/+1  -1/-1  -160/-217  -1/-1
   Liberation Mono  13.0 |      381    516 | +0/+0  +0/+0  +0/+0  +0/+3  +1/+4  -164/-221  +1/+4
   Liberation Mono  13.5 |      394    538 | +0/+0  +0/+0  +0/+0  +1/+2  +2/+1  -169/-232  +2/+1
   Liberation Mono  14.0 |      411    559 | +0/+0  +0/+0  +0/+0  +2/+2  +0/+0  -178/-242  +0/+0
   Liberation Mono  14.5 |      428    580 | +0/+0  +0/+0  +0/+0  -1/+2  -2/+0  -186/-251  -2/+0
   Liberation Mono  15.0 |      440    601 | +0/+0  +0/+0  +0/+0  +1/-1  +0/-2  -190/-261  +1/-1
   Liberation Mono  15.5 |      453    618 | +0/+0  +0/+0  +0/+0  +2/+3  +2/+2  -195/-267  +2/+1
   Liberation Mono  16.0 |      470    639 | +0/+0  +0/+0  +0/+0  -1/+0  -1/+0  -204/-276  +0/+0
   Liberation Mono  16.5 |      483    657 | +0/+0  +0/+0  +0/-1  +0/+3  +1/+2  -208/-283  +2/+3
   Liberation Mono  17.0 |      500    682 | +0/+0  +0/+0  +0/+0  +1/-1  -1/-2  -217/-297  -1/-3
   Liberation Mono  17.5 |      516    703 | +0/+0  +0/-1  +0/+0  -1/-1  -2/-4  -225/-306  -2/-4
   Liberation Mono  18.0 |      529    720 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -229/-312  +0/+0
   Liberation Mono  18.5 |      542    737 | +0/+0  +0/+0  +0/+0  +1/+4  +2/+3  -234/-318  +1/+2
   Liberation Mono  19.0 |      559    758 | +0/+0  +0/+0  +0/+0  -2/+0  -1/+1  -243/-327  -1/+1
   Liberation Mono  19.5 |      576    783 | +0/+0  +0/+0  +0/+0  -4/-3  -3/-3  -251/-341  -3/-3
   Liberation Mono  20.0 |      588    800 | +0/+0  +0/+0  +0/+0  +1/+1  +0/+0  -255/-347  -1/-1
   Liberation Mono  20.5 |      601    817 | +0/+0  +0/+0  +0/+0  +2/+5  +1/+2  -260/-352  +1/+2
   Liberation Mono  21.0 |      618    842 | +0/+0  +0/+0  +0/+0  -1/-2  -1/-2  -268/-366  -1/-3
   Liberation Mono  21.5 |      631    860 | +0/+0  +0/+0  +0/-1  +0/+1  +0/-1  -273/-373  +0/-1
   Liberation Mono  22.0 |      643    876 | +0/+0  +0/+0  +0/+0  +3/+3  +3/+3  -277/-377  +3/+3
   Liberation Mono  22.5 |      665    902 | +0/+0  +0/+0  +0/+0  -5/-2  -4/-2  -290/-392  -4/-3
   Liberation Mono  23.0 |      677    923 | +0/+0  +0/+0  +0/+0  -3/-6  -2/-4  -294/-402  -2/-4
   Liberation Mono  23.5 |      690    940 | +0/+0  +0/+0  +0/+0  +1/+2  +0/-1  -299/-407  +0/-1
   Liberation Mono  24.0 |      707    961 | +0/+0  +0/+0  +0/+0  -1/-1  -2/-2  -307/-417  -2/-2
    Lib Serif Bold   5.0 |      157    195 | +0/+0  +0/+0  +0/+0  +2/+3  +0/+0  -68/-84  +0/+0
    Lib Serif Bold   5.5 |      174    216 | +0/+0  +0/+0  +0/+0  -1/-1  -1/-1  -76/-94  -1/-1
    Lib Serif Bold   6.0 |      191    238 | +0/+0  +0/+0  +0/-1  -4/-5  -2/-3  -84/-105  -2/-3
    Lib Serif Bold   6.5 |      203    254 | +0/+0  +0/+0  +0/+0  +2/+0  +1/+0  -87/-110  +1/+0
    Lib Serif Bold   7.0 |      220    275 | +0/+0  +0/+0  +0/+0  -1/-3  +0/-1  -95/-120  +0/-2
    Lib Serif Bold   7.5 |      237    296 | +0/+0  +0/+0  +0/+0  -1/-3  -1/-3  -103/-129  -1/-3
    Lib Serif Bold   8.0 |      254    313 | +0/+0  +0/+0  +0/+0  -4/-3  -3/-1  -111/-135  -3/-1
    Lib Serif Bold   8.5 |      267    331 | +0/+0  +0/+0  +0/-1  +1/+1  +0/+1  -115/-142  +0/+1
    Lib Serif Bold   9.0 |      284    352 | +0/+0  +0/+0  +0/-1  -2/-3  -1/+0  -124/-153  -1/+0
    Lib Serif Bold   9.5 |      296    368 | +0/+0  +0/+0  +0/+0  +4/+6  +3/+4  -127/-157  +3/+3
    Lib Serif Bold  10.0 |      313    389 | +0/+0  +0/+0  +0/+0  +1/+3  +2/+2  -135/-167  +1/+1
    Lib Serif Bold  10.5 |      330    411 | +0/+0  +0/-1  +0/+0  +2/+2  +0/-1  -143/-178  +0/-1
    Lib Serif Bold  11.0 |      347    432 | +0/+0  +0/+0  +0/+0  -1/-1  -1/-2  -151/-188  -1/-2
    Lib Serif Bold  11.5 |      364    453 | +0/+0  +0/+0  +0/+0  -4/-5  -2/-3  -159/-198  -2/-3
    Lib Serif Bold  12.0 |      377    470 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-2  -163/-204  +0/-1
    Lib Serif Bold  12.5 |      394    487 | +0/+0  +0/+0  +0/+0  -2/+0  -1/+1  -171/-210  -1/+1
    Lib Serif Bold  13.0 |      406    504 | +0/+0  +0/-1  +0/+0  +3/+4  +3/+4  -174/-216  +3/+4
    Lib Serif Bold  13.5 |      423    525 | +0/+0  +0/+0  +0/+0  +0/+1  +1/+2  -182/-226  +1/+2
    Lib Serif Bold  14.0 |      440    546 | +0/+0  +0/+0  +0/+0  +1/+1  +0/+1  -190/-235  +0/+1
    Lib Serif Bold  14.5 |      457    567 | +0/+0  +0/+0  +0/+0  -2/-3  -1/+0  -198/-245  -1/+0
    Lib Serif Bold  15.0 |      470    584 | +0/+0  +0/+0  +0/+0  +3/+2  +1/+2  -203/-252  +2/+2
    Lib Serif Bold  15.5 |      487    606 | +0/+0  +0/+0  +0/-1  +0/+1  +0/+0  -211/-263  +0/-1
    Lib Serif Bold  16.0 |      504    627 | +0/+0  +0/+0  +0/+0  +0/+1  -2/-3  -219/-273  -1/-2
    Lib Serif Bold  16.5 |      516    643 | +0/+0  +0/+0  +0/+0  +3/+3  +3/+2  -222/-278  +3/+2
    Lib Serif Bold  17.0 |      538    669 | +0/+0  +0/+0  +0/+0  -5/-5  -3/-4  -235/-292  -4/-5
    Lib Serif Bold  17.5 |      550    686 | +0/+0  +0/-1  +0/+0  +0/-2  +0/-3  -238/-298  +0/-2
    Lib Serif Bold  18.0 |      567    703 | +0/+0  +0/-1  +0/+0  -3/-1  -1/+0  -246/-304  -1/+0
    Lib Serif Bold  18.5 |      580    720 | +0/+0  +0/+0  +0/+0  +2/+3  +2/+3  -250/-310  +2/+3
