         probe     A->B     B->C  rule
          k001    38.65    14.65  max
          k002    38.65    14.65  max
          k004    38.65    14.65  max
          k008    38.65    14.65  max
          k016    38.65    14.65  max
          k032    38.65    14.65  max
          k070    62.65    14.65  sum
          k036    38.65    14.65  max
          k040    62.65    14.65  sum
          k044    62.65    14.65  sum
          k048    62.65    14.65  sum
          k052    62.65    14.65  sum
          k056    62.65    14.65  sum
          k060    62.65    14.65  sum
          k064    62.65    14.65  sum
          k066    62.65    14.65  sum
          k068    62.65    14.65  sum
          k069    62.65    14.65  sum
          k037    38.65    14.65  max
          k038    38.65    14.65  max
          k039    62.65    14.65  sum
