name	ours_top	ref_top	dtop	ours_bot	ref_bot	dbot	ours_pg	ref_pg	ph
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7	27.59	27.63	-0.04	569.07	569.06	0.01	1	1	595.3
001_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b	40.63	43.38	-2.75	567.59	567.58	0.01	1	1	595.3
002_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42	95.48	75.62	19.86	534.76	534.75	0.01	1	1	595.3
003	71.36	71.36	-0.00	759.04	759.04	-0.00	5	5	841.9
003_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152	94.24	75.63	18.61	558.66	558.65	0.01	1	1	595.3
004_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0	23.11	23.13	-0.02	138.23	79.43	58.80	1	1	595.3
005_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541	19.21	19.21	-0.00	581.77	581.76	0.01	1	1	595.3
006_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829	20.98	20.98	-0.00	565.91	565.90	0.01	1	1	595.3
007_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8	62.08	29.33	32.75	592.17	559.76	32.41	1	1	595.3
008_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0	20.11	20.11	-0.00	584.92	584.91	0.01	1	1	595.3
009_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818	23.11	23.13	-0.02	542.00	541.99	0.01	1	1	595.3
010_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
011_Project_Timeline_Template_Beautiful_Theme_2336e680	11.14	11.18	-0.04	617.81	559.80	58.01	1	1	612.0
011_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550	135.38	9.03	126.35	510.08	515.17	-5.09	1	2	612.0
012_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
013_Project_Timeline_Template_Blue_Background_4ea3475e	27.59	27.63	-0.04	562.78	562.77	0.01	1	1	612.0
013_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1	14.87	14.88	-0.01	548.15	548.14	0.02	1	1	612.0
014_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
015_Project_Timeline_Template_Colored_Background_6434b0e8	154.66	13.07	141.60	520.23	593.70	-73.47	1	2	612.0
015_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
016_Project_Timeline_Template_Complete_Guide_7d36d09c	114.67	10.78	103.89	598.02	598.00	0.01	1	1	612.0
016_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8	10.20	4.80	5.40	585.82	585.80	0.01	1	1	612.0
017_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
018_Project_Timeline_Template_Editable_Format_e1cf1df5	114.68	10.33	104.35	563.02	563.00	0.01	1	1	612.0
018_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
019_Project_Timeline_Template_Excellent_Layout_4ee62967	18.37	18.38	-0.01	404.06	526.80	-122.73	1	1	612.0
019_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
020_Project_Timeline_Template_Modern_Theme_0c215d87	139.31	7.48	131.83	530.92	530.90	0.01	1	1	612.0
020_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab	83.74	83.74	-0.00	746.20	746.19	0.01	1	1	841.9
021_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275	42.84	42.84	-0.00	775.89	775.89	-0.00	1	1	841.9
022_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
023_Unit_Circle_Chart_Circular_Percentage_790f7b75	73.85	73.88	-0.04	767.90	767.89	0.01	1	1	841.9
023_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
024_Unit_Circle_Chart_Colorful_Circles_7c92601e	42.59	42.59	-0.00	790.60	790.59	0.01	1	1	841.9
024_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892	44.43	44.43	-0.00	782.00	781.99	0.01	1	1	841.9
025_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1	61.89	61.89	-0.00	753.75	753.74	0.01	1	1	841.9
026_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
027_Unit_Circle_Chart_Graphical_Chart_5462a579	41.43	41.43	-0.00	581.41	592.48	-11.07	1	1	595.3
027_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
028_Unit_Circle_Chart_Optimized_Graph_83d9c756	56.43	56.43	-0.00	774.46	774.45	0.01	1	1	841.9
028_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
029_Unit_Circle_Chart_Pie_Theme_8a922142	27.66	27.66	-0.00	559.90	559.89	0.01	1	1	595.3
029_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
02_mcar_part-2_and_IS_v2.10	27.62	27.62	0.00	785.21	764.40	20.81	312	311	792.0
030_Unit_Circle_Chart_Points_System_23b5ef07	62.39	62.39	-0.00	768.65	768.64	0.01	1	1	841.9
030_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
031_Venn_Diagram_Template_Blue_Theme_a9e417b8	71.99	71.99	-0.00	532.30	537.39	-5.09	1	1	595.3
031_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
032_Venn_Diagram_Template_Brown_Theme_d5b549f0	3.62	3.77	-0.15	525.96	525.95	0.01	1	1	595.3
032_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
033_Venn_Diagram_Template_Colored_Theme_2aea6697	72.03	72.03	-0.00	401.45	413.99	-12.54	1	1	595.3
033_advanced_word_chart_report	43.20	40.20	3.00	656.05	657.05	-1.00	1	1	792.0
034_Venn_Diagram_Template_Customizable_Format_d14642b7	71.99	71.99	-0.00	283.45	292.99	-9.54	1	1	595.3
035_Venn_Diagram_Template_Editable_Format_966dff5f	71.99	72.04	-0.05	408.08	408.37	-0.29	1	1	595.3
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36	72.34	72.35	-0.00	271.92	281.71	-9.79	1	1	595.3
037_Venn_Diagram_Template_Four_Circle_764829a0	72.00	72.00	-0.00	541.03	526.57	14.46	1	1	595.3
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e	71.99	71.99	-0.00	538.91	543.50	-4.59	1	1	595.3
039_Venn_Diagram_Template_Simple_Format_6f82661d	72.03	72.03	-0.00	680.15	695.49	-15.34	1	1	841.9
03_Technical_Report_(progress)_template	123.57	127.30	-3.73	723.91	816.53	-92.62	11	10	595.3
040_Venn_Diagram_Template_Three_Circle_80f32f5e	71.99	71.99	-0.00	532.30	537.39	-5.09	1	1	595.3
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010	31.54	31.58	-0.04	191.98	191.85	0.14	1	1	612.0
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb	22.29	22.33	-0.04	524.35	530.80	-6.44	1	1	612.0
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1	12.84	12.88	-0.04	114.40	537.00	-422.59	1	1	612.0
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0	17.84	17.88	-0.04	524.81	533.05	-8.24	1	1	612.0
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c	16.64	16.68	-0.04	595.01	537.95	57.06	2	1	612.0
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0	6.49	6.53	-0.04	528.51	528.50	0.01	1	1	612.0
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e	0.28	12.59	-12.31	610.13	556.50	53.63	2	1	612.0
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee	26.14	26.18	-0.04	542.21	549.70	-7.49	1	1	612.0
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f	20.10	20.13	-0.03	544.33	551.20	-6.86	1	1	612.0
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744	14.85	14.88	-0.03	564.75	564.74	0.01	1	1	612.0
051_Organogram_Template_Basic_Theme_e6464d06	46.26	46.26	-0.00	552.04	519.36	32.67	1	1	595.3
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe	29.41	29.41	-0.00	545.10	545.09	0.01	1	1	595.3
053_Organogram_Template_Creative_Theme_21657a3d	74.17	74.17	-0.00	510.87	510.87	0.01	1	1	595.3
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8	46.71	46.71	-0.00	530.80	530.74	0.06	1	1	595.3
055_Organogram_Template_Horizontal_Structure_28a7e725	27.09	27.09	-0.00	559.23	544.12	15.11	1	1	595.3
056_Organogram_Template_Square_Theme_38f373d4	39.47	39.47	-0.00	550.45	550.44	0.01	1	1	595.3
057_Organogram_Template_Vertical_Colorful_Theme_724b143c	36.57	36.57	-0.00	537.33	537.32	0.01	1	1	595.3
058_Organogram_Template_With_Picture_Theme_44b79368	58.42	58.42	-0.00	513.95	513.94	0.01	1	1	595.3
059_Disease_Concept_Map_Template_4acf63f2	28.39	28.39	-0.00	694.08	694.06	0.02	1	1	841.9
060_Human_Body_Concept_Map_Template_ac872cfb	52.36	52.36	-0.00	447.55	447.53	0.02	1	1	595.3
061_Nursing_Concept_Map_Template_fb9816f0	5.11	5.11	-0.00	436.56	436.75	-0.19	1	1	595.3
062_Vocabulary_Concept_Map_Template_2f7c1c09	39.56	39.56	-0.00	704.46	704.43	0.03	1	1	841.9
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992	47.84	47.84	-0.00	508.56	508.55	0.01	1	1	595.3
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06	24.59	24.59	-0.00	557.58	537.46	20.12	1	1	595.3
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62	5.25	5.30	-0.05	604.25	517.34	86.91	1	1	595.3
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248	46.48	46.48	-0.00	557.26	557.29	-0.03	1	1	595.3
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b	26.89	26.94	-0.05	521.23	499.01	22.22	1	1	595.3
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8	17.10	17.17	-0.07	533.77	530.82	2.96	1	1	595.3
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1	16.37	16.42	-0.05	568.13	568.16	-0.03	1	1	612.0
07-04	39.51	39.51	0.00	748.94	753.19	-4.25	3	3	792.0
070_Storyboard_Template_Blank_Format_fc41673a	26.87	26.89	-0.02	781.56	784.05	-2.49	1	1	841.9
071_Storyboard_Template_Cartoon_Theme_ae113de2	38.86	38.86	-0.00	786.98	786.97	0.01	1	1	841.9
072_Storyboard_Template_Colored_Theme_28524a15	23.46	23.48	-0.02	576.71	576.70	0.01	1	1	595.3
073_Storyboard_Template_Easy_to_Use_44ce05fc	3.63	-8.34	11.97	826.90	774.79	52.12	1	1	841.9
074_Storyboard_Template_Editable_Design_132436d1	22.48	22.48	-0.00	682.63	674.37	8.26	1	1	841.9
075_Storyboard_Template_Fillable_Format_7fa01641	15.60	15.60	-0.00	786.81	764.30	22.51	1	1	841.9
076_Storyboard_Template_Gray_Theme_1e5fd5e5	19.66	19.66	0.00	719.56	719.55	0.01	1	1	792.0
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab	17.86	17.88	-0.02	777.31	777.30	0.01	1	1	841.9
078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f	38.11	38.13	-0.02	536.86	536.85	0.01	1	1	595.3
079_Storyboard_Template_Simple_Format_81653703	24.02	24.04	-0.02	796.62	796.60	0.01	1	1	841.9
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1	18.32	18.32	-0.00	78.78	78.77	0.01	1	1	841.9
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb	35.43	35.43	-0.00	86.11	86.10	0.01	1	1	595.3
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b	46.22	46.22	-0.00	792.26	792.25	0.01	1	1	841.9
083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3	35.41	35.41	-0.00	83.51	83.50	0.01	1	1	841.9
084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820	35.40	35.40	-0.00	839.17	781.77	57.40	1	1	841.9
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a	803.66	50.93	752.73	828.08	793.06	35.02	1	1	841.9
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7	85.84	42.39	43.45	580.32	546.40	33.92	1	1	595.3
087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04	52.15	52.78	-0.63	826.92	793.00	33.92	2	2	841.9
088_Printable_Graph_Paper_Template_Quality_layout_33051f6e	35.40	35.40	-0.00	54.03	54.01	0.02	1	1	841.9
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88	27.75	27.75	-0.00	64.32	64.32	0.01	1	1	841.9
090_Business_Case_Template_Blue_Theme_108ff0f1	73.08	73.08	-0.00	808.19	784.24	23.95	1	1	841.9
091_Business_Case_Template_Complete_Guide_cb91a140	35.43	35.43	-0.00	766.11	764.60	1.51	5	5	841.9
092_Business_Case_Template_Convenient_Format_00786cce	72.00	69.90	2.10	764.30	765.95	-1.65	7	7	841.9
093_Business_Case_Template_Customizable_Layout_510c25e7	35.87	36.12	-0.25	747.06	747.10	-0.04	1	1	841.9
094_Business_Case_Template_Decent_Layout_e7722f2b	72.53	72.54	-0.01	684.75	684.99	-0.24	1	1	841.9
095_Business_Case_Template_Easy_Format_61de7128	72.03	72.03	-0.00	722.77	722.82	-0.04	1	1	841.9
096_Business_Case_Template_Editable_Layout_41fe0bc0	71.99	72.04	-0.05	695.59	708.20	-12.62	1	1	841.9
097_Business_Case_Template_Elegant_Layout_3ba9cbf2	24.60	20.45	4.15	712.10	712.10	-0.00	2	2	841.9
098_Business_Case_Template_Fillable_Layout_d0c5410e	72.00	72.00	-0.00	755.71	755.75	-0.04	1	1	841.9
099_Business_Case_Template_Gray_Theme_ac3edbf4	72.53	72.53	-0.00	716.20	716.19	0.01	1	1	841.9
09	71.54	71.54	0.00	767.21	743.15	24.06	2	2	792.0
0c662f5c948a7d81d32ffd833c5cc59421a5f522	107.40	107.45	-0.05	849.05	767.81	81.23	1	1	841.9
100_Business_Case_Template_Modern_Format_ff9e7282	72.48	72.48	-0.00	691.89	691.88	0.01	5	5	841.9
10795	18.84	18.84	-0.00	844.42	816.56	27.86	4	4	841.9
120509coss	133.59	133.34	0.25	691.34	691.33	0.01	25	25	792.0
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759	42.99	42.99	-0.00	728.29	799.22	-70.93	12	12	841.9
1244277 1 Comment	72.35	72.35	-0.00	739.32	739.31	0.01	2	2	841.9
1245685 1 Comment	72.51	72.51	-0.00	627.15	628.75	-1.60	1	1	841.9
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080	113.91	113.91	-0.00	727.49	799.22	-71.73	9	9	841.9
