name	ours_top	ref_top	dtop	ours_bot	ref_bot	dbot	ours_pg	ref_pg	ph
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7	27.60	27.63	-0.04	557.47	557.46	0.01	1	1	595.3
001_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b	40.63	40.63	-0.00	260.38	216.40	43.99	1	1	595.3
002_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42	97.62	97.62	-0.00	130.21	130.18	0.03	1	1	595.3
003	71.36	71.36	-0.00	765.59	759.04	6.55	5	4	841.9
003_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152	94.25	94.28	-0.04	556.41	556.40	0.01	1	1	595.3
004_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0	23.08	23.13	-0.05	135.88	79.43	56.45	1	1	595.3
005_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541	19.21	19.21	-0.00	581.77	581.76	0.01	1	1	595.3
006_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829	20.98	20.98	-0.00	565.91	565.90	0.01	1	1	595.3
007_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8	96.31	96.31	-0.00	454.13	454.11	0.02	1	1	595.3
008_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0	20.11	20.11	-0.00	131.88	75.93	55.95	1	1	595.3
009_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818	23.08	23.13	-0.05	431.08	431.06	0.02	1	1	595.3
010_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
011_Project_Timeline_Template_Beautiful_Theme_2336e680	11.15	11.18	-0.04	616.56	562.75	53.81	1	1	612.0
011_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550	3.58	3.63	-0.04	452.45	106.94	345.51	1	1	612.0
012_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
013_Project_Timeline_Template_Blue_Background_4ea3475e	27.60	27.63	-0.04	562.78	562.77	0.01	1	1	612.0
013_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1	14.83	14.88	-0.04	548.15	548.14	0.02	1	1	612.0
014_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
015_Project_Timeline_Template_Colored_Background_6434b0e8	3.62	3.62	0.00	506.32	451.40	54.91	1	1	612.0
015_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
016_Project_Timeline_Template_Complete_Guide_7d36d09c	3.58	3.63	-0.05	607.72	607.70	0.01	1	1	612.0
016_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8	10.20	4.80	5.40	584.77	585.80	-1.04	1	1	612.0
017_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
018_Project_Timeline_Template_Editable_Format_e1cf1df5	3.58	3.63	-0.05	611.27	611.25	0.01	1	1	612.0
018_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
019_Project_Timeline_Template_Excellent_Layout_4ee62967	18.33	18.38	-0.04	598.81	526.80	72.01	1	1	612.0
019_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
020_Project_Timeline_Template_Modern_Theme_0c215d87	3.58	3.63	-0.05	487.77	116.33	371.44	1	1	612.0
020_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab	83.74	437.69	-353.95	732.20	821.24	-89.04	1	1	841.9
021_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275	42.84	42.84	-0.00	747.41	747.40	0.01	1	1	841.9
022_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
023_Unit_Circle_Chart_Circular_Percentage_790f7b75	73.85	513.58	-439.74	752.90	810.39	-57.49	1	1	841.9
023_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
024_Unit_Circle_Chart_Colorful_Circles_7c92601e	42.59	42.59	-0.00	775.60	775.59	0.01	1	1	841.9
024_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892	44.43	44.43	-0.00	779.00	778.99	0.01	1	1	841.9
025_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1	61.89	61.89	-0.00	750.75	750.74	0.01	1	1	841.9
026_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
027_Unit_Circle_Chart_Graphical_Chart_5462a579	41.43	55.23	-13.80	595.41	595.95	-0.54	1	1	595.3
027_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
028_Unit_Circle_Chart_Optimized_Graph_83d9c756	56.43	56.43	-0.00	774.46	774.45	0.01	1	2	841.9
028_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
029_Unit_Circle_Chart_Pie_Theme_8a922142	27.66	36.76	-9.10	546.90	555.99	-9.09	1	1	595.3
029_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
02_mcar_part-2_and_IS_v2.10	27.59	27.59	0.00	764.40	764.39	0.01	318	318	792.0
030_Unit_Circle_Chart_Points_System_23b5ef07	62.39	62.39	-0.00	765.65	765.64	0.01	1	1	841.9
030_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
031_Venn_Diagram_Template_Blue_Theme_a9e417b8	71.99	71.99	-0.00	595.72	532.29	63.43	1	1	595.3
031_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
032_Venn_Diagram_Template_Brown_Theme_d5b549f0	3.62	4.37	-0.75	525.06	525.05	0.01	1	1	595.3
032_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
033_Venn_Diagram_Template_Colored_Theme_2aea6697	72.03	72.03	-0.00	401.45	401.44	0.01	1	1	595.3
033_advanced_word_chart_report	43.20	40.20	3.00	660.60	639.35	21.25	1	1	792.0
034_Venn_Diagram_Template_Customizable_Format_d14642b7	71.99	71.99	-0.00	282.31	303.99	-21.68	1	1	595.3
035_Venn_Diagram_Template_Editable_Format_966dff5f	72.02	72.04	-0.02	408.38	408.37	0.01	1	1	595.3
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36	72.34	72.35	-0.00	271.02	271.01	0.01	1	1	595.3
037_Venn_Diagram_Template_Four_Circle_764829a0	72.00	72.00	-0.00	555.03	543.92	11.11	1	1	595.3
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e	71.99	71.99	-0.00	538.21	560.00	-21.79	1	1	595.3
039_Venn_Diagram_Template_Simple_Format_6f82661d	72.03	72.03	-0.00	679.01	680.89	-1.88	1	1	841.9
03_Technical_Report_(progress)_template	89.60	123.60	-34.00	820.03	813.03	7.01	11	11	595.3
040_Venn_Diagram_Template_Three_Circle_80f32f5e	71.99	71.99	-0.00	595.72	532.29	63.43	1	1	595.3
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010	31.55	31.58	-0.04	190.93	191.85	-0.91	1	1	612.0
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb	22.30	22.33	-0.04	579.80	524.59	55.22	2	1	612.0
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1	12.85	12.88	-0.04	573.01	537.00	36.01	1	1	612.0
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0	17.85	17.88	-0.04	524.81	539.25	-14.44	1	1	612.0
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c	16.65	16.68	-0.04	530.26	525.30	4.96	1	1	612.0
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0	6.50	6.53	-0.04	528.51	528.50	0.01	1	1	612.0
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e	12.60	12.63	-0.04	549.74	556.65	-6.91	1	1	612.0
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee	26.15	26.93	-0.79	569.21	567.75	1.46	2	2	612.0
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f	20.10	20.13	-0.03	544.33	551.20	-6.86	1	1	612.0
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744	14.85	14.88	-0.03	553.70	553.68	0.01	1	1	612.0
056_Organogram_Template_Square_Theme_38f373d4	221.61	221.61	-0.00	254.20	254.19	0.01	1	1	595.3
059_Disease_Concept_Map_Template_4acf63f2	28.39	29.14	-0.75	692.98	693.71	-0.73	1	1	841.9
060_Human_Body_Concept_Map_Template_ac872cfb	52.36	52.36	-0.00	447.55	447.53	0.02	1	1	595.3
061_Nursing_Concept_Map_Template_fb9816f0	5.11	5.11	-0.00	435.86	435.85	0.01	1	1	595.3
062_Vocabulary_Concept_Map_Template_2f7c1c09	39.56	39.56	-0.00	704.46	704.43	0.03	1	1	841.9
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992	47.84	47.84	-0.00	504.36	504.35	0.01	1	1	595.3
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06	24.59	24.59	-0.00	556.13	537.46	18.67	1	1	595.3
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62	5.28	27.79	-22.52	595.15	536.34	58.81	1	1	595.3
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248	46.48	67.23	-20.75	585.21	579.74	5.47	1	1	595.3
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b	26.89	49.39	-22.50	269.98	227.31	42.67	1	1	595.3
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8	17.10	39.62	-22.52	139.55	162.09	-22.54	1	1	595.3
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1	16.37	38.87	-22.50	568.13	590.61	-22.48	1	1	612.0
07-04	39.51	39.51	0.00	749.19	753.19	-4.00	3	3	792.0
071_Storyboard_Template_Cartoon_Theme_ae113de2	38.83	38.88	-0.05	151.63	95.19	56.44	1	1	841.9
074_Storyboard_Template_Editable_Design_132436d1	22.48	22.48	-0.00	79.63	79.58	0.05	1	1	841.9
076_Storyboard_Template_Gray_Theme_1e5fd5e5	19.66	19.66	0.00	75.53	75.48	0.05	1	1	792.0
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab	17.83	17.88	-0.05	137.40	159.89	-22.48	1	1	841.9
079_Storyboard_Template_Simple_Format_81653703	24.01	24.04	-0.03	93.21	93.20	0.01	1	1	841.9
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1	18.32	18.32	-0.00	78.78	78.77	0.01	1	1	841.9
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb	35.43	35.43	-0.00	398.08	101.35	296.74	1	1	595.3
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b	46.22	46.22	-0.00	792.26	792.25	0.01	1	1	841.9
083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3	35.41	35.41	-0.00	83.51	94.50	-10.99	1	1	841.9
084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820	35.40	35.40	-0.00	834.42	780.52	53.90	1	1	841.9
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a	20.30	31.33	-11.03	792.72	793.06	-0.34	1	1	841.9
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7	95.29	40.44	54.85	546.07	546.40	-0.33	1	1	595.3
087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04	52.15	52.78	-0.63	792.67	793.00	-0.33	1	1	841.9
088_Printable_Graph_Paper_Template_Quality_layout_33051f6e	35.40	35.40	-0.00	54.03	54.01	0.02	1	1	841.9
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88	27.75	27.75	-0.00	64.32	64.32	0.01	1	1	841.9
090_Business_Case_Template_Blue_Theme_108ff0f1	73.08	73.08	-0.00	808.19	784.19	24.00	1	1	841.9
091_Business_Case_Template_Complete_Guide_cb91a140	35.91	35.43	0.48	765.71	765.30	0.41	5	5	841.9
092_Business_Case_Template_Convenient_Format_00786cce	72.00	70.05	1.95	764.15	741.70	22.45	8	8	841.9
093_Business_Case_Template_Customizable_Layout_510c25e7	35.84	43.92	-8.09	678.81	756.80	-77.99	1	1	841.9
094_Business_Case_Template_Decent_Layout_e7722f2b	72.51	72.54	-0.02	587.20	711.89	-124.69	1	2	841.9
095_Business_Case_Template_Easy_Format_61de7128	71.99	72.01	-0.02	722.22	724.47	-2.24	1	1	841.9
096_Business_Case_Template_Editable_Layout_41fe0bc0	72.02	72.04	-0.02	661.73	717.20	-55.47	1	2	841.9
097_Business_Case_Template_Elegant_Layout_3ba9cbf2	24.60	20.40	4.20	712.10	712.10	-0.00	2	2	841.9
098_Business_Case_Template_Fillable_Layout_d0c5410e	72.00	72.00	-0.00	688.46	755.70	-67.24	1	1	841.9
099_Business_Case_Template_Gray_Theme_ac3edbf4	72.49	72.51	-0.02	716.35	716.34	0.01	1	1	841.9
09	71.54	71.54	0.00	742.79	743.15	-0.36	2	2	792.0
0c662f5c948a7d81d32ffd833c5cc59421a5f522	107.49	107.40	0.09	767.82	767.81	0.01	1	1	841.9
100_Business_Case_Template_Modern_Format_ff9e7282	72.48	72.48	-0.00	722.59	688.13	34.46	5	5	841.9
10795	18.84	18.84	-0.00	815.82	816.56	-0.74	4	4	841.9
120509coss	133.00	132.79	0.21	696.14	696.13	0.01	25	25	792.0
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759	42.99	42.99	-0.00	813.19	799.37	13.82	12	11	841.9
1244277 1 Comment	72.35	72.35	-0.00	739.32	739.31	0.01	2	2	841.9
1245685 1 Comment	72.51	72.51	-0.00	627.20	627.15	0.05	1	1	841.9
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080	113.91	113.91	-0.00	799.39	799.37	0.02	9	9	841.9
135	72.39	72.14	0.25	841.19	813.78	27.42	14	14	841.9
1447	72.01	72.01	0.00	702.08	707.12	-5.04	4	3	792.0
150-5370-10H	36.44	36.03	0.41	756.00	756.03	-0.03	642	746	792.0
150_5300_13_chg10	36.44	36.44	0.00	755.96	755.99	-0.03	57	77	792.0
150_5300_13_chg12	36.44	36.44	0.00	755.99	781.36	-25.37	33	33	792.0
150_5300_13_chg8	36.02	36.44	-0.42	744.41	744.41	0.00	17	19	792.0
150_5335_5a	36.01	36.51	-0.49	755.99	755.99	0.00	64	65	792.0
1528039320	32.26	32.26	-0.00	792.68	792.99	-0.32	1	2	841.9
1528364855	39.91	39.91	-0.00	805.10	802.84	2.26	3	3	841.9
1603642410-MoM-CASCOM-06-2020-draft04	42.53	42.57	-0.04	832.74	826.99	5.75	9	9	841.9
19-06 Assistive Technology TAB Final - 508	49.73	4.86	44.87	770.43	770.43	0.00	8	8	792.0
191216_Lesefassung_Nachtflugregelung	35.96	35.89	0.07	770.28	778.20	-7.92	3	3	841.9
195584360	29.31	29.24	0.07	763.19	763.16	0.03	22	51	792.0
1_tpr_template__from_fy14_	62.38	62.38	-0.00	806.49	806.49	-0.00	10	10	595.3
20110608_psp	57.65	57.65	-0.00	813.53	813.52	0.01	4	3	841.9
2013-op12-Annex III - Curriculum Vitae	72.02	72.51	-0.49	758.81	759.60	-0.79	3	3	841.9
2013_11	36.22	35.84	0.38	776.34	776.34	0.00	8	9	792.0
2015-April-SWIM_Users_Forum-Q&A	72.02	72.63	-0.60	716.64	719.04	-2.40	5	5	792.0
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai	72.34	72.34	0.00	680.43	680.42	0.01	3	3	792.0
2024-2nd-quarter-case-summaries	72.51	72.51	0.00	755.99	755.96	0.03	10	10	792.0
231164_SystemDesignDocument	31.20	31.20	0.00	763.77	763.77	0.01	24	21	792.0
237287_0486190101_0486190101_geolink2neu	36.51	36.44	0.07	550.89	563.06	-12.17	6	8	595.3
24-25_FAA_Holdover_Tables	21.59	21.99	-0.39	770.44	770.44	0.00	143	223	612.0
2ca950374241722b8ea7c132dfce63ae	57.33	57.33	-0.00	779.60	779.87	-0.28	3	3	841.9
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie	55.29	52.26	3.04	807.22	807.21	0.01	1	1	841.9
316r_a_e	36.51	36.45	0.06	756.06	757.21	-1.15	14	14	841.9
316r_a_f	36.51	36.45	0.06	769.86	769.86	-0.00	14	14	841.9
33004	40.65	40.65	0.00	750.57	750.56	0.01	49	47	612.0
361400CSLegislation1RF01PUBLIC1	36.44	36.44	0.00	755.96	755.96	0.00	36	35	792.0
4400-91_Proposal_To_Lease_Space_10-2024	38.22	36.37	1.85	756.03	756.03	0.00	6	7	792.0
461249	72.51	72.51	0.00	714.89	714.89	0.00	5	5	792.0
5709.16 ch.40_mgfinal	36.51	36.37	0.14	719.84	718.78	1.06	31	29	792.0
62599_FRANCE-BRAZIL- Air France Flight 447 crash	72.02	72.02	0.00	714.26	717.60	-3.34	21	16	792.0
644730BRI0mna000BOX361539B00public0	5.05	27.90	-22.85	748.52	745.65	2.88	4	4	792.0
762	42.56	42.57	-0.01	769.84	774.60	-4.76	21	24	792.0
96-3-clement-data	36.44	36.44	-0.00	779.09	779.08	0.01	7	7	841.9
A1. EASA Form 2	20.08	19.83	0.25	844.39	770.23	74.16	7	8	841.9
A320SimNotes	36.56	36.49	0.07	719.21	719.92	-0.71	41	42	792.0
A380MaenPressRel	71.98	72.02	-0.04	736.76	762.21	-25.45	3	3	841.9
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX	34.23	34.78	-0.55	828.09	830.31	-2.22	21	21	841.9
ABCD-FE-01-00 Flight Envelope - v1 08.03.16	0.02	11.48	-11.46	826.31	819.58	6.74	14	14	841.9
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1	10.97	11.33	-0.37	826.31	819.58	6.74	41	41	841.9
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16	11.12	11.48	-0.37	826.31	819.58	6.74	12	12	841.9
AC-150-5370-10G-updated-201604	36.02	42.03	-6.01	755.96	755.96	0.00	650	667	792.0
AFS-050-004-F2_0i	48.66	50.40	-1.74	743.04	743.06	-0.02	8	8	792.0
AUWG min 4-3-24 final	36.03	36.03	0.00	756.04	756.03	0.01	2	2	792.0
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf	133.10	113.35	19.75	831.02	830.75	0.27	2	2	841.9
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024	19.65	20.38	-0.73	839.44	805.62	33.82	11	10	841.9
A_320	36.39	36.39	0.00	732.89	739.98	-7.08	124	134	792.0
Agile_Arc_SysDes	36.35	36.35	0.00	744.52	743.83	0.69	24	20	792.0
AirbusCallouts	36.68	36.03	0.65	756.01	756.00	0.01	25	25	792.0
Allegiant_Company_Profile_with_History	67.35	67.03	0.32	733.67	735.58	-1.91	3	3	792.0
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA	49.64	60.58	-10.94	748.41	747.83	0.58	169	148	841.9
B11. TE.CAO.00129  Experience  logbook	21.32	21.32	-0.00	579.77	544.36	35.40	7	8	595.3
BID_ACKNOWLEDGEMENT_FORM_FOR_A320	72.02	72.02	0.00	702.89	704.68	-1.79	3	3	792.0
Bull01-06-Reserve Training Standards	72.51	72.51	0.00	706.79	706.79	0.00	6	6	792.0
CMTA_Airport_Transportation	72.51	72.51	0.00	590.69	590.69	0.00	1	1	792.0
CP-ETSO template_v2020	36.34	36.34	-0.00	756.51	760.07	-3.56	6	6	841.9
CRIF - SpÃ©cification technique - Socle applicatif	34.35	47.47	-13.11	784.24	757.19	27.05	28	28	841.9
CSCRS_Technical-Report-Documentation-Page-with-instructions	36.51	36.51	0.00	687.73	669.03	18.71	2	2	792.0
Case-Study-Heathrow-Airport	72.03	92.88	-20.85	792.69	793.07	-0.37	3	3	841.9
Checklist for TC STC ETSO data packages to FAA_TIP rev 5	36.23	35.98	0.25	818.34	818.34	0.00	3	3	841.9
Company-profile-2022-EN	105.03	105.04	-0.01	715.05	694.48	20.56	5	5	792.0
Contract_Check_Pilot_Sample_LOA	72.45	72.45	0.00	755.99	755.98	0.02	4	4	792.0
DEP2008-1900	36.35	36.35	-0.00	819.41	819.70	-0.29	3	3	841.9
DOA_Template_Form_Type_Certification_Programme	3.91	4.66	-0.75	766.14	766.83	-0.69	25	19	841.9
DRX-Ascend System Course Description	74.19	74.19	0.00	756.01	756.00	0.01	2	2	792.0
ECSS-E-ST-50-16C-Annex-A(30September2021)	35.44	35.44	-0.00	806.43	806.43	-0.00	4	4	841.9
EHEST-SMS-Safety-Management-Manual-V2	36.03	42.37	-6.35	820.64	820.63	0.01	82	81	595.3
ESPN-R - MCF - Manual - Ed1.0 - For Publication	54.33	53.22	1.10	783.76	770.28	13.48	34	42	841.9
ESPN-R - MCF - RA - Ed1	35.47	41.03	-5.56	846.87	769.70	77.17	52	46	595.3
FAA 2025-26 Holdover Tables	21.59	21.99	-0.39	770.44	770.44	0.00	156	233	612.0
FAA-2013-0422-0009_attachment_1	72.51	72.51	0.00	706.79	706.79	0.00	7	7	792.0
FAA-2017-0628-0002_attachment_1	36.51	34.20	2.31	777.29	777.28	0.01	5	4	792.0
FAA-High-Level-Org-Chart	72.03	72.03	0.00	710.91	715.08	-4.17	3	3	792.0
FG-AI4NDM-TR-skeleton_template	47.31	48.66	-1.35	813.56	813.55	0.01	5	5	841.9
FMRBullletinB-28	72.51	72.51	0.00	756.04	756.04	0.00	2	2	792.0
FO.FCTOA.00010 Application for a Part-ORA ATO Approval	21.55	21.31	0.24	813.48	813.48	0.01	15	16	841.9
FO.FCTOA_.000129 Application for activities related to FSTD	22.98	22.73	0.25	829.32	828.29	1.03	6	7	841.9
FRE-03_mcar_part-3_and_IS_v2.9	21.61	17.81	3.80	770.41	770.43	-0.02	76	70	792.0
FlightLaws	29.56	29.57	-0.01	614.37	681.91	-67.54	4	4	792.0
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11	60.93	57.88	3.05	817.99	817.98	0.01	3	3	841.9
GLACIERBG.ETT	50.31	48.06	2.25	759.79	757.54	2.25	1	1	792.0
HC-Bulletin-template	49.79	56.98	-7.18	805.74	838.44	-32.70	5	1	841.9
How-to-Write-an-Architecture-Document-for-a-Technology-Service	72.01	72.01	0.00	715.98	718.97	-2.99	3	3	792.0
II.1.2_Hypoxia	72.51	72.51	0.00	710.25	706.79	3.46	12	13	792.0
Interview-mit-Manfred1-Müller	70.88	70.88	-0.00	755.96	755.95	0.01	2	2	841.9
JEMIT_Template	42.55	41.05	1.50	810.65	810.65	-0.00	5	4	841.9
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022	45.14	45.14	-0.00	644.54	633.43	11.11	1	1	841.9
LHD-230-application-for-the-approval-of-an-aircraftr	19.39	19.39	-0.00	766.91	756.55	10.36	2	2	841.9
Leadership Information Article	56.73	56.73	0.00	725.06	725.05	0.01	4	4	792.0
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5	36.35	36.35	-0.00	778.91	780.90	-1.99	3	3	841.9
License App Instructions 2-22	27.37	27.37	0.00	742.19	742.19	0.00	3	3	792.0
May 25 bulletin focus on carers in the workplace	93.52	72.03	21.49	846.94	758.60	88.34	5	4	841.9
OM template for non-complex NCC operators_August 2016	35.80	35.48	0.32	796.46	794.75	1.71	164	171	841.9
P200904290238_0238_51880	36.51	36.51	-0.00	759.17	765.39	-6.22	3	3	841.9
PAT-047 - Architecture and Detailed Design Assessment	41.57	41.92	-0.35	576.00	575.96	0.04	4	4	612.0
PES-Technical-Report-Template_Jan_2019	36.31	0.31	36.00	771.45	769.14	2.31	13	17	792.0
PI-doc.-no.-2E-Technical-Review-Report	87.93	87.17	0.76	805.05	792.54	12.50	10	10	841.9
PK_FlugzeugeStricken	36.02	3.69	32.33	805.91	805.90	0.01	7	7	841.9
