name	ref_only	ours_only
001_1-2-3_Horizontal_Hierarchy_39795b4d		DejaVuSans
001_advanced_powerpoint_bar		
002_10-Point_Dual_Hub_Comparison_4ee242c9		
002_advanced_powerpoint_column		
003_2-Circle_Venn_Diagram_7ab74e5c		
003_advanced_powerpoint_line		
004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80		
004_advanced_powerpoint_pie		
005_2-Step_Funnel_On_left_With_Text_767f0490		
005_advanced_powerpoint_doughnut		
006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084		Carlito-Italic,DejaVuSans
006_advanced_powerpoint_area		
007_3_Circles_Diagram_for_PowerPoint_dac9f170		DejaVuSans
007_advanced_powerpoint_scatter		
008_3-Circle_Venn_Diagram_024a12c5		
008_advanced_powerpoint_bubble		
009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9		DejaVuSans
009_advanced_powerpoint_bar		
010605Vul		
010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0		Carlito-Italic,DejaVuSans
010_advanced_powerpoint_column		
011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd		
011_advanced_powerpoint_line		
012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5		Carlito-Italic,DejaVuSans
012_advanced_powerpoint_pie		
013_3-Step_Segmented_Cycle_Process_5232f82d		
013_advanced_powerpoint_doughnut		
014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e		Carlito-Italic,DejaVuSans
014_advanced_powerpoint_area		
015_4-Option_Color_Wheel_Diagram_df7e4b8f		
015_advanced_powerpoint_scatter		
016_4-Position_Org_Chart_1d3640b6		DejaVuSans
016_advanced_powerpoint_bubble		
017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5		
017_advanced_powerpoint_bar		
018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce		Carlito-Italic,DejaVuSans
018_advanced_powerpoint_column		
019_4-Step_Segmented_Cycle_Process_2ff93c19		
019_advanced_powerpoint_line		
020_5-Option_Color_Wheel_Diagram_104ea3b0		
020_advanced_powerpoint_pie		
021_5-Position_Org_Chart_cb042559		DejaVuSans
021_advanced_powerpoint_doughnut		
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e		Carlito-Italic,DejaVuSans
022_advanced_powerpoint_area		
023_5-Step_Progress_Cards_91d5ff57		
023_advanced_powerpoint_scatter		
024_5-Step_Segmented_Cycle_Process_c8ca37ef		
024_advanced_powerpoint_bubble		
