name	ref_only	ours_only
(5000021142)-(subc0226)-criminology-subject-collection-list		
001_Contextures_chart_sample_b089bc34		LiberationSans
001_advanced_excel_bar	Carlito-Bold	LiberationSans
002_Contextures_chart_sample_f605e7bc		LiberationSans
002_advanced_excel_line	Carlito-Bold	LiberationSans
003_Contextures_chart_sample_9bda2719		LiberationSans
003_advanced_excel_pie	Carlito-Bold	LiberationSans
004_Contextures_chart_sample_de7c0671		LiberationSans
004_advanced_excel_doughnut	Carlito-Bold	LiberationSans
00514292		
005_Contextures_chart_sample_6e279b08		LiberationSans
005_advanced_excel_area	Carlito-Bold	LiberationSans
006_Contextures_chart_sample_afa23b53		LiberationSans
006_advanced_excel_scatter	Carlito-Bold	LiberationSans
007_Contextures_chart_sample_667d8e47		
007_advanced_excel_bubble	Carlito-Bold	LiberationSans
008_Contextures_chart_sample_7ea7a1d7		LiberationSans
008_advanced_excel_radar	Carlito-Bold	LiberationSans
009_Contextures_chart_sample_adcb3f6c		
009_advanced_excel_bar	Carlito-Bold	LiberationSans
010_Contextures_chart_sample_e6ea06a3		LiberationSans
010_advanced_excel_line	Carlito-Bold	LiberationSans
011_Contextures_chart_sample_599b4392		
011_advanced_excel_pie	Carlito-Bold	LiberationSans
012_Contextures_chart_sample_9900da76		LiberationSans
012_advanced_excel_doughnut	Carlito-Bold	LiberationSans
013_Contextures_chart_sample_21b98e22		LiberationSans
013_advanced_excel_area	Carlito-Bold	LiberationSans
014_Contextures_chart_sample_991ecfc5		
014_advanced_excel_scatter	Carlito-Bold	LiberationSans
015_Free_Gantt_Chart_Template_for_Excel_414e86bf		
015_advanced_excel_bubble	Carlito-Bold	LiberationSans
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144		
016_advanced_excel_radar	Carlito-Bold	LiberationSans
017_Timeline_Templates_for_Excel_b88faee6		
017_advanced_excel_bar	Carlito-Bold	LiberationSans
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a		
018_advanced_excel_line	Carlito-Bold	LiberationSans
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782		
019_advanced_excel_pie	Carlito-Bold	LiberationSans
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39		
020_advanced_excel_doughnut	Carlito-Bold	LiberationSans
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d		
021_advanced_excel_area	Carlito-Bold	LiberationSans
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874		
022_advanced_excel_scatter	Carlito-Bold	LiberationSans
023_Waterfall_Chart_Template_for_Excel_349f7689		
023_advanced_excel_bubble	Carlito-Bold	LiberationSans
024_Free_Kids_Chore_Chart_Template_ad74bb34		
024_advanced_excel_radar	Carlito-Bold	LiberationSans
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93		
025_advanced_excel_bar	Carlito-Bold	LiberationSans
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1		
026_advanced_excel_line	Carlito-Bold	LiberationSans
027_Simple_personal_cash_flow_statement_675c6584		LiberationSans
027_advanced_excel_pie	Carlito-Bold	LiberationSans
028_Budget_summary_report_4aeefd13		
028_advanced_excel_doughnut	Carlito-Bold	LiberationSans
029_Annual_budget_Use_this_template_30324a97	DejaVuSans-Bold	LiberationSans,LiberationSans-Bold
029_advanced_excel_area	Carlito-Bold	LiberationSans
030_Basic_balance_sheet_Use_this_template_10ed9144		LiberationSans
