ours_pages	ref_pages	ours_trailing_empty	ref_trailing_empty	name
1	1	0	0	001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7
1	1	0	0	001_advanced_word_chart_report
1	1	0	0	002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b
1	1	0	0	002_advanced_word_chart_report
1	1	0	0	003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42
5	5	1	1	003
1	1	0	0	003_advanced_word_chart_report
1	1	0	0	004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152
1	1	0	0	004_advanced_word_chart_report
1	1	0	0	005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0
1	1	0	0	005_advanced_word_chart_report
1	1	0	0	006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541
1	1	0	0	006_advanced_word_chart_report
1	1	0	0	007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829
1	1	0	0	007_advanced_word_chart_report
1	1	0	0	008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8
1	1	0	0	008_advanced_word_chart_report
1	1	0	0	009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0
1	1	0	0	009_advanced_word_chart_report
1	1	0	0	010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818
1	1	0	0	010_advanced_word_chart_report
1	1	0	0	011_Project_Timeline_Template_Beautiful_Theme_2336e680
1	1	0	0	011_advanced_word_chart_report
1	2	0	1	012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550
1	1	0	0	012_advanced_word_chart_report
1	1	0	0	013_Project_Timeline_Template_Blue_Background_4ea3475e
1	1	0	0	013_advanced_word_chart_report
1	1	0	0	014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1
1	1	0	0	014_advanced_word_chart_report
1	2	0	1	015_Project_Timeline_Template_Colored_Background_6434b0e8
1	1	0	0	015_advanced_word_chart_report
1	1	0	0	016_Project_Timeline_Template_Complete_Guide_7d36d09c
1	1	0	0	016_advanced_word_chart_report
1	1	0	0	017_Project_Timeline_Template_Customizable_Format_5d5ca2e8
1	1	0	0	017_advanced_word_chart_report
1	1	0	0	018_Project_Timeline_Template_Editable_Format_e1cf1df5
1	1	0	0	018_advanced_word_chart_report
1	1	0	0	019_Project_Timeline_Template_Excellent_Layout_4ee62967
1	1	0	0	019_advanced_word_chart_report
1	1	0	0	020_Project_Timeline_Template_Modern_Theme_0c215d87
1	1	0	0	020_advanced_word_chart_report
1	1	0	0	021_Unit_Circle_Chart_3D_Pie_Chart_404247ab
1	1	0	0	021_advanced_word_chart_report
1	1	0	0	022_Unit_Circle_Chart_Circle_A_and_B_19dbf275
1	1	0	0	022_advanced_word_chart_report
1	1	0	0	023_Unit_Circle_Chart_Circular_Percentage_790f7b75
1	1	0	0	023_advanced_word_chart_report
1	1	0	0	024_Unit_Circle_Chart_Colorful_Circles_7c92601e
1	1	0	0	024_advanced_word_chart_report
1	1	0	0	025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892
1	1	0	0	025_advanced_word_chart_report
1	1	0	0	026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1
1	1	0	0	026_advanced_word_chart_report
1	1	0	0	027_Unit_Circle_Chart_Graphical_Chart_5462a579
1	1	0	0	027_advanced_word_chart_report
1	1	0	0	028_Unit_Circle_Chart_Optimized_Graph_83d9c756
1	1	0	0	028_advanced_word_chart_report
1	1	0	0	029_Unit_Circle_Chart_Pie_Theme_8a922142
1	1	0	0	029_advanced_word_chart_report
312	311	0	0	02_mcar_part-2_and_IS_v2.10
1	1	0	0	030_Unit_Circle_Chart_Points_System_23b5ef07
1	1	0	0	030_advanced_word_chart_report
1	1	0	0	031_Venn_Diagram_Template_Blue_Theme_a9e417b8
1	1	0	0	031_advanced_word_chart_report
1	1	0	0	032_Venn_Diagram_Template_Brown_Theme_d5b549f0
1	1	0	0	032_advanced_word_chart_report
1	1	0	0	033_Venn_Diagram_Template_Colored_Theme_2aea6697
1	1	0	0	033_advanced_word_chart_report
1	1	0	0	034_Venn_Diagram_Template_Customizable_Format_d14642b7
1	1	0	0	035_Venn_Diagram_Template_Editable_Format_966dff5f
1	1	0	0	036_Venn_Diagram_Template_Fillable_Layout_3ffbba36
1	1	0	0	037_Venn_Diagram_Template_Four_Circle_764829a0
1	1	0	0	038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e
1	1	0	0	039_Venn_Diagram_Template_Simple_Format_6f82661d
11	10	0	0	03_Technical_Report_(progress)_template
1	1	0	0	040_Venn_Diagram_Template_Three_Circle_80f32f5e
1	1	0	0	041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010
1	1	0	0	042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb
1	1	0	0	043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1
1	1	0	0	044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0
2	1	0	0	045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c
1	1	0	0	046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0
2	1	0	0	047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e
1	1	0	0	048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee
1	1	0	0	049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f
