name	ours_pages	ref_pages	ours_glyphs	ref_glyphs	unemb	verdict
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7	1	1	32	32	0	match
001_advanced_word_chart_report	1	1	535	535	0	match
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b	1	1	8	7	0	match
002_advanced_word_chart_report	1	1	536	536	0	match
003	5	4	5761	5761	0	pages
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42	1	1	8	8	0	match
003_advanced_word_chart_report	1	1	534	534	0	match
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152	1	1	25	25	0	match
004_advanced_word_chart_report	1	1	530	530	0	match
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0	1	1	8	8	0	match
005_advanced_word_chart_report	1	1	529	529	0	match
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541	1	1	203	203	0	match
006_advanced_word_chart_report	1	1	529	529	0	match
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829	1	1	137	137	0	match
007_advanced_word_chart_report	1	1	531	531	0	match
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8	1	1	10	10	0	match
008_advanced_word_chart_report	1	1	534	534	0	match
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0	1	1	8	7	0	match
009_advanced_word_chart_report	1	1	540	540	0	match
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818	1	1	11	11	0	match
010_advanced_word_chart_report	1	1	533	533	0	match
011_Project_Timeline_Template_Beautiful_Theme_2336e680	1	1	1065	930	0	words
011_advanced_word_chart_report	1	1	530	530	0	match
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550	1	1	124	53	0	words
012_advanced_word_chart_report	1	1	538	538	0	match
013_Project_Timeline_Template_Blue_Background_4ea3475e	1	1	312	312	0	match
013_advanced_word_chart_report	1	1	525	525	0	match
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1	1	1	820	820	0	match
014_advanced_word_chart_report	1	1	531	531	0	match
015_Project_Timeline_Template_Colored_Background_6434b0e8	1	1	211	84	0	words
015_advanced_word_chart_report	1	1	532	532	0	match
016_Project_Timeline_Template_Complete_Guide_7d36d09c	1	1	631	75	0	words
016_advanced_word_chart_report	1	1	537	537	0	match
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8	1	1	470	470	0	match
017_advanced_word_chart_report	1	1	540	540	0	match
018_Project_Timeline_Template_Editable_Format_e1cf1df5	1	1	407	73	0	words
018_advanced_word_chart_report	1	1	530	530	0	match
019_Project_Timeline_Template_Excellent_Layout_4ee62967	1	1	332	331	0	match
019_advanced_word_chart_report	1	1	533	533	0	match
020_Project_Timeline_Template_Modern_Theme_0c215d87	1	1	186	51	0	words
020_advanced_word_chart_report	1	1	530	530	0	match
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab	1	1	541	517	0	words
021_advanced_word_chart_report	1	1	532	532	0	match
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275	1	1	1047	1047	0	match
022_advanced_word_chart_report	1	1	530	530	0	match
023_Unit_Circle_Chart_Circular_Percentage_790f7b75	1	1	543	519	0	words
023_advanced_word_chart_report	1	1	532	532	0	match
024_Unit_Circle_Chart_Colorful_Circles_7c92601e	1	1	517	517	0	match
024_advanced_word_chart_report	1	1	536	536	0	match
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892	1	1	571	571	0	match
025_advanced_word_chart_report	1	1	524	524	0	match
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1	1	1	290	290	0	match
026_advanced_word_chart_report	1	1	533	533	0	match
027_Unit_Circle_Chart_Graphical_Chart_5462a579	1	1	1395	1019	0	words
027_advanced_word_chart_report	1	1	528	528	0	match
028_Unit_Circle_Chart_Optimized_Graph_83d9c756	1	2	1172	680	0	pages,words
028_advanced_word_chart_report	1	1	530	530	0	match
029_Unit_Circle_Chart_Pie_Theme_8a922142	1	1	517	512	0	match
029_advanced_word_chart_report	1	1	528	528	0	match
02_mcar_part-2_and_IS_v2.10	318	318	414406	421108	0	match
030_Unit_Circle_Chart_Points_System_23b5ef07	1	1	367	367	0	match
030_advanced_word_chart_report	1	1	528	528	0	match
031_Venn_Diagram_Template_Blue_Theme_a9e417b8	1	1	294	285	0	match
031_advanced_word_chart_report	1	1	527	527	0	match
032_Venn_Diagram_Template_Brown_Theme_d5b549f0	1	1	196	195	0	match
032_advanced_word_chart_report	1	1	534	534	0	match
033_Venn_Diagram_Template_Colored_Theme_2aea6697	1	1	63	63	0	match
033_advanced_word_chart_report	1	1	529	529	0	match
034_Venn_Diagram_Template_Customizable_Format_d14642b7	1	1	63	63	0	match
035_Venn_Diagram_Template_Editable_Format_966dff5f	1	1	142	142	0	match
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36	1	1	61	61	0	match
037_Venn_Diagram_Template_Four_Circle_764829a0	1	1	98	98	0	match
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e	1	1	170	170	0	match
039_Venn_Diagram_Template_Simple_Format_6f82661d	1	1	161	161	0	match
03_Technical_Report_(progress)_template	10	11	7367	6978	0	pages,words
040_Venn_Diagram_Template_Three_Circle_80f32f5e	1	1	294	285	0	match
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010	1	1	124	124	0	match
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb	2	1	185	185	0	pages
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1	1	1	1099	1099	0	match
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0	1	1	227	219	0	match
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c	1	1	242	235	0	match
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0	1	1	588	588	0	match
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e	1	1	182	183	0	match
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee	2	2	402	402	0	match
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f	1	1	406	406	0	match
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744	1	1	1288	1288	0	match
051_Organogram_Template_Basic_Theme_e6464d06	1	1	0	0	0	match
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe	1	1	0	0	0	match
053_Organogram_Template_Creative_Theme_21657a3d	1	1	0	0	0	match
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8	1	1	0	0	0	match
055_Organogram_Template_Horizontal_Structure_28a7e725	1	1	0	0	0	match
056_Organogram_Template_Square_Theme_38f373d4	1	1	8	8	0	match
057_Organogram_Template_Vertical_Colorful_Theme_724b143c	1	1	0	0	0	match
058_Organogram_Template_With_Picture_Theme_44b79368	1	1	0	0	0	match
059_Disease_Concept_Map_Template_4acf63f2	1	1	141	130	0	match
060_Human_Body_Concept_Map_Template_ac872cfb	1	1	148	138	0	match
061_Nursing_Concept_Map_Template_fb9816f0	1	1	150	150	0	match
062_Vocabulary_Concept_Map_Template_2f7c1c09	1	1	76	76	0	match
