doc	rules	zpct	ident	now_exact	model_exact	worst_pt
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	8	100	1	5	5	0.0033
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx.pdf	6	66	2	2	4	0.0131
037_Personal_money_tracker_a57957bb__xlsx.pdf	4	11	14	1	2	0.0081
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	37	73	2	0	24	0.0090
049_Expenses_calculator_c351f3d0__xlsx.pdf	2	36	2	0	2	0.0010
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a__xlsx.pdf	28	19	4	0	28	0.0004
078_Modern_inventory_list_Use_this_template_41abd5bf__xlsx.pdf	28	14	7	0	28	0.0011
079_Org_charts_visual_248d1dcf__xlsx.pdf	2	29	12	0	2	0.0009
085_Simple_Gantt_chart_d65b8377__xlsx.pdf	5	100	1	3	3	0.0118
090_Weekly_time_sheet_Use_this_template_0499cc43__xlsx.pdf	2	63	5	0	2	0.0001
7-memento-2015-transports-aeriens-b__xls.pdf	66	75	1	4	66	0.0005
Aircraft_Database__xlsx.pdf	356	75	3	348	348	0.0099
CSJU List of Recipients of funds 2013-2020__xlsx.pdf	4	46	1	1	2	0.0106
Company_Seniority_Date_Calculator__xlsx.pdf	28	50	2	18	18	0.0055
FAA-2019-0995-0002_attachment_2__xlsx.pdf	2	10	91	0	0	0.0494
FMMO_NMPF_37C__xlsx.pdf	17	29	13	0	17	0.0010
INDEX_Digital_Transformation_Toolkits__xls.pdf	1	10	91	0	0	0.0499
NAS-Infrastructure-Roadmaps-v16.0__pptx.pdf	4	100	1	3	3	0.0560
NCW-2024-Guide-__pptx.pdf	27	100	1	26	26	0.0017
Performance__xlsx.pdf	13	55	1	12	13	0.0010
Published_Issuances_2024__xlsx.pdf	40	29	10	0	40	0.0002
RMP 2011-2014 and Inventory__xls.pdf	86	60	2	0	86	0.0003
WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm__xlsx.pdf	7	46	3	0	7	0.0004
apron-area__xls.pdf	10	75	3	9	9	0.3975
atspp_pay_tables__xlsx.pdf	105	50	5	60	60	0.0121
dragon-175066A__xlsx.pdf	52	11	26	52	52	0.0007
ecopy of 2016 statistical bulletin_public finance statistics_final__xlsx.pdf	20	74	1	0	12	0.0203
fm-provider-service-measures__xlsx.pdf	38	11	17	0	38	0.0003
seihon_zassi_kikou_20221215__xlsx.pdf	420	43	12	0	420	0.0013
