doc	base_sha256	after_sha256	base_bytes	after_bytes
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	b395c93144d49b0e56c2274fed3fec7e1ac39ed9c128f8592b36e4bb3c96eb52	00fba1841bc2ecbc891c0017c0bab3553babe4b48a74c9e48d33355fc41bc2eb	156759	156758
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx.pdf	0b64c9624b7750edb24c39b3bd64815b3b457e66b54970af2c9aab52f5d513d1	41852a61e18d0a80b31bcc29f2474eff61ac147b4a149423d01550ad8dcc25f2	125710	125700
037_Personal_money_tracker_a57957bb__xlsx.pdf	e55a409abfa412fec8d6d178055afd81d9330ad7d9990ff16264168e6a3fce4d	57ccaedea6776a53c3ee9de9d657397e8bbad44b92c37959f1b4e2654c9fef7b	71302	71301
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	3701eca88d9cb42e80797917be1eb18466e6e14cad3a32b290f7fc60f1d824c0	ac171b59e07c7dea7afb79d7cda093dc67cd48cbf45bd3e843d79574d96af227	62929	62922
049_Expenses_calculator_c351f3d0__xlsx.pdf	6eb280def264a1066e672dc798205e1bf819741e6dc353d5764cb71d17b907be	0935bd7135118ad7fbac8111f5ce17c222f32c844c917c82875affce15a20fd3	61349	61352
067_Basic_invoice_Use_this_template_1d35c3e9__xlsx.pdf	546e2caee5e949cce90fb499b84baf1e9ad86b8331d22cabe95bd673ab2a63b8	57bac48548678e86f7249f7917be33b46c95d86b6373371966f4abd4d6ba61ce	34732	34733
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a__xlsx.pdf	f355e7de22cbce5c3677c3d7433ee9f3dc2ca716f2a39dedc9c2f506ec5f83b4	0eb9f1401e2249019da8d028540e65de133b9563a6d936ef9d641c2ad68ab37d	24337	24337
078_Modern_inventory_list_Use_this_template_41abd5bf__xlsx.pdf	86c7cce20e6b3f662850e603d42a0c3c7b0080795be1aea7d4dc3b57e16975d3	8a2648b546cd142d0ec811cfdb57aeca976684f0d7dcbdaa7001266fa33a052c	19308	19308
079_Org_charts_visual_248d1dcf__xlsx.pdf	faa2c66c3f47bc3fca5260a95b190da87e1c0d841159475eb2403d10ce6b9f8a	ee9adabf2c947886fd7373ff1253f15ca10a689f521b71bca5eb96c1da91625b	44179	44178
085_Simple_Gantt_chart_d65b8377__xlsx.pdf	bb2b8bcee0e4cbdd7d0d69f5eebdc3806292e7a415661a07357e61b72c4e789e	03a05d7a820dbad66dfb7095196100cbb6d0f5f126fdd55abfed8d643eb2ab39	71308	71307
090_Weekly_time_sheet_Use_this_template_0499cc43__xlsx.pdf	7cf764c6d391a23aec571e3ea3613bef10cb77c8cf63d20e12820d2b2637aa9a	7b0d7d1eef38670a2f0a331651e48a368b3d881a87088768aa8dd8cb6706fc6e	29059	29059
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	d2669d467c6126141c7d5954070d00f5b8f62435da2127f481225ef2c2e144ab	2a347be35186dadc3a20c2fef5cb9d37ded4de618772768944a19b3c55e6aebb	59448	59449
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	9cee5e1b563f8258f44b58e748afa61e62bc8b17bf5987b94bb647c07b6563cf	2acc3016a00e5f92169c943569a488606c6aac9158d2bcb35343b972cd8a828a	59401	59399
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx.pdf	1768592de248c2dc233de723467fcd52bd187b894530eb93fd2d11c743ddb80c	f6a0f625a52e1b64ba7cb36cef2fe2fe80ff4226ca42bf975f32eb3fc46c036d	497930	497930
7-memento-2015-transports-aeriens-b__xls.pdf	d1f82fdfaca58e0088e05c9485e334c6d82dd128e0fd859a3633aa3ed1f22e32	340f3a36e38aaf15c4ab0a5cf8d57f645de591c7137c4df628458c751f87157e	569504	569503
Aircraft_Database__xlsx.pdf	658d5958ba5015a45512b3a4acfbac0aeb474cb750840816d9ba4716e4d8d7e4	711f6b43e1eb442b4fa27c888c02b10f0851445ff9d76ab4f0d52391807ccb14	319648	319650
CSA_CCM_v1.2__xls.pdf	6978bb6a6d3f8bbc1abd97ff08343ca5e3f461b90cd4914c4dc58b5be89b0e84	b947d15304c0de595972891a6cc37365a98e4fb246789fb4b9cbf14829904956	149142	149142
CSJU List of Recipients of funds 2013-2020__xlsx.pdf	4b318c0fabd651b834c6168b9ddcb3da05d5e93767cd7f6d94ae5c855a1bc28d	5080558567bade8b6f74e0e49b34bd2951a176b2270026f685157afe04a511c7	668550	668549
