doc	status	ref_rules	agree	disagree
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	ok	0	0	0
001_Contextures_chart_sample_b089bc34__xlsx.pdf	ok	11	11	0
001_advanced_excel_bar__xlsx.pdf	ok	0	0	0
002_Contextures_chart_sample_f605e7bc__xlsx.pdf	ok	10	10	0
002_advanced_excel_line__xlsx.pdf	ok	0	0	0
003_Contextures_chart_sample_9bda2719__xlsm.pdf	ok	8	8	0
003_advanced_excel_pie__xlsx.pdf	ok	0	0	0
004_Contextures_chart_sample_de7c0671__xlsx.pdf	ok	5	5	0
004_advanced_excel_doughnut__xlsx.pdf	ok	0	0	0
00514292__xlsx.pdf	ok	0	0	0
005_Contextures_chart_sample_6e279b08__xlsx.pdf	ok	5	5	0
005_advanced_excel_area__xlsx.pdf	ok	0	0	0
006_Contextures_chart_sample_afa23b53__xlsx.pdf	ok	7	7	0
006_advanced_excel_scatter__xlsx.pdf	ok	0	0	0
007_Contextures_chart_sample_667d8e47__xlsm.pdf	ok	7	7	0
007_advanced_excel_bubble__xlsx.pdf	ok	0	0	0
008_Contextures_chart_sample_7ea7a1d7__xlsx.pdf	ok	5	5	0
008_advanced_excel_radar__xlsx.pdf	ok	0	0	0
009_Contextures_chart_sample_adcb3f6c__xlsx.pdf	ok	8	8	0
009_advanced_excel_bar__xlsx.pdf	ok	0	0	0
010_Contextures_chart_sample_e6ea06a3__xlsx.pdf	ok	8	8	0
010_advanced_excel_line__xlsx.pdf	ok	0	0	0
011_Contextures_chart_sample_599b4392__xls.pdf	ok	5	5	0
011_advanced_excel_pie__xlsx.pdf	ok	0	0	0
012_Contextures_chart_sample_9900da76__xlsx.pdf	ok	5	5	0
012_advanced_excel_doughnut__xlsx.pdf	ok	0	0	0
013_Contextures_chart_sample_21b98e22__xlsx.pdf	ok	5	5	0
013_advanced_excel_area__xlsx.pdf	ok	0	0	0
014_Contextures_chart_sample_991ecfc5__xls.pdf	ok	6	6	0
014_advanced_excel_scatter__xlsx.pdf	ok	0	0	0
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	ok	9	8	0
015_advanced_excel_bubble__xlsx.pdf	ok	0	0	0
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx.pdf	ok	2	2	0
016_advanced_excel_radar__xlsx.pdf	ok	0	0	0
017_Timeline_Templates_for_Excel_b88faee6__xlsx.pdf	ok	2	2	0
017_advanced_excel_bar__xlsx.pdf	ok	0	0	0
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx.pdf	ok	4	4	0
018_advanced_excel_line__xlsx.pdf	ok	0	0	0
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx.pdf	ok	5	5	0
019_advanced_excel_pie__xlsx.pdf	ok	0	0	0
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39__xlsx.pdf	ok	2	2	0
020_advanced_excel_doughnut__xlsx.pdf	ok	0	0	0
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d__xlsx.pdf	ok	2	2	0
021_advanced_excel_area__xlsx.pdf	ok	0	0	0
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx.pdf	ok	2	2	0
022_advanced_excel_scatter__xlsx.pdf	ok	0	0	0
023_Waterfall_Chart_Template_for_Excel_349f7689__xlsx.pdf	ok	4	4	0
023_advanced_excel_bubble__xlsx.pdf	ok	0	0	0
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx.pdf	ok	4	4	0
024_advanced_excel_radar__xlsx.pdf	ok	0	0	0
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx.pdf	ok	6	6	0
025_advanced_excel_bar__xlsx.pdf	ok	0	0	0
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx.pdf	ok	0	0	0
026_advanced_excel_line__xlsx.pdf	ok	0	0	0
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	ok	0	0	0
027_advanced_excel_pie__xlsx.pdf	ok	0	0	0
028_Budget_summary_report_4aeefd13__xlsx.pdf	ok	0	0	0
028_advanced_excel_doughnut__xlsx.pdf	ok	0	0	0
029_Annual_budget_Use_this_template_30324a97__xlsx.pdf	ok	0	0	0
029_advanced_excel_area__xlsx.pdf	ok	0	0	0
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx.pdf	ok	0	0	0
030_advanced_excel_scatter__xlsx.pdf	ok	0	0	0
031_Business_expense_budget_f3a46278__xlsx.pdf	ok	0	0	0
031_advanced_excel_bubble__xlsx.pdf	ok	0	0	0
032_Business_expenses_budget_d377eaab__xlsx.pdf	ok	0	0	0
032_advanced_excel_radar__xlsx.pdf	ok	0	0	0
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	ok	0	0	0
033_advanced_excel_bar__xlsx.pdf	ok	0	0	0
034_Personal_net_worth_calculator_f7b8fb57__xlsx.pdf	ok	0	0	0
034_advanced_excel_line__xlsx.pdf	ok	0	0	0
035_Project_plan_for_law_firms_aa2d4462__xlsx.pdf	ok	0	0	0
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx.pdf	ok	0	0	0
037_Personal_money_tracker_a57957bb__xlsx.pdf	ok	4	4	0
038_Baby_growth_chart_bb9cd672__xlsx.pdf	ok	0	0	0
039_Baby_growth_tracker_e295ae56__xlsx.pdf	ok	0	0	0
040_Blood_pressure_tracker_872b6833__xlsx.pdf	ok	0	0	0
041_Business_budget_ef942467__xlsx.pdf	ok	0	0	0
042_Business_monthly_budget_4e4d092f__xlsx.pdf	ok	0	0	0
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx.pdf	ok	0	0	0
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx.pdf	ok	0	0	0
045_Check_register_with_chart_4becb8a0__xlsx.pdf	ok	0	0	0
046_Cost_analysis_with_Pareto_chart_7db5ef69__xlsx.pdf	ok	0	0	0
047_Date_tracker_Gantt_chart_bf34f3a8__xlsx.pdf	ok	0	0	0
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	ok	37	37	0
049_Expenses_calculator_c351f3d0__xlsx.pdf	ok	2	2	0
050_Financial_vision_d44241e1__xlsx.pdf	ok	0	0	0
051_Manufacturer_defect_analysis_53db27ea__xlsx.pdf	ok	0	0	0
052_Manufacturing_output_chart_88570318__xlsx.pdf	ok	0	0	0
053_Personal_asset_inventory_5446d84b__xlsx.pdf	ok	0	0	0
054_Problem_analysis_with_Pareto_chart_11058329__xlsx.pdf	ok	0	0	0
055_Project_timeline_with_milestones_Use_this_template_546cecc0__xlsx.pdf	ok	0	0	0
056_Quarterly_sale_report_baa6bb0d__xlsx.pdf	ok	0	0	0
057_Simple_balance_sheet_Use_this_template_e2d4cbb2__xlsx.pdf	ok	0	0	0
058_Social_media_engagement_data_cfa1cb18__xlsx.pdf	ok	0	0	0
059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1__xlsx.pdf	ok	4	4	0
060_Monthly_company_budget_47b2a99a__xlsx.pdf	ok	0	0	0
