doc	pages_base	pages_after	glyphs_base	glyphs_after
00514292__xlsx.pdf	9	9	4256	4256
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	8	8	8640	8640
023_Waterfall_Chart_Template_for_Excel_349f7689__xlsx.pdf	5	5	3661	3661
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx.pdf	3	3	1153	1153
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx.pdf	5	5	713	713
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx.pdf	11	11	7879	7879
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	10	10	7949	7949
028_Budget_summary_report_4aeefd13__xlsx.pdf	4	4	3038	3038
029_Annual_budget_Use_this_template_30324a97__xlsx.pdf	2	2	943	943
032_Business_expenses_budget_d377eaab__xlsx.pdf	4	4	4873	4873
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	3	3	2720	2720
034_Personal_net_worth_calculator_f7b8fb57__xlsx.pdf	7	7	1069	1069
035_Project_plan_for_law_firms_aa2d4462__xlsx.pdf	4	4	3923	3923
037_Personal_money_tracker_a57957bb__xlsx.pdf	5	5	2476	2476
040_Blood_pressure_tracker_872b6833__xlsx.pdf	1	1	727	727
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx.pdf	7	7	1435	1435
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx.pdf	5	5	2200	2200
045_Check_register_with_chart_4becb8a0__xlsx.pdf	1	1	736	736
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	14	14	3984	3984
049_Expenses_calculator_c351f3d0__xlsx.pdf	4	4	1536	1536
050_Financial_vision_d44241e1__xlsx.pdf	1	1	400	400
055_Project_timeline_with_milestones_Use_this_template_546cecc0__xlsx.pdf	2	2	934	934
057_Simple_balance_sheet_Use_this_template_e2d4cbb2__xlsx.pdf	3	3	2185	2185
058_Social_media_engagement_data_cfa1cb18__xlsx.pdf	1	1	476	476
060_Monthly_company_budget_47b2a99a__xlsx.pdf	4	4	1659	1659
061_Regional_sales_chart_cb9eb690__xlsx.pdf	1	1	423	423
062_Run_chart_cb7476ea__xlsx.pdf	2	2	643	643
063_Sales_pipeline_aec57013__xlsx.pdf	1	1	179	179
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx.pdf	7	7	1635	1635
065_Weight_loss_tracker_ff1c89af__xlsx.pdf	2	2	340	340
066_Agile_Gantt_chart_08f9de45__xlsx.pdf	5	5	2951	2951
067_Basic_invoice_Use_this_template_1d35c3e9__xlsx.pdf	1	1	405	405
068_Blue_inventory_list_Use_this_template_f9908489__xlsx.pdf	4	4	1193	1193
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3__xlsx.pdf	4	4	1090	1090
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx.pdf	1	1	400	400
072_Gantt_project_planner_dde00e33__xlsx.pdf	1	1	780	780
074_Idea_planner_bacaa123__xlsx.pdf	1	1	562	562
075_Idea_planner_tasks_f44ebd73__xlsx.pdf	1	1	484	484
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx.pdf	9	9	4786	4786
079_Org_charts_visual_248d1dcf__xlsx.pdf	3	3	1828	1828
080_Profit_and_loss_income_statement_3566dae9__xlsx.pdf	3	3	3633	3633
081_Project_performance_report_Use_this_template_be2468b3__xlsx.pdf	2	2	2032	2032
082_Project_to_do_list_28f80082__xlsx.pdf	2	2	1128	1128
083_Project_tracker_Use_this_template_b38d057c__xlsx.pdf	2	2	935	935
084_Service_invoice_Use_this_template_c92b43dc__xlsx.pdf	3	3	1159	1159
085_Simple_Gantt_chart_d65b8377__xlsx.pdf	3	3	3043	3043
086_Simple_grey_invoice_Use_this_template_063b3773__xlsx.pdf	1	1	468	468
088_To-do_list_with_progress_tracker_Use_this_template_8c438912__xlsx.pdf	1	1	323	323
090_Weekly_time_sheet_Use_this_template_0499cc43__xlsx.pdf	1	1	570	570
091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01__xlsx.pdf	1	1	258	258
092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_31fe4d22__xlsx.pdf	1	1	782	782
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281__xlsx.pdf	1	1	832	832
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d__xlsx.pdf	2	2	1072	1072
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls.pdf	3	3	2447	2447
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls.pdf	5	5	2986	2986
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	5	5	13250	13250
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	5	5	13250	13250
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx.pdf	35	35	57060	57060
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx.pdf	217	217	656421	656421
AIRBUS_station_evaluation_checklist_v2__xlsx.pdf	1	1	2854	2854
Aircraft_Database__xlsx.pdf	134	134	74561	74561
Application_Compliance_Checklist_5_Apr_2021__xlsx.pdf	14	14	95080	95080
Background_Declaration_Template__xls.pdf	25	25	853	853
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx.pdf	5	5	2978	2978
CSA_CCM_v1.2__xls.pdf	13	13	73416	73416
CSJU List of Recipients of funds 2013-2020__xlsx.pdf	97	97	270501	270501
Company_Seniority_Date_Calculator__xlsx.pdf	12	12	15814	15814
EASA_PRODUCT_LIST_-_ALL__xlsx.pdf	264	264	484245	484245
ECA Sinters__xls.pdf	163	163	187470	187470
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls.pdf	24	24	37708	37708
Estero Rotary Awards__xlsx.pdf	2	2	1221	1221
FAA-2019-0995-0002_attachment_2__xlsx.pdf	33	33	46587	46587
FMMO_NMPF_37C__xlsx.pdf	1	1	1327	1327
FY2021-AIP-grants__xlsx.pdf	58	58	598427	598427
FY2023-AIP-grants__xlsx.pdf	33	33	353363	353363
Geo_Abschlussarbeiten__xlsx.pdf	3	3	4734	4734
Hazard Analysis Template__xls.pdf	3	3	3297	3297
Liste-Zertifizierung-ChemKlimaschutzV-RPT__xls.pdf	5	5	8638	8638
NPA_21_21_Sentenced_Comments__xls.pdf	2	2	4593	4593
NPIAS_App_A__xls.pdf	124	124	160284	160284
PA_Delaware__xls.pdf	122	122	580602	580602
PC1000__xls.pdf	13	13	3745	3745
Patent Index 2024 - Top 100 applicants 2024__xlsx.pdf	1	1	1627	1627
Performance__xlsx.pdf	13	13	7202	7202
Published_Issuances_2024__xlsx.pdf	1	1	4218	4218
REDAC_SCHEDULE_RPD_135__xls.pdf	1	1	486	486
REDAC_SCHEDULE_RPD_137__xls.pdf	2	2	1697	1697
RMP 2011-2014 and Inventory__xls.pdf	38	38	98381	98381
RPD 155 REDAC SCHEDULE 2014-04-02__xls.pdf	1	1	492	492
SLSA_Directory_031423__xlsx.pdf	10	10	28238	28238
SectorAdvisoryGroupandStrategyBoards__xls.pdf	7	7	15407	15407
Special-Procedures_2025-07-10__xls.pdf	22	22	153841	153841
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx.pdf	18	18	233524	233524
TICAPCapability_Final__xls.pdf	17	17	27834	27834
TK-Syllabus-Comparison-Document-v2__xlsx.pdf	1235	1235	1310899	1310899
TOGAF9-Tool-ConfReqts-CSQ__xls.pdf	28	28	156085	156085
airports_6__xlsx.pdf	17	17	58809	58809
arp-sop-300-Exhibit-A-Table-Templates__xlsx.pdf	11	11	19451	19451
atspp_pay_tables__xlsx.pdf	101	101	58995	58995
commander-authorisation-tasks-spreadsheet-october-2025__xlsx.pdf	23	23	65749	65749
cy01_state__xls.pdf	36	36	84656	84656
cy06_primary_np_comm__xls.pdf	11	11	30224	30224
cy10_primary_enplanements__xls.pdf	12	12	23129	23129
disclosures_ecm__xls.pdf	1	1	19226	19226
dragon-175066A__xlsx.pdf	13	13	53150	53150
ecopy of 2016 statistical bulletin_public finance statistics_final__xlsx.pdf	17	17	25528	25528
edb-emissions-databank v27-NewFormat (web)__xlsx.pdf	368	368	280982	280982
environment-edb-docs-edb-emissions-databank__xls.pdf	195	195	235512	235512
flying-log-passenger-23rd-september-2014__xls.pdf	7	7	24203	24203
fm-provider-service-measures__xlsx.pdf	38	38	134199	134199
fy20-may20-sep20__xlsx.pdf	96	96	290325	290325
fy2010-aip-grants__xls.pdf	100	100	264109	264109
june_2025_published__xlsx.pdf	15	15	90883	90883
npias_2009_appA__xls.pdf	73	73	201539	201539
orbus_togaf_tool_csq__xls.pdf	75	75	296356	296356
permit-applications-determined-july-2015__xls.pdf	1	1	8052	8052
programs contact list as of 07-01-10__xls.pdf	3	3	3789	3789
redac-sas-201503-fy17-research-portfolio__xlsx.pdf	2	2	4715	4715
seihon_zassi_kikou_20221215__xlsx.pdf	84	84	302682	302682
tk-syllabus-comparison-document-v5__xlsx.pdf	855	855	1225333	1225333
