page	band	ours_y	ref_y	dy	ours_x0	ours_x1	ref_x0	ref_x1	ours_rgb	ref_rgb
13	gauge	12.27	5.07	7.200	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	29.02	22.87	6.150	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	45.77	40.65	5.120	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	62.52	58.43	4.090	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	79.28	76.21	3.070	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	96.03	93.99	2.040	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	112.78	111.77	1.010	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	129.53	129.55	0.020	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	146.29	147.33	1.040	73.31	478.06	65.19	478.94	#000000	#808080
13	gauge	163.04	165.11	2.070	73.31	478.06	65.19	478.94	#000000	#808080
13	sheet	251.05	251.07	0.020	50.12	534.9	50.39	534.74	#000000	#000000
13	sheet	263.23	263.25	0.020	50.12	534.9	50.39	534.74	#000000	#000000
13	sheet	272.00	272.02	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	291.97	291.99	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	317.29	317.31	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	330.92	330.94	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	356.24	356.26	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	381.56	381.57	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	406.87	406.89	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	431.69	431.71	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	457.01	457.02	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	482.32	482.34	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	507.64	507.66	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	532.95	532.97	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	558.27	558.29	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	571.91	571.92	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	597.22	597.24	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	622.54	622.55	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	647.85	647.87	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	673.17	673.19	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	686.81	686.82	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	712.12	712.14	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	737.44	737.46	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	762.75	762.77	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	788.07	788.09	0.020	50.12	535.4	50.39	535.07	#000000	#000000
15	gauge	423.66	417.00	6.660	73.31	478.06	65.19	478.94	#000000	#808080
15	gauge	445.20	439.87	5.330	73.31	478.06	65.19	478.94	#000000	#808080
15	gauge	466.74	462.74	4.000	73.31	478.06	65.19	478.94	#000000	#808080
15	gauge	488.28	485.60	2.680	73.31	478.06	65.19	478.94	#000000	#808080
15	gauge	509.82	508.45	1.370	73.31	478.06	65.19	478.94	#000000	#808080
15	gauge	531.36	531.31	0.050	73.31	478.06	65.19	478.94	#000000	#808080
15	gauge	552.90	554.20	1.300	73.31	478.06	65.19	478.94	#000000	#808080
15	gauge	574.44	577.04	2.600	73.31	478.06	65.19	478.94	#000000	#808080
15	sheet	665.84	665.86	0.020	50.12	534.9	50.39	534.74	#000000	#000000
15	sheet	678.02	678.03	0.010	50.12	534.9	50.39	534.74	#000000	#000000
15	sheet	686.79	686.80	0.010	50.12	535.4	50.39	535.07	#000000	#000000
15	sheet	706.76	706.78	0.020	50.12	535.4	50.39	535.07	#000000	#000000
15	sheet	732.08	732.09	0.010	50.12	535.4	50.39	535.07	#000000	#000000
15	sheet	745.71	745.73	0.020	50.12	535.4	50.39	535.07	#000000	#000000
15	sheet	771.03	771.04	0.010	50.12	535.4	50.39	535.07	#000000	#000000
