document	pages	xlsx|ink|%	xlsxMAJOR	ods|ink|%	odsMAJOR	ods-less-pivot-borders	strippedMAJOR	borders
DynamicBubbleChart	5	4.42	2	3.45	2	6.77	2	41
037_Personal_money_tracker_a57957bb	5	3.45	1	1.29	0	4.88	2	136
053_Personal_asset_inventory_5446d84b	0	0.00	0	0.00	0	0.00	0	0
007_Contextures_chart_sample_667d8e47	7	0.95	1	0.00	0	0.98	1	84
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1	11	0.59	0	0.73	0	0.73	0	0
033_Event_planning_tracker_Use_this_template_f29a848e	3	12.65	1	1.87	0	2.42	0	73
035_Project_plan_for_law_firms_aa2d4462	4	1.75	0	1.43	0	1.96	0	84
049_Expenses_calculator_c351f3d0	4	2.18	2	0.94	0	1.80	0	104
027_Simple_personal_cash_flow_statement_675c6584	10	3.03	1	9.38	6	9.38	6	0
Keywords_Mapping_Graphs_and_Charts	46	10.79	11	6.97	6	13.68	3	36
alle einzeln	186	225.44	36	0.02	0	234.22	36	155
