document	cells_in_range	font_differs_upper_bound	firing_evaluable	firing_font_differs	example
074_Idea_planner_bacaa123.ods	4	0	0	0	
044_Cash_flow_forecast_Use_this_template_b8fa1f35.ods	114	112	0	0	
088_To-do_list_with_progress_tracker_Use_this_template_8c438912.ods	40	0	0	0	
037_Personal_money_tracker_a57957bb.ods	1	1	0	0	
040_Blood_pressure_tracker_872b6833.ods	16	0	0	0	
050_Financial_vision_d44241e1.ods	2	2	0	0	
082_Project_to_do_list_28f80082.ods	54	38	0	0	
083_Project_tracker_Use_this_template_b38d057c.ods	18	18	0	0	
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.ods	2	2	0	0	
023_Waterfall_Chart_Template_for_Excel_349f7689.ods	228	204	0	0	
015_Free_Gantt_Chart_Template_for_Excel_414e86bf.ods	2128	112	0	0	
024_Free_Kids_Chore_Chart_Template_ad74bb34.ods	162	14	0	0	
041_Business_budget_ef942467.ods	105	105	10	10	ce64->ConditionalStyle_12  own=(12.0, 'Calibri') cond=(11.0, 'Calibri') x8
075_Idea_planner_tasks_f44ebd73.ods	4	0	0	0	
081_Project_performance_report_Use_this_template_be2468b3.ods	126	0	0	0	
085_Simple_Gantt_chart_d65b8377.ods	1520	120	0	0	
047_Date_tracker_Gantt_chart_bf34f3a8.ods	13	0	0	0	
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.ods	2	2	0	0	
072_Gantt_project_planner_dde00e33.ods	1686	60	0	0	
078_Modern_inventory_list_Use_this_template_41abd5bf.ods	260	0	0	0	
028_Budget_summary_report_4aeefd13.ods	298	222	0	0	
042_Business_monthly_budget_4e4d092f.ods	331	3	2	0	
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	2	2	0	0	
066_Agile_Gantt_chart_08f9de45.ods	5208	342	0	0	
071_Four-week_project_timeline_Use_this_template_4f05db49.ods	74	0	0	0	
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a.ods	275	253	0	0	
036_Simple_to-do_list_Use_this_template_ba44373b.ods	102	6	0	0	
068_Blue_inventory_list_Use_this_template_f9908489.ods	5	0	0	0	
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.ods	1540	1235	0	0	
031_Business_expense_budget_f3a46278.ods	312	311	40	40	ce53->ConditionalStyle_3  own=(10.0, 'Posterama') cond=(9.0, 'Posterama') x13
032_Business_expenses_budget_d377eaab.ods	378	214	52	52	ce140->ConditionalStyle_5  own=(11.0, 'Palatino Linotype1') cond=(11.0, 'Palatino Linotype') x20
087_Simple_personal_budget_3cf9b1af.ods	13	13	0	0	
027_Simple_personal_cash_flow_statement_675c6584.ods	865	602	0	0	
038_Baby_growth_chart_bb9cd672.ods	20	20	0	0	
039_Baby_growth_tracker_e295ae56.ods	20	20	0	0	
064_Small_business_cash_flow_Use_this_template_0a640756.ods	13	12	0	0	
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.ods	115	115	0	0	
Chicago.List.2025.ods	720	0	0	0	
Air_Boss_Master_List.ods	70	0	0	0	
NPA_21_21_Sentenced_Comments.ods	50	12	0	0	
VOR Candidate Discontinuance List 2026-01-08.ods	1419	0	0	0	
Background_Declaration_Template.ods	1772	0	0	0	
Hazard Analysis Template.ods	48	2	0	0	
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.ods	16	0	0	0	
wiley-cancelled-title-list.ods	1348	0	0	0	
Computer and Software Services_50 State Comparison.ods	626	624	24	24	ce81->ConditionalStyle_2  own=(10.0, 'Arial') cond=(None, 'Arial') x14
Data-Architecture-Tool-Fit-Assessment-Template.ods	488	8	0	0	
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.ods	580	548	0	0	
sistem-rekod-markah-srm-_-rekod-master.ods	3600	2400	1200	1200	ce18->ConditionalStyle_2  own=(9.0, 'Arial') cond=(11.0, 'Calibri') x240
Special-Procedures_2025-07-10.ods	25836	13	0	0	
Application_Compliance_Checklist_5_Apr_2021.ods	16721	2690	0	0	
atspp_pay_tables.ods	15076	123	0	0	
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.ods	14389	14330	0	0	
TICAPCapability_Final.ods	37	36	0	0	
edb-emissions-databank v27-NewFormat (web).ods	27	27	0	0	
fm-provider-service-measures.ods	100	100	0	0	
flightstandards-doc-Cross-reference-table_version02.ods	5217	5210	0	0	
tk-syllabus-comparison-document-v5.ods	24	24	0	0	
TK-Syllabus-Comparison-Document-v2.ods	66982	76	0	0	
FAA-2019-0995-0002_attachment_2.ods	2426	1712	0	0	
