identity	pages-differing	pages	worst-page-fraction
001_Contextures_chart_sample_b089bc34__xlsx	0	15	0.00000
001_advanced_excel_bar__xlsx	2	3	0.01912
002_Contextures_chart_sample_f605e7bc__xlsx	0	8	0.00000
002_advanced_excel_line__xlsx	2	3	0.00604
003_Contextures_chart_sample_9bda2719__xlsm	2	6	0.01574
003_advanced_excel_pie__xlsx	2	3	0.01311
004_Contextures_chart_sample_de7c0671__xlsx	0	4	0.00000
004_advanced_excel_doughnut__xlsx	2	3	0.01631
005_Contextures_chart_sample_6e279b08__xlsx	2	8	0.01806
005_advanced_excel_area__xlsx	2	3	0.03216
006_Contextures_chart_sample_afa23b53__xlsx	2	5	0.00683
006_advanced_excel_scatter__xlsx	2	3	0.00407
007_Contextures_chart_sample_667d8e47__xlsm	0	7	0.00000
007_advanced_excel_bubble__xlsx	2	3	0.01038
008_Contextures_chart_sample_7ea7a1d7__xlsx	2	5	0.00625
008_advanced_excel_radar__xlsx	2	3	0.00202
009_Contextures_chart_sample_adcb3f6c__xlsx	0	12	0.00000
009_advanced_excel_bar__xlsx	2	3	0.01791
010_Contextures_chart_sample_e6ea06a3__xlsx	2	6	0.00238
010_advanced_excel_line__xlsx	2	3	0.00579
011_Contextures_chart_sample_599b4392__xls	0	4	0.00000
011_advanced_excel_pie__xlsx	2	3	0.01356
012_Contextures_chart_sample_9900da76__xlsx	4	6	0.00692
012_advanced_excel_doughnut__xlsx	2	3	0.01710
013_Contextures_chart_sample_21b98e22__xlsx	4	7	0.00784
013_advanced_excel_area__xlsx	2	3	0.03182
014_Contextures_chart_sample_991ecfc5__xls	1	3	0.00014
014_advanced_excel_scatter__xlsx	2	3	0.00431
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx	0	8	0.00000
015_advanced_excel_bubble__xlsx	2	3	0.01064
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	2	4	0.00136
016_advanced_excel_radar__xlsx	2	3	0.00218
017_Timeline_Templates_for_Excel_b88faee6__xlsx	0	3	0.00000
017_advanced_excel_bar__xlsx	2	3	0.01942
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	4	10	0.02413
018_advanced_excel_line__xlsx	2	3	0.00600
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	4	9	0.00854
