identity	base sum|ink|%	after sum|ink|%	delta	major before	major after
TDA_Smoke-Detectors__xlsx	12.67	2.03	-10.64	4	1
microsoft_learn_multi_chart_examples__xlsx	8.98	0.34	-8.64	5	0
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	8.39	1.84	-6.55	4	1
SIL_TDB648__xlsx	9.51	3.44	-6.07	3	3
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	14.16	8.89	-5.27	6	1
DynamicBubbleChart__xlsx	9.05	4.55	-4.50	2	2
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	4.06	0.10	-3.96	4	0
Keywords_Mapping_Graphs_and_Charts__xlsx	14.34	10.79	-3.55	13	11
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	3.31	0.81	-2.50	3	2
005_advanced_excel_area__xlsx	2.49	0.07	-2.42	2	0
021_advanced_excel_area__xlsx	2.46	0.04	-2.42	2	0
029_advanced_excel_area__xlsx	2.48	0.07	-2.41	2	0
013_advanced_excel_area__xlsx	2.42	0.07	-2.35	2	0
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	6.18	4.54	-1.64	2	1
017_advanced_excel_bar__xlsx	1.54	0.06	-1.48	2	0
001_advanced_excel_bar__xlsx	1.53	0.06	-1.47	2	0
033_advanced_excel_bar__xlsx	1.52	0.06	-1.46	2	0
009_advanced_excel_bar__xlsx	1.43	0.05	-1.38	2	0
SIL_TDB609__xls	2.73	1.36	-1.37	1	1
025_advanced_excel_bar__xlsx	1.38	0.05	-1.33	2	0
005_Contextures_chart_sample_6e279b08__xlsx	3.12	1.91	-1.21	3	1
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	2.46	1.42	-1.04	0	0
PC1000__xls	2.77	1.79	-0.98	0	0
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	2.52	1.65	-0.87	4	2
023_advanced_excel_bubble__xlsx	0.88	0.03	-0.85	0	0
SIL_TDB605__xls	1.99	1.18	-0.81	1	1
012_advanced_excel_doughnut__xlsx	1.13	0.32	-0.81	1	0
INDEX_Digital_Transformation_Toolkits__xls	1.50	0.72	-0.78	0	0
004_advanced_excel_doughnut__xlsx	1.09	0.32	-0.77	1	0
020_advanced_excel_doughnut__xlsx	1.09	0.32	-0.77	1	0
028_advanced_excel_doughnut__xlsx	1.09	0.32	-0.77	1	0
011_advanced_excel_pie__xlsx	0.68	0.01	-0.67	1	0
003_advanced_excel_pie__xlsx	0.66	0.00	-0.66	1	0
027_advanced_excel_pie__xlsx	0.67	0.01	-0.66	1	0
007_advanced_excel_bubble__xlsx	0.67	0.02	-0.65	0	0
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	3.54	2.90	-0.64	3	3
019_advanced_excel_pie__xlsx	0.65	0.01	-0.64	1	0
031_advanced_excel_bubble__xlsx	0.63	0.02	-0.61	1	0
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx	0.69	0.10	-0.59	0	0
orbus_togaf_tool_csq__xls	51.74	51.20	-0.54	24	24
008_Contextures_chart_sample_7ea7a1d7__xlsx	0.53	0.04	-0.49	1	0
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	2.01	1.57	-0.44	2	0
Air_Boss_Master_List__xlsx	2.47	2.04	-0.43	3	2
006_Contextures_chart_sample_afa23b53__xlsx	0.51	0.13	-0.38	0	0
015_advanced_excel_bubble__xlsx	0.58	0.22	-0.36	0	0
003_Contextures_chart_sample_9bda2719__xlsm	0.67	0.32	-0.35	1	0
034_advanced_excel_line__xlsx	0.35	0.00	-0.35	0	0
010_advanced_excel_line__xlsx	0.34	0.00	-0.34	0	0
002_advanced_excel_line__xlsx	0.32	0.00	-0.32	0	0
026_advanced_excel_line__xlsx	0.31	0.00	-0.31	0	0
018_advanced_excel_line__xlsx	0.30	0.00	-0.30	0	0
fm-provider-service-measures__xlsx	21.95	21.67	-0.28	6	5
022_advanced_excel_scatter__xlsx	0.39	0.14	-0.25	0	0
006_advanced_excel_scatter__xlsx	0.24	0.00	-0.24	0	0
010_Contextures_chart_sample_e6ea06a3__xlsx	0.44	0.20	-0.24	0	0
apron-area__xls	1.41	1.23	-0.18	1	1
014_advanced_excel_scatter__xlsx	0.41	0.24	-0.17	0	0
056_Quarterly_sale_report_baa6bb0d__xlsx	0.25	0.08	-0.17	1	0
030_advanced_excel_scatter__xlsx	0.40	0.24	-0.16	0	0
CSJU List of Recipients of funds 2013-2020__xlsx	65.04	64.89	-0.15	10	9
arp-sop-300-Exhibit-A-Table-Templates__xlsx	1.70	1.57	-0.13	1	1
TOGAF9-Tool-ConfReqts-CSQ__xls	16.88	16.76	-0.12	4	4
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	0.15	0.05	-0.10	0	0
016_advanced_excel_radar__xlsx	0.20	0.12	-0.08	0	0
024_advanced_excel_radar__xlsx	0.22	0.14	-0.08	0	0
032_advanced_excel_radar__xlsx	0.19	0.12	-0.07	0	0
