sheet	row	ref	ours	delta
010 Air Law	7	2984.800	2716.000	1
010 Air Law	186	2716.100	2447.000	1
021 AGK Airframe, Systems...	12	1103.800	835.000	1
031-Mass-&-Balance-final	76	566.900	298.000	1
032-Performance-(A)	59	835.100	567.000	1
032-Performance-(A)	70	835.100	567.000	1
032-Performance-(A)	77	835.100	567.000	1
032-Performance-(A)	81	835.100	567.000	1
033-Flight-Plng-&-Monit.	111	1103.800	835.000	1
033-Flight-Plng-&-Monit.	116	1641.300	1373.000	1
033-Flight-Plng-&-Monit.	138	835.100	567.000	1
070-Operational-Procedures	66	1103.800	835.000	1
070-Operational-Procedures	190	1373.000	1104.000	1
070-Operational-Procedures	191	1103.800	835.000	1
Reader Instructions	5	4864.800	4597.000	1
