document	cells	of which rich
UASEventsNov2014-Aug2015.ods	178	0
CSA_CCM_v1.2.ods	149	0
RMP 2011-2014 and Inventory.ods	90	37
fm-provider-service-measures.ods	88	4
flightstandards-doc-Cross-reference-table_version02.ods	79	4
TK-Syllabus-Comparison-Document-v2.ods	54	38
FY2018_Q4_UAS_Sightings.ods	41	0
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.ods	35	35
sectors-defense-and-aerospace.ods	35	0
afn-afn-20250801-fy25-jan25-mar25.ods	24	0
PBN Matrix NAAs (V01).ods	21	1
edb-emissions-databank v27-NewFormat (web).ods	18	0
Application_for_authorisation_as_crowdfunding_service_provider.ods	11	0
seihon_zassi_kikou_20221215.ods	10	0
Application_Compliance_Checklist_5_Apr_2021.ods	7	3
047_Date_tracker_Gantt_chart_bf34f3a8.ods	7	0
2023-qhp-form-and-rate-combined-checklist-final.ods	6	0
AFS-400_Contacts.ods	5	0
T0A0D0000090006XLSE.ods	5	0
tk-syllabus-comparison-document-v5.ods	4	1
SLSA_Directory_031423.ods	3	1
ECA Sinters.ods	3	0
075_Idea_planner_tasks_f44ebd73.ods	2	0
Special-Procedures_2025-07-10.ods	2	0
fse_identification_form.ods	2	0
ACRONYM.ods	1	0
dragon-175066A.ods	1	0
EU_145s_with_TCCA_approval_-_31.01.2025.ods	1	0
027_Simple_personal_cash_flow_statement_675c6584.ods	1	0
031_Business_expense_budget_f3a46278.ods	1	0
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).ods	1	0
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.ods	1	0
Company_Seniority_Date_Calculator.ods	1	0
arp-sop-300-Exhibit-A-Table-Templates.ods	1	1
NPA_21_21_Sentenced_Comments.ods	1	0
TOTAL	889	125
documents	35
