stem	pagesB	pagesA	pagesR	wordsB	wordsA	wordsR	hashB	hashA	hashR	verdictB	verdictA	bytesChanged
(5000021142)-(subc0226)-criminology-subject-collection-list	3	3	3	596	596	596	-	-	-	unembedded	unembedded	0
00514292	9	9	9	834	834	846	-	-	-	unembedded	unembedded	0
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication	21	21	21	2339	2339	2326	-	-	-	unembedded	unembedded	0
16424782563923	3	3	3	843	843	843	-	-	-	unembedded	unembedded	0
18-02RD301_ILS_components_Master_9-13-18	166	166	166	53200	53104	52498	1	97	723	unembedded	unembedded	1
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2	3	3	3	501	501	495	-	-	-	unembedded	unembedded	0
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2	5	5	5	636	636	624	-	-	-	unembedded	unembedded	0
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit	19	19	19	3092	3092	2784	-	-	-	words,unembedded	words,unembedded	0
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1	5	5	5	2323	2323	2323	-	-	-	unembedded	unembedded	0
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1	5	5	5	2323	2323	2323	-	-	-	unembedded	unembedded	0
2023-qhp-form-and-rate-combined-checklist-final	100	100	100	14037	14037	13954	-	-	-	unembedded	unembedded	0
2025_Active_Civil_Airmen_Statistics_FINAL	35	35	35	13331	13331	13390	-	-	-	unembedded	unembedded	0
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements	6	6	6	1504	1504	1504	-	-	-	unembedded	unembedded	0
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web	217	217	217	88846	88846	88842	-	-	-	unembedded	unembedded	0
6f9e605c-fded-11e3-bd0e-00144feab7de	16	16	16	7331	7331	7331	-	-	-	unembedded	unembedded	0
7-memento-2015-transports-aeriens-b	190	190	190	28522	28522	27569	-	-	-	words,unembedded	words,unembedded	0
ACRONYM	69	69	69	9840	9840	9840	-	-	-	unembedded	unembedded	0
AFCforPtF-Digital-Certificate-Publication-Report	111	111	111	29788	29788	29788	-	-	-	unembedded	unembedded	0
AFS-400_Contacts	48	48	48	6248	6248	6247	-	-	-	unembedded	unembedded	0
AIM_OPR_LIST	229	229	229	22010	22010	22014	-	-	-	unembedded	unembedded	0
AIRBUS_station_evaluation_checklist_v2	1	1	1	527	527	527	-	-	-	unembedded	unembedded	0
AMOC-Digital-Certificate-Publication-Report	148	148	148	37134	37134	37119	-	-	-	unembedded	unembedded	0
Air_Boss_Master_List	5	5	5	526	526	521	-	-	-	unembedded	unembedded	0
Aircraft_Database	134	134	134	16459	16459	16306	-	-	-	unembedded	unembedded	0
Airplanes-MTOW	6	6	6	871	871	871	-	-	-	unembedded	unembedded	0
Application_Compliance_Checklist_5_Apr_2021	14	14	14	17620	17620	17677	-	-	-	unembedded	unembedded	0
Application_for_authorisation_as_crowdfunding_service_provider	48	48	48	6222	6222	6222	-	-	-	unembedded	unembedded	0
Aviation_Abbreviations	94	94	94	15678	15678	15678	-	-	-	unembedded	unembedded	0
Background_Declaration_Template	25	25	25	180	180	180	-	-	-	unembedded	unembedded	0
Bulletin-37-Appendix-2-immediate-detriment-data-request	5	5	5	524	524	524	-	-	-	unembedded	unembedded	0
CIS_Debian_Linux_8_Benchmark_v1.0.0	109	109	88	15219	15219	9007	-	-	-	pages,words,unembedded	pages,words,unembedded	0
CSA_CCM_v1.2	13	13	13	15774	15774	15673	-	-	-	unembedded	unembedded	0
CSJU List of Recipients of funds 2013-2020	97	97	97	44747	44747	45425	-	-	-	unembedded	unembedded	0
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted	147	147	147	29796	29796	29795	-	-	-	unembedded	unembedded	0
Chicago.List.2025	3	3	3	1332	1332	1347	-	-	-	unembedded	unembedded	0
Company_Seniority_Date_Calculator	12	12	12	3024	3024	2918	-	-	-	words,unembedded	words,unembedded	0
Computer and Software Services_50 State Comparison	26	26	26	2750	2750	2776	-	-	-	unembedded	unembedded	0
Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14	245	245	245	27438	27438	27765	-	-	-	unembedded	unembedded	0
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)	91	91	91	15626	15626	15621	-	-	-	unembedded	unembedded	0
