# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	xls	38/38	1587/1531	4/4	0	words	1594/1610
sheets/ceiling-001/xls/template pilot logbook jar-fcl v3.0.xls	xls	38/38	1587/1531	4/4	0	words	1594/1610
sheets/ceiling-001/xlsx/2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.xlsx	xlsx	5/5	2323/2498	2/4	0	words	2364/2545
sheets/ceiling-001/xlsx/2017-04-27-lease-transition-records-checklist-final-1.xlsx	xlsx	5/5	2323/2498	2/4	0	words	2364/2545
sheets/ceiling-001/xlsx/2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.xlsx	xlsx	5/5	2323/2498	2/4	0	words	2364/2545
sheets/ceiling-001/xlsx/2020-01-29-lease-transition-records-checklist-final-1.xlsx	xlsx	5/5	2323/2498	2/4	0	words	2364/2545
sheets/ceiling-001/xlsx/EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.xlsx	xlsx	114/114	32260/34602	1/1	0	words	32428/34770
sheets/ceiling-001/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.xlsx	xlsx	19/19	4933/5174	1/1	0	words	4995/5236
sheets/ceiling-001/xlsx/easa-ifp-145scope(web)_all_validf145soa_2022-12-16-04-31-58_0.xlsx	xlsx	114/114	32260/34602	1/1	0	words	32428/34770
sheets/ceiling-001/xlsx/easa-ifp-weblistnoodata-listsofforeignapprovals(web)_newchart_2022-08-05-03-31-32.xlsx	xlsx	19/19	4933/5174	1/1	0	words	4995/5236
sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	xlsx	3/3	142/142	3/3	0	match	142/142
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	xlsx	3/3	142/142	3/3	0	match	142/142
sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	xlsx	3/3	137/137	3/3	0	match	137/137
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	xlsx	3/3	129/129	3/3	0	match	129/129
sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	xlsx	3/3	124/124	3/3	0	match	124/124
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	xlsx	3/3	129/129	3/3	0	match	129/129
sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	xlsx	3/3	140/140	3/3	0	match	140/140
sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	xlsx	3/3	113/113	3/3	0	match	113/113
sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	xlsx	3/3	121/121	3/3	0	match	121/121
sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	xlsx	3/3	139/139	3/3	0	match	139/139
sheets/chartset-002/xlsx/003_advanced_excel_pie.XLSX	xlsx	3/3	145/143	3/3	0	match	145/143
sheets/chartset-002/xlsx/003_advanced_excel_pie.xlsx	xlsx	3/3	145/143	3/3	0	match	145/143
sheets/chartset-002/xlsx/007_advanced_excel_bubble.xlsx	xlsx	3/3	127/127	3/3	0	match	127/127
sheets/chartset-002/xlsx/011_advanced_excel_pie.xlsx	xlsx	3/3	142/140	3/3	0	match	143/140
sheets/chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	xlsx	3/3	116/116	3/3	0	match	116/116
sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	xlsx	3/3	137/137	3/3	0	match	137/137
sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	xlsx	3/3	137/137	3/3	0	match	137/137
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	xlsx	3/3	136/136	3/3	0	match	136/136
sheets/chartset-002/xlsx/027_advanced_excel_pie.xlsx	xlsx	3/3	142/140	3/3	0	match	142/140
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	xlsx	3/3	130/130	3/3	0	match	130/130
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	xlsx	3/3	137/137	3/3	0	match	137/137
sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	xlsx	3/3	113/113	3/3	0	match	113/113
sheets/chartset-003/xlsx/008_advanced_excel_radar.xlsx	xlsx	3/3	121/121	3/3	0	match	121/121
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	xlsx	3/3	130/130	3/3	0	match	130/130
sheets/chartset-003/xlsx/015_advanced_excel_bubble.xlsx	xlsx	3/3	128/128	3/3	0	match	128/128
sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	xlsx	3/3	143/143	3/3	0	match	143/143
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	xlsx	3/3	136/136	3/3	0	match	136/136
sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	xlsx	3/3	113/113	3/3	0	match	113/113
sheets/chartset-003/xlsx/024_advanced_excel_radar.xlsx	xlsx	3/3	121/121	3/3	0	match	121/121
sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	xlsx	3/3	137/137	3/3	0	match	137/137
sheets/chartset-003/xlsx/031_advanced_excel_bubble.xlsx	xlsx	3/3	127/127	3/3	0	match	127/127
sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	xlsx	3/3	147/147	3/3	0	match	147/147
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	xlsx	3/3	137/137	3/3	0	match	137/137
sheets/chartset-004/xlsx/019_advanced_excel_pie.xlsx	xlsx	3/3	142/140	3/3	0	match	142/140
sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	xlsx	3/3	127/127	3/3	0	match	127/127
sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	xlsx	5/5	339/341	3/3	0	match	341/343
sheets/chartset-004/xlsx/dynamicbubblechart.xlsx	xlsx	5/5	339/341	3/3	0	match	341/343
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	5/5	205/225	3/3	0	words	205/225
sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	xlsx	4/4	216/218	2/2	0	match	219/221
