# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	26/26	1135/1089	5/5	0	words	1234/1180
slides/ceiling-001/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	ppt	27/27	2477/2576	8/8	0	words	2666/2764
slides/ceiling-001/ppt/Thailand17.ppt	ppt	54/54	2713/2625	8/9	0	words	2827/2826
slides/ceiling-001/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	ppt	20/20	900/812	6/6	0	words	948/862
slides/ceiling-001/ppt/architecture6.ppt	ppt	31/31	1926/2544	5/5	0	words	2011/2642
slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	pptx	18/18	969/973	7/7	0	match	1032/1036
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	pptx	30/30	5296/5126	4/4	0	words	5480/5294
slides/ceiling-001/pptx/OnTrac_StarCertificationProgram-3Day.pptx	pptx	15/15	1326/1030	8/7	0	words	1416/1116
slides/ceiling-001/pptx/Sylva%20introduction%20session.PPTX	pptx	15/15	1064/1467	7/7	0	words	1152/1562
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	pptx	15/15	1064/1467	7/7	0	words	1152/1562
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	pptx	15/15	670/685	6/6	0	words	730/746
slides/ceiling-002/ppt/pres_ioc_phuket.ppt	ppt	26/26	994/1518	9/9	0	words	1033/1594
slides/ceiling-002/pptx/16 - UTM - (NASA).pptx	pptx	37/37	2453/2260	11/11	0	words	2657/2447
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	26/26	2122/2010	11/11	0	words	2311/2199
slides/ceiling-002/pptx/Demick_JetBlue.pptx	pptx	10/10	812/608	4/4	0	words	836/631
slides/ceiling-002/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	pptx	51/51	1956/1958	8/7	0	match	2127/2137
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	23/23	2218/2270	7/7	0	words	2312/2381
slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx	pptx	1/1	42/42	3/3	0	match	48/48
slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	pptx	1/1	42/42	3/3	0	match	48/48
slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx	pptx	1/1	43/43	3/3	0	match	49/49
slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	pptx	1/1	42/42	3/3	0	match	48/48
slides/chartset-001/pptx/bar_chart.pptx	pptx	1/1	25/25	2/2	0	match	25/25
slides/chartset-001/pptx/combo_bar_line_chart.pptx	pptx	1/1	42/42	2/2	0	match	42/42
slides/chartset-001/pptx/line_chart.pptx	pptx	1/1	23/23	2/2	0	match	23/23
slides/chartset-001/pptx/scatter_chart.pptx	pptx	1/1	46/46	1/1	0	match	46/46
slides/chartset-001/pptx/stacked_area_chart.pptx	pptx	1/1	29/29	2/2	0	match	29/29
slides/chartset-001/pptx/stacked_bar_chart.pptx	pptx	1/1	29/29	2/2	0	match	29/29
slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	pptx	1/1	62/62	4/4	0	match	68/68
slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx	pptx	1/1	42/42	3/3	0	match	48/48
slides/chartset-002/pptx/014_advanced_powerpoint_area.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	pptx	1/1	62/62	4/4	0	match	68/68
slides/chartset-002/pptx/023_advanced_powerpoint_scatter.pptx	pptx	1/1	42/42	3/3	0	match	48/48
slides/chartset-002/pptx/024_advanced_powerpoint_bubble.pptx	pptx	1/1	42/42	3/3	0	match	48/48
slides/chartset-002/pptx/030_advanced_powerpoint_area.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-002/pptx/032_advanced_powerpoint_bubble.pptx	pptx	1/1	42/42	3/3	0	match	48/48
slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	pptx	1/1	63/63	4/4	0	match	69/69
slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	pptx	1/1	62/62	4/4	0	match	68/68
slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58
slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx	pptx	1/1	63/63	4/4	0	match	69/69
slides/chartset-003/pptx/010_advanced_powerpoint_column.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-003/pptx/012_advanced_powerpoint_pie.pptx	pptx	1/1	53/53	4/4	0	match	59/59
slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-003/pptx/028_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58
slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58
slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58
slides/chartset-004/pptx/018_advanced_powerpoint_column.pptx	pptx	1/1	61/61	4/4	0	match	67/67
slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58
