# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
words/ceiling-001/doc/150_5300_13_chg8.doc	doc	18/18	8684/8512	8/8	0	words	8753/8573
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	docx	14/15	3837/3720	6/5	0	pages,words	3882/3773
words/ceiling-001/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	docx	2/2	141/135	3/4	0	words	153/147
words/chartset-001/docx/002_advanced_word_chart_report.docx	docx	1/1	96/96	4/4	0	match	102/102
words/chartset-001/docx/008_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-001/docx/014_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-001/docx/020_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-001/docx/026_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-001/docx/032_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-001/docx/clustered-column-result.docx	docx	1/1	68/68	2/2	0	match	68/68
words/chartset-001/docx/clustered-column-template.docx	docx	1/1	37/37	2/2	0	match	37/37
words/chartset-001/docx/pie-chart-result.docx	docx	1/1	40/40	2/2	0	match	40/40
words/chartset-001/docx/pie-chart-template.docx	docx	1/1	9/9	2/2	0	match	9/9
words/chartset-002/docx/005_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-002/docx/006_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-002/docx/011_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-002/docx/015_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-002/docx/017_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101
words/chartset-002/docx/021_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-002/docx/023_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-002/docx/029_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-002/docx/030_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-002/docx/033_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-003/docx/001_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101
words/chartset-003/docx/003_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101
words/chartset-003/docx/004_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-003/docx/007_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-003/docx/009_advanced_word_chart_report.docx	docx	1/1	96/96	4/4	0	match	102/102
words/chartset-003/docx/016_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101
words/chartset-003/docx/019_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-003/docx/025_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-003/docx/027_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-003/docx/028_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-004/docx/010_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-004/docx/012_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101
words/chartset-004/docx/013_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-004/docx/018_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-004/docx/022_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-004/docx/024_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-004/docx/031_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100
words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	docx	1/1	27/29	2/2	0	match	27/29
words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	docx	1/1	2/2	1/1	0	match	2/2
words/chartset-005/docx/036_Venn_Diagram_Template_Fillable_Layout_3ffbba36.docx	docx	1/1	13/13	2/2	0	match	15/15
words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	docx	1/1	42/42	1/1	0	match	42/42
words/chartset-005/docx/053_Organogram_Template_Creative_Theme_21657a3d.docx	docx	1/1	32/32	1/1	0	match	32/32
words/chartset-005/docx/054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8.docx	docx	1/1	36/36	1/1	0	match	36/36
words/chartset-005/docx/083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3.docx	docx	1/1	3/3	1/1	0	match	4/4
words/chartset-005/docx/084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820.docx	docx	1/1	2/4	2/1	0	match	2/4
words/chartset-005/docx/085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a.docx	docx	1/1	4/4	1/1	0	match	6/6
words/chartset-005/docx/087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04.docx	docx	2/2	14/14	2/2	0	match	16/16
words/chartset-006/docx/001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	docx	1/1	43/43	2/2	0	match	43/43
words/chartset-006/docx/002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	docx	1/1	88/86	2/2	0	match	88/86
words/chartset-006/docx/033_Venn_Diagram_Template_Colored_Theme_2aea6697.docx	docx	1/1	13/13	1/1	0	match	16/16
words/chartset-006/docx/057_Organogram_Template_Vertical_Colorful_Theme_724b143c.docx	docx	1/1	36/36	2/2	0	match	36/36
words/chartset-006/docx/081_Printable_Graph_Paper_Template_Blue_Theme_629316cb.docx	docx	1/1	5/5	2/1	0	match	8/8
words/chartset-006/docx/086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7.docx	docx	1/1	2/4	2/1	0	match	2/6
words/chartset-006/docx/088_Printable_Graph_Paper_Template_Quality_layout_33051f6e.DOCX	docx	1/1	2/2	1/1	0	match	2/2
words/chartset-006/docx/088_Printable_Graph_Paper_Template_Quality_layout_33051f6e.docx	docx	1/1	2/2	1/1	0	match	2/2
words/chartset-006/docx/093_Business_Case_Template_Customizable_Layout_510c25e7.docx	docx	1/1	34/34	2/2	0	match	34/34
words/chartset-006/docx/097_Business_Case_Template_Elegant_Layout_3ba9cbf2.docx	docx	2/2	54/54	3/3	0	match	54/54
words/chartset-006/docx/099_Business_Case_Template_Gray_Theme_ac3edbf4.docx	docx	1/1	45/45	1/1	0	match	45/45
words/chartset-007/docx/009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0.docx	docx	1/1	44/44	3/3	0	match	44/44
words/chartset-007/docx/018_Project_Timeline_Template_Editable_Format_e1cf1df5.docx	docx	1/1	108/108	2/2	0	match	108/108
words/chartset-007/docx/025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892.docx	docx	1/1	141/141	3/3	0	match	141/141
words/chartset-007/docx/034_Venn_Diagram_Template_Customizable_Format_d14642b7.docx	docx	1/1	13/13	1/1	0	match	16/16
words/chartset-007/docx/049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f.docx	docx	1/1	61/61	2/2	0	match	62/62
words/chartset-007/docx/058_Organogram_Template_With_Picture_Theme_44b79368.docx	docx	1/1	16/16	1/1	0	match	16/16
words/chartset-007/docx/074_Storyboard_Template_Editable_Design_132436d1.docx	docx	1/1	19/19	3/3	0	match	51/51
words/chartset-007/docx/080_Printable_Graph_Paper_Template_Black_Theme_6b066be1.DOCX	docx	1/1	6/6	1/1	0	match	9/9
words/chartset-007/docx/080_Printable_Graph_Paper_Template_Black_Theme_6b066be1.docx	docx	1/1	6/6	1/1	0	match	9/9
words/chartset-007/docx/089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88.docx	docx	1/1	2/2	1/1	0	match	4/4
words/chartset-007/docx/094_Business_Case_Template_Decent_Layout_e7722f2b.docx	docx	1/1	29/29	2/2	0	match	29/29
words/chartset-008/docx/004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	docx	1/1	37/37	3/3	0	match	37/37
words/chartset-008/docx/006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	docx	1/1	53/53	3/3	0	match	53/53
words/chartset-008/docx/010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	docx	1/1	77/77	3/3	0	match	77/77
words/chartset-008/docx/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.docx	docx	2/2	49/49	2/2	0	match	56/56
words/chartset-008/docx/016_Project_Timeline_Template_Complete_Guide_7d36d09c.docx	docx	1/1	159/159	3/3	0	match	159/159
words/chartset-008/docx/035_Venn_Diagram_Template_Editable_Format_966dff5f.docx	docx	1/1	39/39	2/2	0	match	40/40
words/chartset-008/docx/046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	docx	1/1	93/93	2/2	0	match	99/99
words/chartset-008/docx/092_Business_Case_Template_Convenient_Format_00786cce.docx	docx	7/7	1025/1026	2/2	0	match	1027/1028
words/chartset-008/docx/098_Business_Case_Template_Fillable_Layout_d0c5410e.docx	docx	1/1	89/89	2/2	0	match	89/89
words/chartset-008/docx/100_Business_Case_Template_Modern_Format_ff9e7282.docx	docx	5/5	98/101	2/2	0	match	100/103
words/chartset-009/docx/007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	docx	1/1	34/34	3/3	0	match	34/34
words/chartset-009/docx/017_Project_Timeline_Template_Customizable_Format_5d5ca2e8.docx	docx	1/1	86/89	3/3	0	match	86/89
words/chartset-009/docx/019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	docx	1/1	95/95	2/2	0	match	100/100
words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	docx	1/1	378/378	3/3	0	match	378/378
words/chartset-009/docx/030_Unit_Circle_Chart_Points_System_23b5ef07.docx	docx	1/1	114/114	3/3	0	match	116/118
words/chartset-009/docx/037_Venn_Diagram_Template_Four_Circle_764829a0.docx	docx	1/1	20/20	1/1	0	match	20/20
