doc	page	diff_px	xmin	xmax	width	ink_tagged	ink_untagged
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	2	3666	42	422	497	31114	33953
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	3	518	42	133	497	21307	21703
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	6	1874	42	383	497	35368	36790
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	7	127	42	77	497	23968	24064
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	9	2331	42	400	497	35058	36822
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	10	204	44	104	497	25837	25990
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	13	2450	42	384	497	33900	35751
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	14	317	42	137	497	26196	26433
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	17	2342	42	382	497	33811	35610
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	18	294	42	131	497	26326	26545
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	4	481	42	155	510	47082	47497
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	7	325	43	75	510	30010	30273
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	8	380	43	106	510	39741	40046
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	29	402	42	147	510	10690	11019
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	48	1529	42	462	510	66461	67721
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	67	26	42	50	510	11358	11377
7-memento-2015-transports-aeriens-b__xls.pdf	5	814	47	140	497	23236	23930
7-memento-2015-transports-aeriens-b__xls.pdf	6	922	47	154	497	29370	30170
7-memento-2015-transports-aeriens-b__xls.pdf	7	4114	47	317	497	0	2692
7-memento-2015-transports-aeriens-b__xls.pdf	11	24	44	46	497	0	18
7-memento-2015-transports-aeriens-b__xls.pdf	12	288	44	90	497	0	182
7-memento-2015-transports-aeriens-b__xls.pdf	27	1408	47	202	497	12567	13779
7-memento-2015-transports-aeriens-b__xls.pdf	28	2723	47	266	497	0	1865
7-memento-2015-transports-aeriens-b__xls.pdf	35	1184	44	182	497	12331	13333
7-memento-2015-transports-aeriens-b__xls.pdf	36	660	44	191	497	0	552
7-memento-2015-transports-aeriens-b__xls.pdf	37	1320	44	191	497	0	1104
7-memento-2015-transports-aeriens-b__xls.pdf	38	1320	44	191	497	0	1104
7-memento-2015-transports-aeriens-b__xls.pdf	39	660	44	191	497	0	552
7-memento-2015-transports-aeriens-b__xls.pdf	40	4695	44	332	497	0	2933
7-memento-2015-transports-aeriens-b__xls.pdf	42	228	44	105	497	13346	13494
7-memento-2015-transports-aeriens-b__xls.pdf	44	3596	44	447	497	11288	13479
7-memento-2015-transports-aeriens-b__xls.pdf	45	955	44	219	497	11522	12141
7-memento-2015-transports-aeriens-b__xls.pdf	49	292	44	106	497	34649	34894
7-memento-2015-transports-aeriens-b__xls.pdf	50	1564	44	447	497	12983	13959
7-memento-2015-transports-aeriens-b__xls.pdf	52	895	44	292	497	12365	12902
7-memento-2015-transports-aeriens-b__xls.pdf	60	392	44	157	497	0	242
7-memento-2015-transports-aeriens-b__xls.pdf	64	1686	44	387	497	33741	34774
7-memento-2015-transports-aeriens-b__xls.pdf	67	2264	44	446	497	8271	9729
7-memento-2015-transports-aeriens-b__xls.pdf	68	1444	44	447	497	8447	9322
7-memento-2015-transports-aeriens-b__xls.pdf	69	1219	44	398	497	2577	3324
7-memento-2015-transports-aeriens-b__xls.pdf	73	174	44	92	497	11669	11772
7-memento-2015-transports-aeriens-b__xls.pdf	83	1633	44	447	497	15665	16650
7-memento-2015-transports-aeriens-b__xls.pdf	85	1234	46	411	497	16864	17636
