doc	tagged_pages	untagged_pages	pages_diff	diff_px	max_frac
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	3	3	0	0	0.000000
00514292__xlsx.pdf	9	9	0	0	0.000000
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx.pdf	21	21	0	0	0.000000
16424782563923__xlsx.pdf	3	3	0	0	0.000000
18-02RD301_ILS_components_Master_9-13-18__xls.pdf	166	166	0	0	0.000000
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls.pdf	3	3	0	0	0.000000
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls.pdf	5	5	0	0	0.000000
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	19	19	10	14123	0.010507
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	5	5	0	0	0.000000
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	5	5	0	0	0.000000
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	100	100	6	3143	0.004542
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx.pdf	35	35	0	0	0.000000
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls.pdf	6	6	0	0	0.000000
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx.pdf	217	217	0	0	0.000000
6f9e605c-fded-11e3-bd0e-00144feab7de__xls.pdf	16	16	0	0	0.000000
7-memento-2015-transports-aeriens-b__xls.pdf	190	190	56	64783	0.013457
ACRONYM__xls.pdf	69	69	0	0	0.000000
AFCforPtF-Digital-Certificate-Publication-Report__xlsx.pdf	111	111	0	0	0.000000
AFS-400_Contacts__xlsx.pdf	48	48	0	0	0.000000
AIM_OPR_LIST__xls.pdf	229	229	0	0	0.000000
AIRBUS_station_evaluation_checklist_v2__xlsx.pdf	1	1	0	0	0.000000
AMOC-Digital-Certificate-Publication-Report__xlsx.pdf	148	148	0	0	0.000000
Air_Boss_Master_List__xlsx.pdf	5	5	1	306	0.000877
Aircraft_Database__xlsx.pdf	134	134	18	66944	0.045108
Airplanes-MTOW__xls.pdf	6	6	0	0	0.000000
Application_Compliance_Checklist_5_Apr_2021__xlsx.pdf	14	14	0	0	0.000000
Application_for_authorisation_as_crowdfunding_service_provider__xlsx.pdf	48	48	0	0	0.000000
Aviation_Abbreviations__xlsx.pdf	94	94	0	0	0.000000
Background_Declaration_Template__xls.pdf	25	25	0	0	0.000000
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx.pdf	5	5	0	0	0.000000
CIS_Debian_Linux_8_Benchmark_v1.0.0__xls.pdf	88	88	76	440765	0.091661
CSA_CCM_v1.2__xls.pdf	13	13	0	0	0.000000
CSJU List of Recipients of funds 2013-2020__xlsx.pdf	97	97	0	0	0.000000
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted__xlsx.pdf	147	147	0	0	0.000000
Chicago.List.2025__xlsx.pdf	3	3	0	0	0.000000
Company_Seniority_Date_Calculator__xlsx.pdf	12	12	3	7357	0.016239
Computer and Software Services_50 State Comparison__xlsx.pdf	26	26	0	0	0.000000
Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14__xlsx.pdf	245	245	0	0	0.000000
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx.pdf	91	91	0	0	0.000000
Data-Architecture-Tool-Fit-Assessment-Template__xlsx.pdf	22	22	0	0	0.000000
EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0__xlsx.pdf	114	114	10	2790	0.000800
EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31__xlsx.pdf	92	92	0	0	0.000000
EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36__xlsx.pdf	254	254	0	0	0.000000
EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32__xlsx.pdf	19	19	0	0	0.000000
EASA_PRODUCT_LIST_-_ALL__xlsx.pdf	264	264	0	0	0.000000
ECA Sinters__xls.pdf	163	163	0	0	0.000000
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls.pdf	24	24	0	0	0.000000
EU_145s_with_TCCA_approval_-_31.01.2025__xlsx.pdf	14	14	0	0	0.000000
Estero Rotary Awards__xlsx.pdf	2	2	0	0	0.000000
