doc	page	base_matched	head_matched	ours	ref
2015-Civil-Rights-Website-training.pdf	48	0	9	9	9
Thailand17.pdf	7	0	9	9	9
Thailand17.pdf	9	0	9	9	9
Thailand17.pdf	11	0	17	17	17
Thailand17.pdf	12	0	11	11	11
Thailand17.pdf	29	2	14	14	14
Thailand17.pdf	32	0	9	9	9
Thailand17.pdf	35	2	13	13	13
Thailand17.pdf	38	0	9	9	9
architecture6.pdf	10	2	12	12	12
architecture6.pdf	14	2	12	12	12
architecture6.pdf	21	2	12	12	12
architecture6.pdf	24	2	12	12	12
architecture6.pdf	27	2	12	12	12
concepts-surrounding-cloud-computing-car	11	7	9	9	12
iep-amount-frequency-for-webinar.pdf	14	1	11	11	11
iep-amount-frequency-for-webinar.pdf	15	1	11	11	11
iep-amount-frequency-for-webinar.pdf	16	1	9	9	9
iep-amount-frequency-for-webinar.pdf	17	1	9	9	9
iep-amount-frequency-for-webinar.pdf	22	1	9	9	9
iep-amount-frequency-for-webinar.pdf	24	1	9	9	9
iep-amount-frequency-for-webinar.pdf	25	1	9	9	9
iep-amount-frequency-for-webinar.pdf	26	1	9	9	9
iep-amount-frequency-for-webinar.pdf	27	1	10	10	10
iep-amount-frequency-for-webinar.pdf	29	1	9	9	10
joint_user_outcomes_michael_fullerton_29	15	0	25	25	25
outlook_of_nigerian_pension_sector.pdf	7	3	15	15	15
pods05.pdf	39	9	12	12	12
pods05.pdf	47	0	10	10	10
pods05.pdf	55	0	14	14	14
pods05.pdf	56	0	18	22	18
pres_ioc_phuket.pdf	23	13	22	22	22
pres_ioc_phuket.pdf	24	11	21	21	21
undp_presentation_revised_17_may.pdf	11	0	11	11	11
TOTAL pages 34	base matched 67	head matched 412	ours 416	reference 416
