doc	ext	lone_srcand	paired
TICAPCapability_Final.xls	xls	0	8
outlook_of_nigerian_pension_sector.ppt	ppt	0	2
EG1_dsrc tech.ppt	ppt	0	1
3492.pptx	pptx	1	0
FAA_Form_337.ppt	ppt	1	0
Wildlife for REDAC September 11.pptx	pptx	0	183
Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	docx	0	1
JEMIT_Template.docx	docx	4	0
airbus-pdf-information-package_v1-4.docx	docx	0	1
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	docx	0	1
EHEST-SMS-Safety-Management-Manual-V2.docx	docx	0	3
# documents with a lone SRCAND: 3
# documents with a paired one : 8
