make-bullet-fit-probe.py: one 24 pt bulleted body per slide in a box swept 60..420 pt,
a:normAutofit, so the search answers a different constScaleLevels row on each of the
first six.  The figure is the bullet's baseline less the first body baseline, in points;
`bulSz`/`bodySz` are the drawn sizes and agree on all three legs.

 boxH lnSpc  26.2.4.2     base     head   dBase   dHead  bodySz   bulSz
   60     0    -2.806    3.727   -2.835  +6.533  -0.029  10.006   9.609
   60    90    -3.741    1.984   -3.685  +5.725  +0.056  10.998  11.395
   90     0     1.361    5.414    1.389  +4.053  +0.028  14.995  14.995
   90    90     0.028    3.260    0.000  +3.232  -0.028  17.008  16.809
  120     0     5.528    7.143    5.584  +1.615  +0.056  20.013  20.409
  120    90     1.644    3.260    1.701  +1.616  +0.057  20.013  20.409
  160     0     6.803    6.746    6.775  -0.057  -0.028  24.009  24.009
  160    90     3.543    3.487    3.515  -0.056  -0.028  24.009  24.009
  200     0     3.912    3.855    3.883  -0.057  -0.029  24.009  24.009
  200    90     3.543    3.487    3.515  -0.056  -0.028  24.009  24.009
  260     0     3.912    3.855    3.883  -0.057  -0.029  24.009  24.009
  260    90     3.543    3.487    3.515  -0.056  -0.028  24.009  24.009
  340     0     3.912    3.855    3.883  -0.057  -0.029  24.009  24.009
  340    90     3.543    3.487    3.515  -0.056  -0.028  24.009  24.009
  420     0     3.912    3.855    3.883  -0.057  -0.029  24.009  24.009
  420    90     3.543    3.487    3.515  -0.056  -0.028  24.009  24.009

cells beyond 0.10 pt of 26.2.4.2:  base 6 of 16,  head 0 of 16
