case	leg	block	size	shows	span	next_size
plain	ref	1890	8.0	7	45.9	6.0
plain	ref	2373	10.0	7	57.7	8.0
plain	ref	2611	11.0	7	63.4	10.0
plain	ref	3087	13.0	7	75.0	11.0
plain	ref	3556	15.0	7	86.4	13.0
plain	ref	4032	17.0	7	98.0	15.0
plain	ref	4501	19.0	7	109.4	17.0
plain	ref	4746	20.0	7	115.3	19.0
plain	ref	5334	20.0	7	129.6	20.0
plain	ref	5866	22.0	7	142.5	20.0
plain	ref	6398	24.0	7	155.5	22.0
plain	ref	7112	24.0	7	172.8	24.0
plain	ours	1890	8.0	7	45.9	6.0
plain	ours	2373	10.0	7	57.7	8.0
plain	ours	2611	11.0	7	63.4	10.0
plain	ours	3087	13.0	7	75.0	11.0
plain	ours	3556	15.0	7	86.4	13.0
plain	ours	4032	17.0	7	98.0	15.0
plain	ours	4501	19.0	7	109.4	17.0
plain	ours	4746	20.0	7	115.3	19.0
plain	ours	5334	20.0	7	129.6	20.0
plain	ours	5866	22.0	7	142.5	20.0
plain	ours	6398	24.0	7	155.5	22.0
plain	ours	7112	24.0	7	172.8	24.0
spaced	ref	3918	8.0	7	103.4	6.0
spaced	ref	4401	10.0	7	115.1	8.0
spaced	ref	4639	11.0	7	120.9	10.0
spaced	ref	5115	13.0	7	132.5	11.0
spaced	ref	5584	15.0	7	143.9	13.0
spaced	ref	6060	17.0	7	155.5	15.0
spaced	ref	6529	19.0	7	166.8	17.0
spaced	ref	6774	20.0	7	172.8	19.0
spaced	ref	7614	20.0	7	194.2	20.0
spaced	ref	8146	22.0	7	207.2	20.0
spaced	ref	8678	24.0	7	220.1	22.0
spaced	ref	9656	24.0	7	244.9	24.0
spaced	ours	3918	8.0	7	103.4	6.0
spaced	ours	4401	10.0	7	115.1	8.0
spaced	ours	4639	11.0	7	120.9	10.0
spaced	ours	5115	13.0	7	132.5	11.0
spaced	ours	5584	15.0	7	143.9	13.0
spaced	ours	6060	17.0	7	155.5	15.0
spaced	ours	6529	19.0	7	166.8	17.0
spaced	ours	6774	20.0	7	172.8	19.0
spaced	ours	7614	20.0	7	194.2	20.0
spaced	ours	8146	22.0	7	207.2	20.0
spaced	ours	8678	24.0	7	220.1	22.0
spaced	ours	9656	24.0	7	244.9	24.0
respa	ref	3918	8.0	7	103.4	6.0
respa	ref	4740	10.0	8	124.8	8.0
respa	ref	5012	11.0	8	131.5	10.0
respa	ref	5556	13.0	8	145.0	11.0
respa	ref	6092	15.0	8	158.3	13.0
respa	ref	7788	17.0	10	204.4	15.0
respa	ref	9744	19.0	12	258.0	17.0
respa	ref	10164	20.0	12	268.9	19.0
respa	ref	11424	20.0	12	302.2	20.0
respa	ref	13174	22.0	13	349.7	20.0
respa	ref	14162	24.0	13	375.5	22.0
respa	ref	15752	24.0	13	417.7	24.0
respa	ours	3918	8.0	7	103.4	6.0
respa	ours	4740	10.0	8	124.8	8.0
respa	ours	5012	11.0	8	131.5	10.0
respa	ours	5556	13.0	8	145.0	11.0
respa	ours	6092	15.0	8	158.3	13.0
respa	ours	7788	17.0	10	204.4	15.0
respa	ours	9744	19.0	12	258.0	17.0
respa	ours	10164	20.0	12	268.9	19.0
respa	ours	11424	20.0	12	302.2	20.0
respa	ours	13174	22.0	13	349.7	20.0
respa	ours	14162	24.0	13	375.5	22.0
respa	ours	15752	24.0	13	417.7	24.0
respa-nospc	ref	1890	8.0	7	45.9	6.0
respa-nospc	ref	2712	10.0	8	67.3	8.0
respa-nospc	ref	2984	11.0	8	74.0	10.0
respa-nospc	ref	3528	13.0	8	87.5	11.0
respa-nospc	ref	4064	15.0	8	100.8	13.0
respa-nospc	ref	5760	17.0	10	146.9	15.0
respa-nospc	ref	7716	19.0	12	200.5	17.0
respa-nospc	ref	8136	20.0	12	211.4	19.0
respa-nospc	ref	9144	20.0	12	237.6	20.0
respa-nospc	ref	10894	22.0	13	285.1	20.0
respa-nospc	ref	11882	24.0	13	310.9	22.0
respa-nospc	ref	13208	24.0	13	345.6	24.0
respa-nospc	ours	1890	8.0	7	45.9	6.0
respa-nospc	ours	2712	10.0	8	67.3	8.0
respa-nospc	ours	2984	11.0	8	74.0	10.0
respa-nospc	ours	3528	13.0	8	87.5	11.0
respa-nospc	ours	4064	15.0	8	100.8	13.0
respa-nospc	ours	5760	17.0	10	146.9	15.0
respa-nospc	ours	7716	19.0	12	200.5	17.0
respa-nospc	ours	8136	20.0	12	211.4	19.0
respa-nospc	ours	9144	20.0	12	237.6	20.0
respa-nospc	ours	10894	22.0	13	285.1	20.0
respa-nospc	ours	11882	24.0	13	310.9	22.0
respa-nospc	ours	13208	24.0	13	345.6	24.0
prop90	ref	3729	8.0	7	98.8	6.0
prop90	ref	4163	10.0	7	109.4	8.0
prop90	ref	4380	11.0	7	114.6	10.0
