case	leg	block	size	shows	span	next_size
w-respa2-19	ref	2034	19.0	16	341.9	19.0
w-respa2-19	ref	2149	19.0	15	319.1	19.0
w-respa2-19	ref	2633	19.0	14	296.3	19.0
w-respa2-19	ref	2675	19.0	13	273.5	19.0
w-respa2-19	ref	2723	19.0	12	250.7	19.0
w-respa2-19	ref	3020	19.0	11	227.9	19.0
w-respa2-19	ref	3475	19.0	10	205.1	19.0
w-respa2-19	ref	3929	19.0	9	182.3	19.0
w-respa2-19	ref	4389	19.0	8	159.5	19.0
w-respa2-19	ref	4493	19.0	7	136.7	19.0
w-respa2-19	ref	5181	19.0	6	114.0	19.0
w-respa2-19	ref	6494	19.0	5	91.2	19.0
w-respa2-19	ref	7243	19.0	4	68.4	19.0
w-respa2-19	ref	10275	19.0	3	45.6	19.0
w-respa2-19	ref	14161	19.0	2	22.8	19.0
w-respa2-19	ref	27041	19.0	1	0.0	19.0
w-respa2-19	ours	2034	19.0	16	341.9	19.0
w-respa2-19	ours	2149	19.0	15	319.1	19.0
w-respa2-19	ours	2633	19.0	14	296.3	19.0
w-respa2-19	ours	2675	19.0	13	273.5	19.0
w-respa2-19	ours	2723	19.0	12	250.7	19.0
w-respa2-19	ours	3020	19.0	11	227.9	19.0
w-respa2-19	ours	3475	19.0	10	205.1	19.0
w-respa2-19	ours	3929	19.0	9	182.3	19.0
w-respa2-19	ours	4389	19.0	8	159.5	19.0
w-respa2-19	ours	4493	19.0	7	136.7	19.0
w-respa2-19	ours	5181	19.0	6	114.0	19.0
w-respa2-19	ours	6494	19.0	5	91.2	19.0
w-respa2-19	ours	7243	19.0	4	68.4	19.0
w-respa2-19	ours	10275	19.0	3	45.6	19.0
w-respa2-19	ours	14161	19.0	2	22.8	19.0
w-respa2-19	ours	27041	19.0	1	0.0	19.0
w-respa2-20	ref	2032	20.0	17	384.2	20.0
w-respa2-20	ref	2143	20.0	16	360.1	20.0
w-respa2-20	ref	2264	20.0	15	336.1	20.0
w-respa2-20	ref	2775	20.0	14	312.1	20.0
