case	h	leg	size	shows	span
plain	1200	ref	6.0	7	34.5
plain	1200	ours	6.0	7	34.5
plain	1579	ref	6.0	7	34.5
plain	1579	ours	6.0	7	34.5
plain	1769	ref	6.0	7	34.5
plain	1769	ours	6.0	7	34.5
plain	1864	ref	6.0	7	34.5
plain	1864	ours	6.0	7	34.5
plain	1887	ref	6.0	7	34.5
plain	1887	ours	6.0	7	34.5
plain	1888	ref	6.0	7	34.5
plain	1888	ours	6.0	7	34.5
plain	1889	ref	8.0	7	45.9
plain	1889	ours	8.0	7	45.9
plain	1890	ref	8.0	7	45.9
plain	1890	ours	8.0	7	45.9
plain	1893	ref	8.0	7	45.9
plain	1893	ours	8.0	7	45.9
plain	1899	ref	8.0	7	45.9
plain	1899	ours	8.0	7	45.9
plain	1911	ref	8.0	7	45.9
plain	1911	ours	8.0	7	45.9
plain	1959	ref	8.0	7	45.9
plain	1959	ours	8.0	7	45.9
plain	2338	ref	8.0	7	45.9
plain	2338	ours	8.0	7	45.9
plain	2361	ref	8.0	7	45.9
plain	2361	ours	8.0	7	45.9
plain	2367	ref	8.0	7	45.9
plain	2367	ours	8.0	7	45.9
plain	2370	ref	8.0	7	45.9
plain	2370	ours	8.0	7	45.9
plain	2371	ref	8.0	7	45.9
plain	2371	ours	8.0	7	45.9
plain	2372	ref	10.0	7	57.7
plain	2372	ours	10.0	7	57.7
plain	2373	ref	10.0	7	57.7
plain	2373	ours	10.0	7	57.7
plain	2385	ref	10.0	7	57.7
plain	2385	ours	10.0	7	57.7
plain	2433	ref	10.0	7	57.7
plain	2433	ours	10.0	7	57.7
plain	2528	ref	10.0	7	57.7
plain	2528	ours	10.0	7	57.7
plain	2575	ref	10.0	7	57.7
plain	2575	ours	10.0	7	57.7
plain	2599	ref	10.0	7	57.7
plain	2599	ours	10.0	7	57.7
plain	2605	ref	10.0	7	57.7
plain	2605	ours	10.0	7	57.7
plain	2608	ref	10.0	7	57.7
plain	2608	ours	10.0	7	57.7
plain	2609	ref	10.0	7	57.7
plain	2609	ours	10.0	7	57.7
