doc	pages	ink_signed	ink_abs	residual	residual_per_page	ceiling_pages	major	major_on_ceiling
NAS-Infrastructure-Roadmaps-v16.0__pptx	137	104.34	157.46	157.46	1.149	0	55	0
Wildlife for REDAC September 11__pptx	41	55.90	61.98	61.98	1.512	0	7	0
8_P-Pavese_AIRBUS-ATB-journee-CRATB__pptx	26	47.90	48.94	48.94	1.882	0	2	0
2015-Civil-Rights-Website-training__ppt	94	32.36	44.42	44.42	0.473	0	19	0
Reporting_responsibilities_matrix__pptx	268	23.05	34.88	34.88	0.130	0	2	0
ITE106-Chapter 4__ppt	47	21.56	28.63	28.63	0.609	0	11	0
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009__ppt	94	23.24	27.26	27.26	0.290	0	8	0
Demick_JetBlue__pptx	10	25.75	25.91	25.91	2.591	0	6	0
chapter_4_0__pptx	54	14.22	25.43	25.43	0.471	0	3	0
Thailand17__ppt	54	12.08	22.28	22.28	0.413	0	9	0
ws_prod-g-doc-Events-2007-september-M.017-(French)-France__ppt	55	18.63	21.17	21.17	0.385	0	2	0
16 - UTM - (NASA)__pptx	37	13.95	20.25	20.25	0.547	0	8	0
2014BSA_Sunday_Killion__pptx	50	17.76	19.82	19.82	0.396	0	6	0
Snowbirds_High_Show__pptx	41	13.19	19.44	19.44	0.474	0	0	0
Employment-Based_I-485__ppt	42	14.79	18.99	18.99	0.452	0	6	0
FAA_Form_337__ppt	67	13.21	18.68	18.68	0.279	0	12	0
undp_presentation_revised_17_may__ppt	22	15.53	18.39	18.39	0.836	0	6	0
71393_pp7__ppt	39	11.86	17.37	17.37	0.445	0	9	0
dhs-293364__pptx	39	12.76	17.09	17.09	0.438	0	4	0
Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final__pptx	39	10.97	16.95	16.95	0.435	0	5	0
airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20__pptx	38	5.03	16.72	16.72	0.440	0	4	0
berlin__ppt	29	13.86	16.67	16.67	0.575	0	10	0
ev122_jj-liew-tort-of-bribery-webinar__pptx	24	10.68	15.23	15.23	0.635	0	8	0
BUS-Chapter 05__ppt	50	12.33	14.26	14.26	0.285	0	6	0
171128IPAP__pptx	40	11.14	13.87	13.87	0.347	0	3	0
southern-classic-kennesaw-state-university-final__pptx	23	8.66	12.85	12.85	0.559	0	6	0
NAS-Infrastructure-Roadmaps-Weather__pptx	11	10.99	11.97	11.97	1.088	0	5	0
gfopportunitiesforlinkagespres_2010_en__ppt	27	8.10	11.84	11.84	0.439	0	5	0
County ACHS Presentaion Webinar 8-16-16 Peg__pptx	26	7.96	11.80	11.80	0.454	0	3	0
pods05__ppt	60	8.89	11.25	11.25	0.188	0	4	0
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt	18	6.78	11.18	11.18	0.621	0	3	0
EG1_dsrc tech__ppt	26	9.63	10.88	10.88	0.418	0	1	0
gillikin_online_user_mtg_2010__ppt	40	8.09	10.41	10.41	0.260	0	3	0
order-of-worship-ppt-revised-2018__pptx	28	8.41	10.22	10.22	0.365	0	2	0
RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009__ppt	27	6.72	10.09	10.09	0.374	0	4	0
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011__ppt	36	5.86	9.29	9.29	0.258	0	1	0
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	33	8.30	9.02	9.02	0.273	0	1	0
ghgp-supply-chain-initiative_20100323_wri__pptx	52	7.92	8.75	8.75	0.168	0	7	0
Technical_Report_Elements[1]__pptx	39	6.73	8.74	8.74	0.224	0	5	0
Copy of Full deck with references Promotion of Outside Interests at Work final(1)__pptx	33	6.19	8.54	8.54	0.259	0	3	0
3495__pptx	26	7.45	8.48	8.48	0.326	0	2	0
OnTrac_StarCertificationProgram-3Day__pptx	15	7.61	8.48	8.48	0.565	0	2	0
ws_prod-g-doc-Events-r-6.-ESM__ppt	25	6.84	8.43	8.43	0.337	0	0	0
Structural Testing__pptx	89	6.09	8.38	8.38	0.094	0	4	0
100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44__pptx	5	6.54	8.24	8.24	1.648	0	4	0
joint_user_outcomes_michael_fullerton_29.06.12__ppt	20	7.07	8.12	8.12	0.406	0	3	0
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx	51	6.05	8.12	8.12	0.159	0	4	0
RESPA_-_Section_8_Webinar__ppt	35	6.32	7.82	7.82	0.223	0	0	0
pres_ioc_phuket__ppt	26	6.93	7.75	7.75	0.298	0	3	0
redac-nasops-201503-RIRP-portfolio-update__pptx	46	6.50	7.71	7.71	0.168	0	2	0
introduction_to_bea_tuxedo__ppt	40	5.53	7.69	7.69	0.192	0	3	0
JesuitAssocOfStudentPersonnel__ppt	31	6.77	7.67	7.67	0.247	0	1	0
PRM_training__pptx	22	6.87	7.37	7.37	0.335	0	3	0
iep-amount-frequency-for-webinar__ppt	39	5.89	7.12	7.12	0.183	0	0	0
G-InvoicingKeithJarboe__pptx	13	6.20	7.09	7.09	0.545	0	3	0
redac-sas-201509-asisp-research__pptx	45	5.80	7.01	7.01	0.156	0	0	0
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt	10	5.64	6.94	6.94	0.694	0	2	0
NAS-Infrastructure-Roadmaps-HSI__pptx	9	6.17	6.60	6.60	0.733	0	2	0
section_1_our_rights_presentation__pptx	30	5.57	6.50	6.50	0.217	0	0	0
Architecture__ppt	29	1.62	6.43	6.43	0.222	0	6	0
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx	24	4.95	6.31	6.31	0.263	0	2	0
wells08_basic__ppt	27	4.95	6.30	6.30	0.233	0	2	0
BHCA Part II webinar #2 - 10.2020__pptx	21	5.56	6.25	6.25	0.298	0	2	0
social-media-app-bulletin-january__pptx	4	5.72	6.21	6.21	1.552	0	1	0
HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY__pptx	12	5.24	5.87	5.87	0.489	0	2	0
DoIRD Meeting 16JAN14 v1-1__pptx	15	4.23	5.86	5.86	0.391	0	2	0
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx	18	3.81	5.80	5.80	0.322	0	2	0
Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6__ppt	26	2.51	5.71	5.71	0.220	0	0	0
RPA P4 - Advanced Material__pptx	20	4.95	5.68	5.68	0.284	0	3	0
